dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,abbreviation,dept_code
City Treasurer,4598767,2022,Target Budget,Full Year,2021-12-31,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,118984988,2022,Target Budget,Full Year,2021-12-31,Civil Service Commission,,55
Commerce,14201544,2022,Target Budget,Full Year,2021-12-31,Office of the Director of Commerce,Commerce,42
Commerce-Convention Center Subsidy,15000000,2022,Target Budget,Full Year,2021-12-31,Commerce: Convention Center Subsidy,,42CC
Commerce-Economic Stimulus,5834550,2022,Target Budget,Full Year,2021-12-31,Commerce: Economic Stimulus,,42ES
District Attorney,41831659,2022,Target Budget,Full Year,2021-12-31,District Attorney's Office,DAO,69
Finance,42964749,2022,Target Budget,Full Year,2021-12-31,Office of the Director of Finance,Finance,35
Finance-Budget Stabilization Reserve,0,2022,Target Budget,Full Year,2021-12-31,Finance: Budget Stabilization Reserve,,35BSR
Finance-Disability-Reg #32 Payroll,2293165,2022,Target Budget,Full Year,2021-12-31,Finance: Reg #32,,35R32
Finance-Recession Reserve and Reopening,42500000,2022,Target Budget,Full Year,2021-12-31,Finance: Recession Reserve,,35RR
Finance-Community College Subsidy,48128075,2022,Target Budget,Full Year,2021-12-31,Finance: Community College Subsidy,,35CC
Finance - Employee Benefits *,1451381742,2022,Target Budget,Full Year,2021-12-31,Finance: Employee Benefits,,35EB
Finance-Hero Scholarship Awards,25000,2022,Target Budget,Full Year,2021-12-31,Finance: Hero Scholarship Awards,,35HA
Finance-Indemnities,49246000,2022,Target Budget,Full Year,2021-12-31,Finance: Indemnities,,35IN
Finance-Refunds,250000,2022,Target Budget,Full Year,2021-12-31,Finance: Refunds,,35R
Finance-School District Contribution,255953201,2022,Target Budget,Full Year,2021-12-31,Finance: School District Contribution,,35SD
Finance-Witness Fees,171518,2022,Target Budget,Full Year,2021-12-31,Finance: Witness Fees,,35WF
Fire,358512026,2022,Target Budget,Full Year,2021-12-31,Fire Department,Fire,13
First Judicial District,117199029,2022,Target Budget,Full Year,2021-12-31,First Judicial District,FJD,84
Fleet Services,46346718,2022,Target Budget,Full Year,2021-12-31,Office of Fleet Management,Fleet,25
Fleet Services - Vehicle Purchases,9745852,2022,Target Budget,Full Year,2021-12-31,Fleet: Vehicle Lease/Purchases,,25V
Free Library,42975342,2022,Target Budget,Full Year,2021-12-31,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,2387728,2022,Target Budget,Full Year,2021-12-31,Commission on Human Relations,Human Relations,54
Human Services,179812558,2022,Target Budget,Full Year,2021-12-31,Department of Human Services,DHS,22
Labor,3214659,2022,Target Budget,Full Year,2021-12-31,Labor,,03
Law,19047482,2022,Target Budget,Full Year,2021-12-31,Law Department,Law,44
Licenses & Inspections,38684445,2022,Target Budget,Full Year,2021-12-31,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,79557,2022,Target Budget,Full Year,2021-12-31,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,176071,2022,Target Budget,Full Year,2021-12-31,L&I: Board of Review,,27
Managing Director's Office,124474461,2022,Target Budget,Full Year,2021-12-31,Managing Director's Office,MDO,10
Managing Director-Legal Services,52404449,2022,Target Budget,Full Year,2021-12-31,MDO: Legal Services,,10LS
Mayor's Office,6704201,2022,Target Budget,Full Year,2021-12-31,Mayor's Office,Mayor,05
Mayor's Office-Scholarships,135000,2022,Target Budget,Full Year,2021-12-31,Mayor's Office: Scholarships,,05S
Mayor's Office-Comm. Empowerment & Opp.,1509000,2022,Target Budget,Full Year,2021-12-31,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,2652179,2022,Target Budget,Full Year,2021-12-31,Mural Arts Program,Mural Arts,50
Office of Behavioral Hith & Intellectual disAbility,23526291,2022,Target Budget,Full Year,2021-12-31,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,10616200,2022,Target Budget,Full Year,2021-12-31,Office of the Chief Administrative Officer,CAO,65
Office of Children and Families,442000,2022,Target Budget,Full Year,2021-12-31,Office of Children and Families,OCF,66
Office of Homeless Services,55321342,2022,Target Budget,Full Year,2021-12-31,Office of Homeless Services,OHS,24
Office of Human Resources,6420804,2022,Target Budget,Full Year,2021-12-31,Office of Human Resources,OHR,56
Office of Innovation and Technology-Base,79489433,2022,Target Budget,Full Year,2021-12-31,Office of Innovation and Technology,OIT,04
Office of Innovation and Technology-911,31334577,2022,Target Budget,Full Year,2021-12-31,OIT: 911,,04911
Office of the Inspector General,1559200,2022,Target Budget,Full Year,2021-12-31,Office of the Inspector General,OIG,48
Office of Property Assessment,16387833,2022,Target Budget,Full Year,2021-12-31,Office of Property Assessment,OPA,59
Office of Sustainability,1527587,2022,Target Budget,Full Year,2021-12-31,Office of Sustainability,Sustainability,49
Parks and Recreation,61564553,2022,Target Budget,Full Year,2021-12-31,Department of Parks and Recreation,Parks & Recreation,16
Planning & Development,17073828,2022,Target Budget,Full Year,2021-12-31,Department of Planning and Development,Planning & Development,72
Police,723347734,2022,Target Budget,Full Year,2021-12-31,Police Department,Police,11
Prisons,250251313,2022,Target Budget,Full Year,2021-12-31,Philadelphia Prison System,Prisons,23
Procurement,6056338,2022,Target Budget,Full Year,2021-12-31,Procurement Department,Procurement,38
Public Health,163004196,2022,Target Budget,Full Year,2021-12-31,Department of Public Health,Public Health,14
Public Property,73065346,2022,Target Budget,Full Year,2021-12-31,Department of Public Property,Public Property,20
Public Property-SEPTA Subsidy,91214000,2022,Target Budget,Full Year,2021-12-31,Public Property: SEPTA Subsidy,,20SS
Public Property-Space Rentals,29845243,2022,Target Budget,Full Year,2021-12-31,Public Property: Space Rentals,,20SR
Public Property-Utilities,24875748,2022,Target Budget,Full Year,2021-12-31,Public Property: Utilities,,20U
Records,3987713,2022,Target Budget,Full Year,2021-12-31,Department of Records,Records,31
Register of Wills,4281429,2022,Target Budget,Full Year,2021-12-31,Register of Wills,,68
Revenue,25402302,2022,Target Budget,Full Year,2021-12-31,Department of Revenue,Revenue,36
Sheriff,26795874,2022,Target Budget,Full Year,2021-12-31,Office of the Sheriff,Sheriff,70
Sinking Fund Commission (Debt Service),297227515,2022,Target Budget,Full Year,2021-12-31,Sinking Fund Commission,Sinking Fund,37
Streets-Disposal,55762580,2022,Target Budget,Full Year,2021-12-31,Streets: Disposal,,12D
Streets,113595833,2022,Target Budget,Full Year,2021-12-31,Streets Department,Streets,12
Art Museum Subsidy,2040000,2022,Current Projection,Full Year,2021-12-31,Art Museum,,34
Auditing (City Controller's Office),10308438,2022,Current Projection,Full Year,2021-12-31,City Controller's Office,,61
Board of Ethics,998750,2022,Current Projection,Full Year,2021-12-31,Board of Ethics,,45
Board of Revision of Taxes,1074975,2022,Current Projection,Full Year,2021-12-31,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),22369560,2022,Current Projection,Full Year,2021-12-31,City Commissioner's Office,City Commissioners,73
City Council,18864888,2022,Current Projection,Full Year,2021-12-31,City Council,,01
City Treasurer,4651040,2022,Current Projection,Full Year,2021-12-31,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,6960820,2022,Current Projection,Full Year,2021-12-31,Civil Service Commission,,55
Commerce,14268497,2022,Current Projection,Full Year,2021-12-31,Office of the Director of Commerce,Commerce,42
Commerce-Convention Center Subsidy,15000000,2022,Current Projection,Full Year,2021-12-31,Commerce: Convention Center Subsidy,,42CC
Commerce-Economic Stimulus,5834550,2022,Current Projection,Full Year,2021-12-31,Commerce: Economic Stimulus,,42ES
District Attorney,42689582,2022,Current Projection,Full Year,2021-12-31,District Attorney's Office,DAO,69
Finance,43555754,2022,Current Projection,Full Year,2021-12-31,Office of the Director of Finance,Finance,35
Finance-Budget Stabilization Reserve,0,2022,Current Projection,Full Year,2021-12-31,Finance: Budget Stabilization Reserve,,35BSR
Finance-Disability-Reg #32 Payroll,2293165,2022,Current Projection,Full Year,2021-12-31,Finance: Reg #32,,35R32
Finance-Recession Reserve and Reopening,42500000,2022,Current Projection,Full Year,2021-12-31,Finance: Recession Reserve,,35RR
Finance-Community College Subsidy,48128075,2022,Current Projection,Full Year,2021-12-31,Finance: Community College Subsidy,,35CC
Finance - Employee Benefits *,1504750683,2022,Current Projection,Full Year,2021-12-31,Finance: Employee Benefits,,35EB
Finance-Hero Scholarship Awards,25000,2022,Current Projection,Full Year,2021-12-31,Finance: Hero Scholarship Awards,,35HA
Finance-Indemnities,49246000,2022,Current Projection,Full Year,2021-12-31,Finance: Indemnities,,35IN
Finance-Refunds,250000,2022,Current Projection,Full Year,2021-12-31,Finance: Refunds,,35R
Finance-School District Contribution,255953201,2022,Current Projection,Full Year,2021-12-31,Finance: School District Contribution,,35SD
Finance-Witness Fees,171518,2022,Current Projection,Full Year,2021-12-31,Finance: Witness Fees,,35WF
Fire,373167463,2022,Current Projection,Full Year,2021-12-31,Fire Department,Fire,13
First Judicial District,118825285,2022,Current Projection,Full Year,2021-12-31,First Judicial District,FJD,84
Fleet Services,47236065,2022,Current Projection,Full Year,2021-12-31,Office of Fleet Management,Fleet,25
Fleet Services - Vehicle Purchases,9745852,2022,Current Projection,Full Year,2021-12-31,Fleet: Vehicle Lease/Purchases,,25V
Free Library,45326677,2022,Current Projection,Full Year,2021-12-31,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,2526595,2022,Current Projection,Full Year,2021-12-31,Commission on Human Relations,Human Relations,54
Human Services,181234022,2022,Current Projection,Full Year,2021-12-31,Department of Human Services,DHS,22
Labor,3258494,2022,Current Projection,Full Year,2021-12-31,Labor,,03
Law,19259000,2022,Current Projection,Full Year,2021-12-31,Law Department,Law,44
Licenses & Inspections,41049086,2022,Current Projection,Full Year,2021-12-31,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,82151,2022,Current Projection,Full Year,2021-12-31,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,181598,2022,Current Projection,Full Year,2021-12-31,L&I: Board of Review,,27
Managing Director's Office,125880993,2022,Current Projection,Full Year,2021-12-31,Managing Director's Office,MDO,10
Managing Director-Legal Services,52404449,2022,Current Projection,Full Year,2021-12-31,MDO: Legal Services,,10LS
Mayor's Office,6782234,2022,Current Projection,Full Year,2021-12-31,Mayor's Office,Mayor,05
Mayor's Office-Scholarships,135000,2022,Current Projection,Full Year,2021-12-31,Mayor's Office: Scholarships,,05S
Mayor's Office-Comm. Empowerment & Opp.,1509000,2022,Current Projection,Full Year,2021-12-31,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,2659013,2022,Current Projection,Full Year,2021-12-31,Mural Arts Program,Mural Arts,50
Office of Behavioral Hith & Intellectual disAbility,23579056,2022,Current Projection,Full Year,2021-12-31,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,10708161,2022,Current Projection,Full Year,2021-12-31,Office of the Chief Administrative Officer,CAO,65
Office of Children and Families,447742,2022,Current Projection,Full Year,2021-12-31,Office of Children and Families,OCF,66
Office of Homeless Services,55800860,2022,Current Projection,Full Year,2021-12-31,Office of Homeless Services,OHS,24
Office of Human Resources,6623583,2022,Current Projection,Full Year,2021-12-31,Office of Human Resources,OHR,56
Office of Innovation and Technology-Base,80129051,2022,Current Projection,Full Year,2021-12-31,Office of Innovation and Technology,OIT,04
Office of Innovation and Technology-911,31334577,2022,Current Projection,Full Year,2021-12-31,OIT: 911,,04911
Office of the Inspector General,1581202,2022,Current Projection,Full Year,2021-12-31,Office of the Inspector General,OIG,48
Office of Property Assessment,17223695,2022,Current Projection,Full Year,2021-12-31,Office of Property Assessment,OPA,59
Office of Sustainability,1537959,2022,Current Projection,Full Year,2021-12-31,Office of Sustainability,Sustainability,49
Parks and Recreation,65369958,2022,Current Projection,Full Year,2021-12-31,Department of Parks and Recreation,Parks & Recreation,16
Planning & Development,17428742,2022,Current Projection,Full Year,2021-12-31,Department of Planning and Development,Planning & Development,72
Police,758034454,2022,Current Projection,Full Year,2021-12-31,Police Department,Police,11
Prisons,251402740,2022,Current Projection,Full Year,2021-12-31,Philadelphia Prison System,Prisons,23
Procurement,6185836,2022,Current Projection,Full Year,2021-12-31,Procurement Department,Procurement,38
Public Health,165741188,2022,Current Projection,Full Year,2021-12-31,Department of Public Health,Public Health,14
Public Property,73515244,2022,Current Projection,Full Year,2021-12-31,Department of Public Property,Public Property,20
Public Property-SEPTA Subsidy,91214000,2022,Current Projection,Full Year,2021-12-31,Public Property: SEPTA Subsidy,,20SS
Public Property-Space Rentals,29845243,2022,Current Projection,Full Year,2021-12-31,Public Property: Space Rentals,,20SR
Public Property-Utilities,24875748,2022,Current Projection,Full Year,2021-12-31,Public Property: Utilities,,20U
Records,4162493,2022,Current Projection,Full Year,2021-12-31,Department of Records,Records,31
Register of Wills,4322681,2022,Current Projection,Full Year,2021-12-31,Register of Wills,,68
Revenue,26614882,2022,Current Projection,Full Year,2021-12-31,Department of Revenue,Revenue,36
Sheriff,26990159,2022,Current Projection,Full Year,2021-12-31,Office of the Sheriff,Sheriff,70
Sinking Fund Commission (Debt Service),297227515,2022,Current Projection,Full Year,2021-12-31,Sinking Fund Commission,Sinking Fund,37
Streets-Disposal,55762580,2022,Current Projection,Full Year,2021-12-31,Streets: Disposal,,12D
Streets,121192129,2022,Current Projection,Full Year,2021-12-31,Streets Department,Streets,12
