dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,abbreviation,dept_code,report_quarter,report_fiscal_year,dept_major_code
Mayor's Office-Comm. Empowerment & Opp.,90500,2020,Actual,Full Year,2020-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08,4,2021,08
Mural Arts Program,2130112,2020,Actual,Full Year,2020-06-30,Mural Arts Program,Mural Arts,50,4,2021,50
Office of Arts and Culture,4375429,2020,Actual,Full Year,2020-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58,4,2021,58
Office of Behavioral Hith & Intellectual disAbility,15911407,2020,Actual,Full Year,2020-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15,4,2021,15
Office of the Chief Administrative Officer,6764845,2020,Actual,Full Year,2020-06-30,Office of the Chief Administrative Officer,CAO,65,4,2021,65
Office of Children and Families,43088830,2020,Actual,Full Year,2020-06-30,Office of Children and Families,OCF,66,4,2021,66
Office of Homeless Services,60113037,2020,Actual,Full Year,2020-06-30,Office of Homeless Services,OHS,24,4,2021,24
Office of Human Resources,5965201,2020,Actual,Full Year,2020-06-30,Office of Human Resources,OHR,56,4,2021,56
Office of Innovation and Technology-Base,75977630,2020,Actual,Full Year,2020-06-30,Office of Innovation and Technology,OIT,04,4,2021,04
Office of Innovation and Technology-911,19916769,2020,Actual,Full Year,2020-06-30,OIT: 911,,04911,4,2021,04
Office of the Inspector General,1497267,2020,Actual,Full Year,2020-06-30,Office of the Inspector General,OIG,48,4,2021,48
Office of Property Assessment,14711421,2020,Actual,Full Year,2020-06-30,Office of Property Assessment,OPA,59,4,2021,59
Office of Sustainability,1225513,2020,Actual,Full Year,2020-06-30,Office of Sustainability,Sustainability,49,4,2021,49
Parks and Recreation,64969290,2020,Actual,Full Year,2020-06-30,Department of Parks and Recreation,Parks & Recreation,16,4,2021,16
Planning & Development,18252409,2020,Actual,Full Year,2020-06-30,Department of Planning and Development,Planning & Development,72,4,2021,72
Police,774398600,2020,Actual,Full Year,2020-06-30,Police Department,Police,11,4,2021,11
Prisons,243998662,2020,Actual,Full Year,2020-06-30,Philadelphia Prison System,Prisons,23,4,2021,23
Procurement,5084255,2020,Actual,Full Year,2020-06-30,Procurement Department,Procurement,38,4,2021,38
Public Health,168574970,2020,Actual,Full Year,2020-06-30,Department of Public Health,Public Health,14,4,2021,14
Public Property,68857821,2020,Actual,Full Year,2020-06-30,Department of Public Property,Public Property,20,4,2021,20
Public Property-SEPTA Subsidy,86290000,2020,Actual,Full Year,2020-06-30,Public Property: SEPTA Subsidy,,20SS,4,2021,20
Public Property-Space Rentals,26086731,2020,Actual,Full Year,2020-06-30,Public Property: Space Rentals,,20SR,4,2021,20
Public Property-Utilities,28681562,2020,Actual,Full Year,2020-06-30,Public Property: Utilities,,20U,4,2021,20
Records,4221199,2020,Actual,Full Year,2020-06-30,Department of Records,Records,31,4,2021,31
Register of Wills,4891630,2020,Actual,Full Year,2020-06-30,Register of Wills,,68,4,2021,68
Revenue,30321874,2020,Actual,Full Year,2020-06-30,Department of Revenue,Revenue,36,4,2021,36
Sheriff,30280459,2020,Actual,Full Year,2020-06-30,Office of the Sheriff,Sheriff,70,4,2021,70
Sinking Fund Commission (Debt Service),266354318,2020,Actual,Full Year,2020-06-30,Sinking Fund Commission,Sinking Fund,37,4,2021,37
Streets-Disposal,49829681,2020,Actual,Full Year,2020-06-30,Streets: Disposal,,12D,4,2021,12
Streets,125015648,2020,Actual,Full Year,2020-06-30,Streets Department,Streets,12,4,2021,12
Art Museum Subsidy,2040000,2021,Adopted Budget,Full Year,2021-06-30,Art Museum,,34,4,2021,34
Auditing (City Controller's Office),9568289,2021,Adopted Budget,Full Year,2021-06-30,City Controller's Office,,61,4,2021,61
Board of Ethics,975196,2021,Adopted Budget,Full Year,2021-06-30,Board of Ethics,,45,4,2021,45
Board of Revision of Taxes,1043214,2021,Adopted Budget,Full Year,2021-06-30,Board of Revision of Taxes,BRT,63,4,2021,63
City Commissioners (Election Board),12297852,2021,Adopted Budget,Full Year,2021-06-30,City Commissioner's Office,City Commissioners,73,4,2021,73
City Council,42282973,2021,Adopted Budget,Full Year,2021-06-30,City Council,,01,4,2021,01
City Representative,0,2021,Adopted Budget,Full Year,2021-06-30,Office of the City Representative,City Rep,41,4,2021,41
City Treasurer,1583938,2021,Adopted Budget,Full Year,2021-06-30,Office of the City Treasurer,City Treasurer,40,4,2021,40
Civil Service Commission,207742,2021,Adopted Budget,Full Year,2021-06-30,Civil Service Commission,,55,4,2021,55
Commerce,3637148,2021,Adopted Budget,Full Year,2021-06-30,Office of the Director of Commerce,Commerce,42,4,2021,42
Commerce-Convention Center Subsidy,15000000,2021,Adopted Budget,Full Year,2021-06-30,Commerce: Convention Center Subsidy,,42CC,4,2021,42
Commerce-Economic Stimulus,3015000,2021,Adopted Budget,Full Year,2021-06-30,Commerce: Economic Stimulus,,42ES,4,2021,42
District Attorney,33376659,2021,Adopted Budget,Full Year,2021-06-30,District Attorney's Office,DAO,69,4,2021,69
Finance,38724672,2021,Adopted Budget,Full Year,2021-06-30,Office of the Director of Finance,Finance,35,4,2021,35
Finance-Budget Stabilization Reserve,0,2021,Adopted Budget,Full Year,2021-06-30,Finance: Budget Stabilization Reserve,,35BSR,4,2021,35
Finance-Disability-Reg #32 Payroll,2650000,2021,Adopted Budget,Full Year,2021-06-30,Finance: Reg #32,,35R32,4,2021,35
Finance-Federal Grant Reserve,25000000,2021,Adopted Budget,Full Year,2021-06-30,Finance: Federal Grant Reserve,,35FGR,4,2021,35
Finance-Community College Subsidy,44110159,2021,Adopted Budget,Full Year,2021-06-30,Finance: Community College Subsidy,,35CC,4,2021,35
Finance - Employee Benefits *,1287159003,2021,Adopted Budget,Full Year,2021-06-30,Finance: Employee Benefits,,35EB,4,2021,35
Finance-Hero Scholarship Awards,25000,2021,Adopted Budget,Full Year,2021-06-30,Finance: Hero Scholarship Awards,,35HA,4,2021,35
Finance-Indemnities,49246000,2021,Adopted Budget,Full Year,2021-06-30,Finance: Indemnities,,35IN,4,2021,35
Finance-Refunds,250000,2021,Adopted Budget,Full Year,2021-06-30,Finance: Refunds,,35R,4,2021,35
Finance-School District Contribution,252578558,2021,Adopted Budget,Full Year,2021-06-30,Finance: School District Contribution,,35SD,4,2021,35
Finance-Witness Fees,171518,2021,Adopted Budget,Full Year,2021-06-30,Finance: Witness Fees,,35WF,4,2021,35
Fire,315056258,2021,Adopted Budget,Full Year,2021-06-30,Fire Department,Fire,13,4,2021,13
First Judicial District,116036029,2021,Adopted Budget,Full Year,2021-06-30,First Judicial District,FJD,84,4,2021,84
Fleet Management,46803724,2021,Adopted Budget,Full Year,2021-06-30,Office of Fleet Management,Fleet,25,4,2021,25
Fleet Management - Vehicle Purchases,9797739,2021,Adopted Budget,Full Year,2021-06-30,Fleet: Vehicle Lease/Purchases,,25V,4,2021,25
Free Library,39650733,2021,Adopted Budget,Full Year,2021-06-30,The Free Library of Philadelphia,Free Library,52,4,2021,52
Human Relations Commission,2422973,2021,Adopted Budget,Full Year,2021-06-30,Commission on Human Relations,Human Relations,54,4,2021,54
Human Services,163090633,2021,Adopted Budget,Full Year,2021-06-30,Department of Human Services,DHS,22,4,2021,22
Labor,2839104,2021,Adopted Budget,Full Year,2021-06-30,Labor,,03,4,2021,03
Law,15014106,2021,Adopted Budget,Full Year,2021-06-30,Law Department,Law,44,4,2021,44
Licenses & Inspections,38251694,2021,Adopted Budget,Full Year,2021-06-30,Department of Licenses and Inspections,L&I,26,4,2021,26
L&I-Board of Building Standards,82018,2021,Adopted Budget,Full Year,2021-06-30,L&I: Board of Building and Standards,,29,4,2021,29
L&I-Board of L & I Review,176071,2021,Adopted Budget,Full Year,2021-06-30,L&I: Board of Review,,27,4,2021,27
Managing Director's Office,70615244,2021,Adopted Budget,Full Year,2021-06-30,Managing Director's Office,MDO,10,4,2021,10
Managing Director-Legal Services,50104181,2021,Adopted Budget,Full Year,2021-06-30,MDO: Legal Services,,10LS,4,2021,10
Mayor's Office,6463592,2021,Adopted Budget,Full Year,2021-06-30,Mayor's Office,Mayor,05,4,2021,05
Mayor's Office-Scholarships,100000,2021,Adopted Budget,Full Year,2021-06-30,Mayor's Office: Scholarships,,05S,4,2021,05
Mayor's Office-Comm. Empowerment & Opp.,45000,2021,Adopted Budget,Full Year,2021-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08,4,2021,08
Mural Arts Program,2124562,2021,Adopted Budget,Full Year,2021-06-30,Mural Arts Program,Mural Arts,50,4,2021,50
Office of Arts and Culture,0,2021,Adopted Budget,Full Year,2021-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58,4,2021,58
Office of Behavioral Hith & Intellectual disAbility,15477402,2021,Adopted Budget,Full Year,2021-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15,4,2021,15
Office of the Chief Administrative Officer,6333779,2021,Adopted Budget,Full Year,2021-06-30,Office of the Chief Administrative Officer,CAO,65,4,2021,65
Office of Children and Families,418820,2021,Adopted Budget,Full Year,2021-06-30,Office of Children and Families,OCF,66,4,2021,66
Office of Homeless Services,44038587,2021,Adopted Budget,Full Year,2021-06-30,Office of Homeless Services,OHS,24,4,2021,24
Office of Human Resources,6237735,2021,Adopted Budget,Full Year,2021-06-30,Office of Human Resources,OHR,56,4,2021,56
Office of Innovation and Technology-Base,75795173,2021,Adopted Budget,Full Year,2021-06-30,Office of Innovation and Technology,OIT,04,4,2021,04
Office of Innovation and Technology-911,53564955,2021,Adopted Budget,Full Year,2021-06-30,OIT: 911,,04911,4,2021,04
Office of the Inspector General,1575681,2021,Adopted Budget,Full Year,2021-06-30,Office of the Inspector General,OIG,48,4,2021,48
Office of Property Assessment,16101293,2021,Adopted Budget,Full Year,2021-06-30,Office of Property Assessment,OPA,59,4,2021,59
Office of Sustainability,1203180,2021,Adopted Budget,Full Year,2021-06-30,Office of Sustainability,Sustainability,49,4,2021,49
Parks and Recreation,54926154,2021,Adopted Budget,Full Year,2021-06-30,Department of Parks and Recreation,Parks & Recreation,16,4,2021,16
Planning & Development,8535183,2021,Adopted Budget,Full Year,2021-06-30,Department of Planning and Development,Planning & Development,72,4,2021,72
Police,727007734,2021,Adopted Budget,Full Year,2021-06-30,Police Department,Police,11,4,2021,11
Prisons,220169920,2021,Adopted Budget,Full Year,2021-06-30,Philadelphia Prison System,Prisons,23,4,2021,23
Procurement,4760336,2021,Adopted Budget,Full Year,2021-06-30,Procurement Department,Procurement,38,4,2021,38
Public Health,159352985,2021,Adopted Budget,Full Year,2021-06-30,Department of Public Health,Public Health,14,4,2021,14
Public Property,70224341,2021,Adopted Budget,Full Year,2021-06-30,Department of Public Property,Public Property,20,4,2021,20
Public Property-SEPTA Subsidy,84608000,2021,Adopted Budget,Full Year,2021-06-30,Public Property: SEPTA Subsidy,,20SS,4,2021,20
Public Property-Space Rentals,25567715,2021,Adopted Budget,Full Year,2021-06-30,Public Property: Space Rentals,,20SR,4,2021,20
Public Property-Utilities,25447623,2021,Adopted Budget,Full Year,2021-06-30,Public Property: Utilities,,20U,4,2021,20
Records,4004335,2021,Adopted Budget,Full Year,2021-06-30,Department of Records,Records,31,4,2021,31
Register of Wills,4221429,2021,Adopted Budget,Full Year,2021-06-30,Register of Wills,,68,4,2021,68
Revenue,29211398,2021,Adopted Budget,Full Year,2021-06-30,Department of Revenue,Revenue,36,4,2021,36
Sheriff,26795874,2021,Adopted Budget,Full Year,2021-06-30,Office of the Sheriff,Sheriff,70,4,2021,70
Sinking Fund Commission (Debt Service),282632431,2021,Adopted Budget,Full Year,2021-06-30,Sinking Fund Commission,Sinking Fund,37,4,2021,37
Streets-Disposal,51462580,2021,Adopted Budget,Full Year,2021-06-30,Streets: Disposal,,12D,4,2021,12
Streets,101559775,2021,Adopted Budget,Full Year,2021-06-30,Streets Department,Streets,12,4,2021,12
Art Museum Subsidy,2040000,2021,Target Budget,Full Year,2021-06-30,Art Museum,,34,4,2021,34
Auditing (City Controller's Office),9568289,2021,Target Budget,Full Year,2021-06-30,City Controller's Office,,61,4,2021,61
Board of Ethics,975196,2021,Target Budget,Full Year,2021-06-30,Board of Ethics,,45,4,2021,45
Board of Revision of Taxes,1043214,2021,Target Budget,Full Year,2021-06-30,Board of Revision of Taxes,BRT,63,4,2021,63
City Commissioners (Election Board),22044682,2021,Target Budget,Full Year,2021-06-30,City Commissioner's Office,City Commissioners,73,4,2021,73
City Council,17486973,2021,Target Budget,Full Year,2021-06-30,City Council,,01,4,2021,01
City Representative,0,2021,Target Budget,Full Year,2021-06-30,Office of the City Representative,City Rep,41,4,2021,41
City Treasurer,1948938,2021,Target Budget,Full Year,2021-06-30,Office of the City Treasurer,City Treasurer,40,4,2021,40
Civil Service Commission,207742,2021,Target Budget,Full Year,2021-06-30,Civil Service Commission,,55,4,2021,55
Commerce,3334826,2021,Target Budget,Full Year,2021-06-30,Office of the Director of Commerce,Commerce,42,4,2021,42
Commerce-Convention Center Subsidy,15000000,2021,Target Budget,Full Year,2021-06-30,Commerce: Convention Center Subsidy,,42CC,4,2021,42
Commerce-Economic Stimulus,3015000,2021,Target Budget,Full Year,2021-06-30,Commerce: Economic Stimulus,,42ES,4,2021,42
District Attorney,40431659,2021,Target Budget,Full Year,2021-06-30,District Attorney's Office,DAO,69,4,2021,69
Finance,65020029,2021,Target Budget,Full Year,2021-06-30,Office of the Director of Finance,Finance,35,4,2021,35
Finance-Budget Stabilization Reserve,0,2021,Target Budget,Full Year,2021-06-30,Finance: Budget Stabilization Reserve,,35BSR,4,2021,35
Finance-Disability-Reg #32 Payroll,2650000,2021,Target Budget,Full Year,2021-06-30,Finance: Reg #32,,35R32,4,2021,35
Finance-Federal Grant Reserve,0,2021,Target Budget,Full Year,2021-06-30,Finance: Federal Grant Reserve,,35FGR,4,2021,35
Finance-Community College Subsidy,44110159,2021,Target Budget,Full Year,2021-06-30,Finance: Community College Subsidy,,35CC,4,2021,35
Finance - Employee Benefits *,1302161016,2021,Target Budget,Full Year,2021-06-30,Finance: Employee Benefits,,35EB,4,2021,35
Finance-Hero Scholarship Awards,25000,2021,Target Budget,Full Year,2021-06-30,Finance: Hero Scholarship Awards,,35HA,4,2021,35
Finance-Indemnities,49246000,2021,Target Budget,Full Year,2021-06-30,Finance: Indemnities,,35IN,4,2021,35
Finance-Refunds,250000,2021,Target Budget,Full Year,2021-06-30,Finance: Refunds,,35R,4,2021,35
Finance-School District Contribution,252578558,2021,Target Budget,Full Year,2021-06-30,Finance: School District Contribution,,35SD,4,2021,35
Finance-Witness Fees,171518,2021,Target Budget,Full Year,2021-06-30,Finance: Witness Fees,,35WF,4,2021,35
Fire,339056258,2021,Target Budget,Full Year,2021-06-30,Fire Department,Fire,13,4,2021,13
First Judicial District,116036029,2021,Target Budget,Full Year,2021-06-30,First Judicial District,FJD,84,4,2021,84
Fleet Management,46803724,2021,Target Budget,Full Year,2021-06-30,Office of Fleet Management,Fleet,25,4,2021,25
Fleet Management - Vehicle Purchases,9797739,2021,Target Budget,Full Year,2021-06-30,Fleet: Vehicle Lease/Purchases,,25V,4,2021,25
Free Library,39650733,2021,Target Budget,Full Year,2021-06-30,The Free Library of Philadelphia,Free Library,52,4,2021,52
Human Relations Commission,2422973,2021,Target Budget,Full Year,2021-06-30,Commission on Human Relations,Human Relations,54,4,2021,54
Human Services,166419253,2021,Target Budget,Full Year,2021-06-30,Department of Human Services,DHS,22,4,2021,22
Labor,2749104,2021,Target Budget,Full Year,2021-06-30,Labor,,03,4,2021,03
Law,16414106,2021,Target Budget,Full Year,2021-06-30,Law Department,Law,44,4,2021,44
Licenses & Inspections,38251694,2021,Target Budget,Full Year,2021-06-30,Department of Licenses and Inspections,L&I,26,4,2021,26
L&I-Board of Building Standards,82018,2021,Target Budget,Full Year,2021-06-30,L&I: Board of Building and Standards,,29,4,2021,29
L&I-Board of L & I Review,176071,2021,Target Budget,Full Year,2021-06-30,L&I: Board of Review,,27,4,2021,27
Managing Director's Office,128233063,2021,Target Budget,Full Year,2021-06-30,Managing Director's Office,MDO,10,4,2021,10
Managing Director-Legal Services,50104181,2021,Target Budget,Full Year,2021-06-30,MDO: Legal Services,,10LS,4,2021,10
Mayor's Office,6780092,2021,Target Budget,Full Year,2021-06-30,Mayor's Office,Mayor,05,4,2021,05
Mayor's Office-Scholarships,200000,2021,Target Budget,Full Year,2021-06-30,Mayor's Office: Scholarships,,05S,4,2021,05
Mayor's Office-Comm. Empowerment & Opp.,45000,2021,Target Budget,Full Year,2021-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08,4,2021,08
Mural Arts Program,2324562,2021,Target Budget,Full Year,2021-06-30,Mural Arts Program,Mural Arts,50,4,2021,50
Office of Arts and Culture,0,2021,Target Budget,Full Year,2021-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58,4,2021,58
Office of Behavioral Hith & Intellectual disAbility,15477402,2021,Target Budget,Full Year,2021-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15,4,2021,15
Office of the Chief Administrative Officer,6333779,2021,Target Budget,Full Year,2021-06-30,Office of the Chief Administrative Officer,CAO,65,4,2021,65
Office of Children and Families,418820,2021,Target Budget,Full Year,2021-06-30,Office of Children and Families,OCF,66,4,2021,66
Office of Homeless Services,45038587,2021,Target Budget,Full Year,2021-06-30,Office of Homeless Services,OHS,24,4,2021,24
Office of Human Resources,6237735,2021,Target Budget,Full Year,2021-06-30,Office of Human Resources,OHR,56,4,2021,56
Office of Innovation and Technology-Base,77317442,2021,Target Budget,Full Year,2021-06-30,Office of Innovation and Technology,OIT,04,4,2021,04
Office of Innovation and Technology-911,53564955,2021,Target Budget,Full Year,2021-06-30,OIT: 911,,04911,4,2021,04
Office of the Inspector General,1575681,2021,Target Budget,Full Year,2021-06-30,Office of the Inspector General,OIG,48,4,2021,48
Office of Property Assessment,16101293,2021,Target Budget,Full Year,2021-06-30,Office of Property Assessment,OPA,59,4,2021,59
Office of Sustainability,1279219,2021,Target Budget,Full Year,2021-06-30,Office of Sustainability,Sustainability,49,4,2021,49
Parks and Recreation,55271008,2021,Target Budget,Full Year,2021-06-30,Department of Parks and Recreation,Parks & Recreation,16,4,2021,16
Planning & Development,16055183,2021,Target Budget,Full Year,2021-06-30,Department of Planning and Development,Planning & Development,72,4,2021,72
Police,727007734,2021,Target Budget,Full Year,2021-06-30,Police Department,Police,11,4,2021,11
Prisons,222163106,2021,Target Budget,Full Year,2021-06-30,Philadelphia Prison System,Prisons,23,4,2021,23
Procurement,7055104,2021,Target Budget,Full Year,2021-06-30,Procurement Department,Procurement,38,4,2021,38
Public Health,162261794,2021,Target Budget,Full Year,2021-06-30,Department of Public Health,Public Health,14,4,2021,14
Public Property,71130878,2021,Target Budget,Full Year,2021-06-30,Department of Public Property,Public Property,20,4,2021,20
Public Property-SEPTA Subsidy,84608000,2021,Target Budget,Full Year,2021-06-30,Public Property: SEPTA Subsidy,,20SS,4,2021,20
Public Property-Space Rentals,25567715,2021,Target Budget,Full Year,2021-06-30,Public Property: Space Rentals,,20SR,4,2021,20
Public Property-Utilities,25447623,2021,Target Budget,Full Year,2021-06-30,Public Property: Utilities,,20U,4,2021,20
Records,4004335,2021,Target Budget,Full Year,2021-06-30,Department of Records,Records,31,4,2021,31
Register of Wills,4358433,2021,Target Budget,Full Year,2021-06-30,Register of Wills,,68,4,2021,68
Revenue,29649398,2021,Target Budget,Full Year,2021-06-30,Department of Revenue,Revenue,36,4,2021,36
Sheriff,26795874,2021,Target Budget,Full Year,2021-06-30,Office of the Sheriff,Sheriff,70,4,2021,70
Sinking Fund Commission (Debt Service),282632431,2021,Target Budget,Full Year,2021-06-30,Sinking Fund Commission,Sinking Fund,37,4,2021,37
Streets-Disposal,59762580,2021,Target Budget,Full Year,2021-06-30,Streets: Disposal,,12D,4,2021,12
Streets,103742783,2021,Target Budget,Full Year,2021-06-30,Streets Department,Streets,12,4,2021,12
Art Museum Subsidy,2040000,2021,Current Projection,Full Year,2021-06-30,Art Museum,,34,4,2021,34
Auditing (City Controller's Office),9568289,2021,Current Projection,Full Year,2021-06-30,City Controller's Office,,61,4,2021,61
Board of Ethics,975196,2021,Current Projection,Full Year,2021-06-30,Board of Ethics,,45,4,2021,45
Board of Revision of Taxes,1043214,2021,Current Projection,Full Year,2021-06-30,Board of Revision of Taxes,BRT,63,4,2021,63
City Commissioners (Election Board),22044682,2021,Current Projection,Full Year,2021-06-30,City Commissioner's Office,City Commissioners,73,4,2021,73
City Council,17486973,2021,Current Projection,Full Year,2021-06-30,City Council,,01,4,2021,01
City Representative,0,2021,Current Projection,Full Year,2021-06-30,Office of the City Representative,City Rep,41,4,2021,41
City Treasurer,1948938,2021,Current Projection,Full Year,2021-06-30,Office of the City Treasurer,City Treasurer,40,4,2021,40
Civil Service Commission,207742,2021,Current Projection,Full Year,2021-06-30,Civil Service Commission,,55,4,2021,55
Commerce,3334826,2021,Current Projection,Full Year,2021-06-30,Office of the Director of Commerce,Commerce,42,4,2021,42
Commerce-Convention Center Subsidy,15000000,2021,Current Projection,Full Year,2021-06-30,Commerce: Convention Center Subsidy,,42CC,4,2021,42
Commerce-Economic Stimulus,3015000,2021,Current Projection,Full Year,2021-06-30,Commerce: Economic Stimulus,,42ES,4,2021,42
District Attorney,40431659,2021,Current Projection,Full Year,2021-06-30,District Attorney's Office,DAO,69,4,2021,69
Finance,61919029,2021,Current Projection,Full Year,2021-06-30,Office of the Director of Finance,Finance,35,4,2021,35
Finance-Budget Stabilization Reserve,0,2021,Current Projection,Full Year,2021-06-30,Finance: Budget Stabilization Reserve,,35BSR,4,2021,35
Finance-Disability-Reg #32 Payroll,2650000,2021,Current Projection,Full Year,2021-06-30,Finance: Reg #32,,35R32,4,2021,35
Finance-Federal Grant Reserve,0,2021,Current Projection,Full Year,2021-06-30,Finance: Federal Grant Reserve,,35FGR,4,2021,35
Finance-Community College Subsidy,44110159,2021,Current Projection,Full Year,2021-06-30,Finance: Community College Subsidy,,35CC,4,2021,35
Finance - Employee Benefits *,1302161016,2021,Current Projection,Full Year,2021-06-30,Finance: Employee Benefits,,35EB,4,2021,35
Finance-Hero Scholarship Awards,25000,2021,Current Projection,Full Year,2021-06-30,Finance: Hero Scholarship Awards,,35HA,4,2021,35
Finance-Indemnities,49246000,2021,Current Projection,Full Year,2021-06-30,Finance: Indemnities,,35IN,4,2021,35
Finance-Refunds,250000,2021,Current Projection,Full Year,2021-06-30,Finance: Refunds,,35R,4,2021,35
Finance-School District Contribution,252578558,2021,Current Projection,Full Year,2021-06-30,Finance: School District Contribution,,35SD,4,2021,35
Finance-Witness Fees,171518,2021,Current Projection,Full Year,2021-06-30,Finance: Witness Fees,,35WF,4,2021,35
Fire,339056258,2021,Current Projection,Full Year,2021-06-30,Fire Department,Fire,13,4,2021,13
First Judicial District,116036029,2021,Current Projection,Full Year,2021-06-30,First Judicial District,FJD,84,4,2021,84
Fleet Management,46803724,2021,Current Projection,Full Year,2021-06-30,Office of Fleet Management,Fleet,25,4,2021,25
Fleet Management - Vehicle Purchases,9797739,2021,Current Projection,Full Year,2021-06-30,Fleet: Vehicle Lease/Purchases,,25V,4,2021,25
Free Library,39650733,2021,Current Projection,Full Year,2021-06-30,The Free Library of Philadelphia,Free Library,52,4,2021,52
Human Relations Commission,2422973,2021,Current Projection,Full Year,2021-06-30,Commission on Human Relations,Human Relations,54,4,2021,54
Human Services,164544253,2021,Current Projection,Full Year,2021-06-30,Department of Human Services,DHS,22,4,2021,22
Labor,2749104,2021,Current Projection,Full Year,2021-06-30,Labor,,03,4,2021,03
Law,16414106,2021,Current Projection,Full Year,2021-06-30,Law Department,Law,44,4,2021,44
Licenses & Inspections,38251694,2021,Current Projection,Full Year,2021-06-30,Department of Licenses and Inspections,L&I,26,4,2021,26
L&I-Board of Building Standards,82018,2021,Current Projection,Full Year,2021-06-30,L&I: Board of Building and Standards,,29,4,2021,29
L&I-Board of L & I Review,176071,2021,Current Projection,Full Year,2021-06-30,L&I: Board of Review,,27,4,2021,27
Managing Director's Office,124001896,2021,Current Projection,Full Year,2021-06-30,Managing Director's Office,MDO,10,4,2021,10
Managing Director-Legal Services,50535348,2021,Current Projection,Full Year,2021-06-30,MDO: Legal Services,,10LS,4,2021,10
Mayor's Office,6780092,2021,Current Projection,Full Year,2021-06-30,Mayor's Office,Mayor,05,4,2021,05
Mayor's Office-Scholarships,200000,2021,Current Projection,Full Year,2021-06-30,Mayor's Office: Scholarships,,05S,4,2021,05
Mayor's Office-Comm. Empowerment & Opp.,45000,2021,Current Projection,Full Year,2021-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08,4,2021,08
Mural Arts Program,2124562,2021,Current Projection,Full Year,2021-06-30,Mural Arts Program,Mural Arts,50,4,2021,50
Office of Arts and Culture,0,2021,Current Projection,Full Year,2021-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58,4,2021,58
Office of Behavioral Hith & Intellectual disAbility,15477402,2021,Current Projection,Full Year,2021-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15,4,2021,15
Office of the Chief Administrative Officer,6333779,2021,Current Projection,Full Year,2021-06-30,Office of the Chief Administrative Officer,CAO,65,4,2021,65
Office of Children and Families,418820,2021,Current Projection,Full Year,2021-06-30,Office of Children and Families,OCF,66,4,2021,66
Office of Homeless Services,45038587,2021,Current Projection,Full Year,2021-06-30,Office of Homeless Services,OHS,24,4,2021,24
Office of Human Resources,6037735,2021,Current Projection,Full Year,2021-06-30,Office of Human Resources,OHR,56,4,2021,56
Office of Innovation and Technology-Base,77317442,2021,Current Projection,Full Year,2021-06-30,Office of Innovation and Technology,OIT,04,4,2021,04
Office of Innovation and Technology-911,53564955,2021,Current Projection,Full Year,2021-06-30,OIT: 911,,04911,4,2021,04
Office of the Inspector General,1575681,2021,Current Projection,Full Year,2021-06-30,Office of the Inspector General,OIG,48,4,2021,48
Office of Property Assessment,16101293,2021,Current Projection,Full Year,2021-06-30,Office of Property Assessment,OPA,59,4,2021,59
Office of Sustainability,1279219,2021,Current Projection,Full Year,2021-06-30,Office of Sustainability,Sustainability,49,4,2021,49
Parks and Recreation,55271008,2021,Current Projection,Full Year,2021-06-30,Department of Parks and Recreation,Parks & Recreation,16,4,2021,16
Planning & Development,14055183,2021,Current Projection,Full Year,2021-06-30,Department of Planning and Development,Planning & Development,72,4,2021,72
Police,727007734,2021,Current Projection,Full Year,2021-06-30,Police Department,Police,11,4,2021,11
Prisons,222999025,2021,Current Projection,Full Year,2021-06-30,Philadelphia Prison System,Prisons,23,4,2021,23
Procurement,7055104,2021,Current Projection,Full Year,2021-06-30,Procurement Department,Procurement,38,4,2021,38
Public Health,162261794,2021,Current Projection,Full Year,2021-06-30,Department of Public Health,Public Health,14,4,2021,14
Public Property,71130878,2021,Current Projection,Full Year,2021-06-30,Department of Public Property,Public Property,20,4,2021,20
Public Property-SEPTA Subsidy,84608000,2021,Current Projection,Full Year,2021-06-30,Public Property: SEPTA Subsidy,,20SS,4,2021,20
Public Property-Space Rentals,25567715,2021,Current Projection,Full Year,2021-06-30,Public Property: Space Rentals,,20SR,4,2021,20
Public Property-Utilities,25447623,2021,Current Projection,Full Year,2021-06-30,Public Property: Utilities,,20U,4,2021,20
Records,4004335,2021,Current Projection,Full Year,2021-06-30,Department of Records,Records,31,4,2021,31
Register of Wills,4358433,2021,Current Projection,Full Year,2021-06-30,Register of Wills,,68,4,2021,68
Revenue,29649398,2021,Current Projection,Full Year,2021-06-30,Department of Revenue,Revenue,36,4,2021,36
Sheriff,26795874,2021,Current Projection,Full Year,2021-06-30,Office of the Sheriff,Sheriff,70,4,2021,70
