sector,parent_sector,year,fiscal_year,fiscal_quarter,total,date
Miscellaneous Manufacturing,Manufacturing,2021,2021,3,6213599.0,2021-01-01
Advertising and Other Professional Services,Professional Services,2021,2021,3,12495997.0,2021-01-01
Wholesale Trade,,2021,2021,3,11573558.0,2021-01-01
Telecommunication,,2021,2021,3,11847920.0,2021-01-01
Services to Buildings,Other Sectors,2021,2021,3,2941813.0,2021-01-01
Securities / Financial Investments,,2021,2021,3,18463157.0,2021-01-01
Health and Social Services,,2021,2021,3,116332104.0,2021-01-01
"Arts, Entertainment, and Other Recreation",,2021,2021,3,2614179.0,2021-01-01
"Publishing, Broadcasting, and Other Information",,2021,2021,3,7084046.0,2021-01-01
Miscellaneous Sectors,Other Sectors,2021,2021,3,12404817.0,2021-01-01
Nursing & Personal Care Facilities,Health and Social Services,2021,2021,3,10522994.0,2021-01-01
Employment/Outsourcing Agencies,Other Sectors,2021,2021,3,7938676.0,2021-01-01
Transportation Equipment,Manufacturing,2021,2021,3,2787383.0,2021-01-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2021,2021,3,2512833.0,2021-01-01
Other Educational Services,Education,2021,2021,3,3068144.0,2021-01-01
Education,,2021,2021,3,39406372.0,2021-01-01
Hotels,,2021,2021,3,1309359.0,2021-01-01
Transportation and Warehousing,,2020,2021,2,16234732.0,2020-10-01
State Government (PA),Government,2020,2021,2,3241545.0,2020-10-01
Engineering & Architectural Services,Professional Services,2020,2021,2,6885642.0,2020-10-01
Other Educational Services,Education,2020,2021,2,3322059.0,2020-10-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2020,2021,2,17915384.0,2020-10-01
Miscellaneous Manufacturing,Manufacturing,2020,2021,2,5900496.0,2020-10-01
Construction,,2020,2021,2,17676515.0,2020-10-01
Government,,2020,2021,2,51875017.0,2020-10-01
Advertising and Other Professional Services,Professional Services,2020,2021,2,10790529.0,2020-10-01
Employment/Outsourcing Agencies,Other Sectors,2020,2021,2,7824801.0,2020-10-01
Hospitals,Health and Social Services,2020,2021,2,56167751.0,2020-10-01
College and Universities,Education,2020,2021,2,31512364.0,2020-10-01
Metal Manufacturing,Manufacturing,2020,2021,2,1860332.0,2020-10-01
Insurance,,2020,2021,2,9397370.0,2020-10-01
"Arts, Entertainment, and Other Recreation",,2020,2021,2,2562273.0,2020-10-01
"City, School District, Local Quasi Govt.",Government,2020,2021,2,34221875.0,2020-10-01
Pharmaceuticals,Manufacturing,2020,2021,2,5537373.0,2020-10-01
Manufacturing,,2020,2021,2,26255206.0,2020-10-01
Banking & Credit Unions,,2020,2021,2,8517470.0,2020-10-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2020,2021,2,2298577.0,2020-10-01
Wholesale Trade,,2020,2021,2,10038472.0,2020-10-01
Hotels,,2020,2021,2,1118000.0,2020-10-01
Other Governments,Government,2020,2021,2,645472.0,2020-10-01
Retail Trade,,2020,2021,2,26102669.0,2020-10-01
Nursing & Personal Care Facilities,Health and Social Services,2020,2021,2,10424782.0,2020-10-01
Membership Organizations,Other Sectors,2020,2021,2,9703504.0,2020-10-01
Federal Government,Government,2020,2021,2,13766127.0,2020-10-01
Other Sectors,,2020,2021,2,34445304.0,2020-10-01
Miscellaneous Sectors,Other Sectors,2020,2021,2,11473673.0,2020-10-01
Health and Social Services,,2020,2021,2,113057489.0,2020-10-01
Security and Investigation Services,Other Sectors,2020,2021,2,2566256.0,2020-10-01
Sport Teams,,2020,2021,2,6569115.0,2020-10-01
Securities / Financial Investments,,2020,2021,2,9605694.0,2020-10-01
"Accounting, Auditing, Bookkeeping",Professional Services,2020,2021,2,4849253.0,2020-10-01
Food & Beverage Products,Manufacturing,2020,2021,2,5097354.0,2020-10-01
Transportation Equipment,Manufacturing,2020,2021,2,2410421.0,2020-10-01
Telecommunication,,2020,2021,2,8328431.0,2020-10-01
Computer,Professional Services,2020,2021,2,5276021.0,2020-10-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2020,2021,2,11719438.0,2020-10-01
Legal Services,Professional Services,2020,2021,2,13677753.0,2020-10-01
Public Utilities,,2020,2021,2,3116406.0,2020-10-01
"Elementary, Secondary Schools",Education,2020,2021,2,7860997.0,2020-10-01
Professional Services,,2020,2021,2,52740451.0,2020-10-01
"Chemicals, Petroleum Refining",Manufacturing,2020,2021,2,3150651.0,2020-10-01
Management Consulting,Professional Services,2020,2021,2,11261251.0,2020-10-01
"Publishing, Broadcasting, and Other Information",,2020,2021,2,6320346.0,2020-10-01
Restaurants,,2020,2021,2,9813839.0,2020-10-01
Unclassified Accounts,,2020,2021,2,1097527.0,2020-10-01
"Real Estate, Rental and Leasing",,2020,2021,2,6470026.0,2020-10-01
Services to Buildings,Other Sectors,2020,2021,2,2877071.0,2020-10-01
Social Services,Health and Social Services,2020,2021,2,16830133.0,2020-10-01
Education,,2020,2021,2,42695420.0,2020-10-01
Federal Government,Government,2020,2021,1,35562201.0,2020-07-01
"Publishing, Broadcasting, and Other Information",,2020,2021,1,6407704.0,2020-07-01
Services to Buildings,Other Sectors,2020,2021,1,2815918.0,2020-07-01
Nursing & Personal Care Facilities,Health and Social Services,2020,2021,1,10615511.0,2020-07-01
Sport Teams,,2020,2021,1,6452691.0,2020-07-01
"Elementary, Secondary Schools",Education,2020,2021,1,7402159.0,2020-07-01
Transportation and Warehousing,,2020,2021,1,16615617.0,2020-07-01
Telecommunication,,2020,2021,1,9217101.0,2020-07-01
Hotels,,2020,2021,1,1034698.0,2020-07-01
Hospitals,Health and Social Services,2020,2021,1,60003088.0,2020-07-01
Legal Services,Professional Services,2020,2021,1,12994125.0,2020-07-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2020,2021,1,18348078.0,2020-07-01
Retail Trade,,2020,2021,1,24269604.0,2020-07-01
Other Sectors,,2020,2021,1,32858043.0,2020-07-01
Unclassified Accounts,,2020,2021,1,1147687.0,2020-07-01
Miscellaneous Manufacturing,Manufacturing,2020,2021,1,5315097.0,2020-07-01
Other Educational Services,Education,2020,2021,1,3055481.0,2020-07-01
"Real Estate, Rental and Leasing",,2020,2021,1,6468613.0,2020-07-01
"Arts, Entertainment, and Other Recreation",,2020,2021,1,2719846.0,2020-07-01
Computer,Professional Services,2020,2021,1,5191562.0,2020-07-01
Management Consulting,Professional Services,2020,2021,1,9952789.0,2020-07-01
"Chemicals, Petroleum Refining",Manufacturing,2020,2021,1,3331464.0,2020-07-01
Food & Beverage Products,Manufacturing,2020,2021,1,4310563.0,2020-07-01
Security and Investigation Services,Other Sectors,2020,2021,1,2516426.0,2020-07-01
State Government (PA),Government,2020,2021,1,3345712.0,2020-07-01
Membership Organizations,Other Sectors,2020,2021,1,9934104.0,2020-07-01
College and Universities,Education,2020,2021,1,29046029.0,2020-07-01
Other Governments,Government,2020,2021,1,683697.0,2020-07-01
Public Utilities,,2020,2021,1,3546251.0,2020-07-01
Banking & Credit Unions,,2020,2021,1,8351807.0,2020-07-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2020,2021,1,2347746.0,2020-07-01
Government,,2020,2021,1,75248869.0,2020-07-01
Education,,2020,2021,1,39503669.0,2020-07-01
Metal Manufacturing,Manufacturing,2020,2021,1,2013099.0,2020-07-01
Engineering & Architectural Services,Professional Services,2020,2021,1,6320317.0,2020-07-01
Miscellaneous Sectors,Other Sectors,2020,2021,1,10809397.0,2020-07-01
Construction,,2020,2021,1,17061166.0,2020-07-01
Pharmaceuticals,Manufacturing,2020,2021,1,5619491.0,2020-07-01
Securities / Financial Investments,,2020,2021,1,10137771.0,2020-07-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2020,2021,1,11004272.0,2020-07-01
Professional Services,,2020,2021,1,50450750.0,2020-07-01
Transportation Equipment,Manufacturing,2020,2021,1,2652730.0,2020-07-01
Health and Social Services,,2020,2021,1,117019417.0,2020-07-01
Manufacturing,,2020,2021,1,25590188.0,2020-07-01
Restaurants,,2020,2021,1,7957834.0,2020-07-01
"City, School District, Local Quasi Govt.",Government,2020,2021,1,35657257.0,2020-07-01
Insurance,,2020,2021,1,11094913.0,2020-07-01
Advertising and Other Professional Services,Professional Services,2020,2021,1,10368132.0,2020-07-01
"Accounting, Auditing, Bookkeeping",Professional Services,2020,2021,1,5623824.0,2020-07-01
Wholesale Trade,,2020,2021,1,9102527.0,2020-07-01
Employment/Outsourcing Agencies,Other Sectors,2020,2021,1,6782197.0,2020-07-01
Social Services,Health and Social Services,2020,2021,1,17048468.0,2020-07-01
Employment/Outsourcing Agencies,Other Sectors,2020,2020,4,7459836.0,2020-04-01
Health and Social Services,,2020,2020,4,108092712.0,2020-04-01
Miscellaneous Sectors,Other Sectors,2020,2020,4,11832863.0,2020-04-01
Insurance,,2020,2020,4,14556836.0,2020-04-01
"Arts, Entertainment, and Other Recreation",,2020,2020,4,3088911.0,2020-04-01
Government,,2020,2020,4,47390654.0,2020-04-01
Public Utilities,,2020,2020,4,3267451.0,2020-04-01
Other Educational Services,Education,2020,2020,4,3263315.0,2020-04-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2020,2020,4,9499509.0,2020-04-01
Other Governments,Government,2020,2020,4,646628.0,2020-04-01
Pharmaceuticals,Manufacturing,2020,2020,4,6925279.0,2020-04-01
Management Consulting,Professional Services,2020,2020,4,10976092.0,2020-04-01
State Government (PA),Government,2020,2020,4,3346986.0,2020-04-01
"City, School District, Local Quasi Govt.",Government,2020,2020,4,29834277.0,2020-04-01
Transportation Equipment,Manufacturing,2020,2020,4,2157926.0,2020-04-01
College and Universities,Education,2020,2020,4,33690094.0,2020-04-01
Food & Beverage Products,Manufacturing,2020,2020,4,4219223.0,2020-04-01
"Accounting, Auditing, Bookkeeping",Professional Services,2020,2020,4,6273233.0,2020-04-01
Banking & Credit Unions,,2020,2020,4,11004078.0,2020-04-01
Security and Investigation Services,Other Sectors,2020,2020,4,2368986.0,2020-04-01
Computer,Professional Services,2020,2020,4,5789621.0,2020-04-01
Education,,2020,2020,4,44715029.0,2020-04-01
Restaurants,,2020,2020,4,8657519.0,2020-04-01
Membership Organizations,Other Sectors,2020,2020,4,9775439.0,2020-04-01
Wholesale Trade,,2020,2020,4,9632142.0,2020-04-01
Sport Teams,,2020,2020,4,4838093.0,2020-04-01
Engineering & Architectural Services,Professional Services,2020,2020,4,6339620.0,2020-04-01
Advertising and Other Professional Services,Professional Services,2020,2020,4,11275197.0,2020-04-01
Hospitals,Health and Social Services,2020,2020,4,53712112.0,2020-04-01
"Elementary, Secondary Schools",Education,2020,2020,4,7761619.0,2020-04-01
Telecommunication,,2020,2020,4,14643633.0,2020-04-01
Other Sectors,,2020,2020,4,33996406.0,2020-04-01
Manufacturing,,2020,2020,4,26812560.0,2020-04-01
Miscellaneous Manufacturing,Manufacturing,2020,2020,4,5693001.0,2020-04-01
Services to Buildings,Other Sectors,2020,2020,4,2559282.0,2020-04-01
Nursing & Personal Care Facilities,Health and Social Services,2020,2020,4,10922684.0,2020-04-01
Securities / Financial Investments,,2020,2020,4,16862022.0,2020-04-01
Metal Manufacturing,Manufacturing,2020,2020,4,1795281.0,2020-04-01
Federal Government,Government,2020,2020,4,13562764.0,2020-04-01
"Real Estate, Rental and Leasing",,2020,2020,4,6761988.0,2020-04-01
Hotels,,2020,2020,4,1328056.0,2020-04-01
"Publishing, Broadcasting, and Other Information",,2020,2020,4,7005267.0,2020-04-01
Unclassified Accounts,,2020,2020,4,1152966.0,2020-04-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2020,2020,4,17711889.0,2020-04-01
Retail Trade,,2020,2020,4,24474277.0,2020-04-01
Legal Services,Professional Services,2020,2020,4,14838350.0,2020-04-01
Construction,,2020,2020,4,13580000.0,2020-04-01
"Chemicals, Petroleum Refining",Manufacturing,2020,2020,4,3680092.0,2020-04-01
Professional Services,,2020,2020,4,55492112.0,2020-04-01
Social Services,Health and Social Services,2020,2020,4,16246521.0,2020-04-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2020,2020,4,2341757.0,2020-04-01
Transportation and Warehousing,,2020,2020,4,15374141.0,2020-04-01
Hotels,,2020,2020,3,2986611.0,2020-01-01
"Arts, Entertainment, and Other Recreation",,2020,2020,3,4758733.0,2020-01-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2020,2020,3,12706143.0,2020-01-01
Securities / Financial Investments,,2020,2020,3,17657440.0,2020-01-01
Security and Investigation Services,Other Sectors,2020,2020,3,2676881.0,2020-01-01
Legal Services,Professional Services,2020,2020,3,29398495.0,2020-01-01
Transportation Equipment,Manufacturing,2020,2020,3,2593200.0,2020-01-01
Nursing & Personal Care Facilities,Health and Social Services,2020,2020,3,11357590.0,2020-01-01
Education,,2020,2020,3,47232340.0,2020-01-01
Management Consulting,Professional Services,2020,2020,3,14153604.0,2020-01-01
"Publishing, Broadcasting, and Other Information",,2020,2020,3,7441103.0,2020-01-01
Government,,2020,2020,3,70964840.0,2020-01-01
Miscellaneous Sectors,Other Sectors,2020,2020,3,15190010.0,2020-01-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2020,2020,3,2356411.0,2020-01-01
Telecommunication,,2020,2020,3,19753812.0,2020-01-01
Health and Social Services,,2020,2020,3,115578623.0,2020-01-01
Metal Manufacturing,Manufacturing,2020,2020,3,2181376.0,2020-01-01
Restaurants,,2020,2020,3,14627223.0,2020-01-01
Professional Services,,2020,2020,3,76484993.0,2020-01-01
Construction,,2020,2020,3,18921070.0,2020-01-01
Retail Trade,,2020,2020,3,25809806.0,2020-01-01
Manufacturing,,2020,2020,3,44939092.0,2020-01-01
College and Universities,Education,2020,2020,3,35873311.0,2020-01-01
Federal Government,Government,2020,2020,3,31262015.0,2020-01-01
"Elementary, Secondary Schools",Education,2020,2020,3,7725329.0,2020-01-01
Hospitals,Health and Social Services,2020,2020,3,56932028.0,2020-01-01
Other Sectors,,2020,2020,3,41304931.0,2020-01-01
"Chemicals, Petroleum Refining",Manufacturing,2020,2020,3,6622133.0,2020-01-01
Services to Buildings,Other Sectors,2020,2020,3,2912721.0,2020-01-01
Advertising and Other Professional Services,Professional Services,2020,2020,3,12789531.0,2020-01-01
Engineering & Architectural Services,Professional Services,2020,2020,3,7310954.0,2020-01-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2020,2020,3,17819399.0,2020-01-01
Banking & Credit Unions,,2020,2020,3,12219228.0,2020-01-01
Miscellaneous Manufacturing,Manufacturing,2020,2020,3,6697135.0,2020-01-01
Membership Organizations,Other Sectors,2020,2020,3,11151780.0,2020-01-01
State Government (PA),Government,2020,2020,3,3487575.0,2020-01-01
Insurance,,2020,2020,3,24831130.0,2020-01-01
Other Educational Services,Education,2020,2020,3,3633700.0,2020-01-01
Computer,Professional Services,2020,2020,3,6061553.0,2020-01-01
Sport Teams,,2020,2020,3,5176177.0,2020-01-01
Wholesale Trade,,2020,2020,3,12078736.0,2020-01-01
Employment/Outsourcing Agencies,Other Sectors,2020,2020,3,9373538.0,2020-01-01
"Accounting, Auditing, Bookkeeping",Professional Services,2020,2020,3,6770858.0,2020-01-01
Food & Beverage Products,Manufacturing,2020,2020,3,4715485.0,2020-01-01
"City, School District, Local Quasi Govt.",Government,2020,2020,3,35512485.0,2020-01-01
Transportation and Warehousing,,2020,2020,3,18308614.0,2020-01-01
Unclassified Accounts,,2020,2020,3,1177504.0,2020-01-01
Other Governments,Government,2020,2020,3,702763.0,2020-01-01
Public Utilities,,2020,2020,3,5264773.0,2020-01-01
"Real Estate, Rental and Leasing",,2020,2020,3,11555695.0,2020-01-01
Pharmaceuticals,Manufacturing,2020,2020,3,19773351.0,2020-01-01
Social Services,Health and Social Services,2020,2020,3,16763463.0,2020-01-01
Advertising and Other Professional Services,Professional Services,2019,2020,2,11044428.0,2019-10-01
College and Universities,Education,2019,2020,2,42877476.0,2019-10-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2019,2020,2,12088234.0,2019-10-01
Services to Buildings,Other Sectors,2019,2020,2,3010221.0,2019-10-01
Hospitals,Health and Social Services,2019,2020,2,57499191.0,2019-10-01
Metal Manufacturing,Manufacturing,2019,2020,2,1984758.0,2019-10-01
Miscellaneous Manufacturing,Manufacturing,2019,2020,2,6262447.0,2019-10-01
Legal Services,Professional Services,2019,2020,2,19175787.0,2019-10-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2019,2020,2,2476884.0,2019-10-01
Miscellaneous Sectors,Other Sectors,2019,2020,2,14022562.0,2019-10-01
"Real Estate, Rental and Leasing",,2019,2020,2,7538692.0,2019-10-01
Transportation Equipment,Manufacturing,2019,2020,2,2486743.0,2019-10-01
Employment/Outsourcing Agencies,Other Sectors,2019,2020,2,9121635.0,2019-10-01
Transportation and Warehousing,,2019,2020,2,18385289.0,2019-10-01
Health and Social Services,,2019,2020,2,114296629.0,2019-10-01
State Government (PA),Government,2019,2020,2,3413685.0,2019-10-01
Telecommunication,,2019,2020,2,13122881.0,2019-10-01
Unclassified Accounts,,2019,2020,2,697497.0,2019-10-01
Manufacturing,,2019,2020,2,27625059.0,2019-10-01
"Elementary, Secondary Schools",Education,2019,2020,2,8008586.0,2019-10-01
Federal Government,Government,2019,2020,2,12265356.0,2019-10-01
Retail Trade,,2019,2020,2,25606039.0,2019-10-01
Other Sectors,,2019,2020,2,38921404.0,2019-10-01
"Chemicals, Petroleum Refining",Manufacturing,2019,2020,2,4215926.0,2019-10-01
Banking & Credit Unions,,2019,2020,2,9534401.0,2019-10-01
Social Services,Health and Social Services,2019,2020,2,15818295.0,2019-10-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2019,2020,2,18432766.0,2019-10-01
Wholesale Trade,,2019,2020,2,10556571.0,2019-10-01
Restaurants,,2019,2020,2,16283736.0,2019-10-01
Engineering & Architectural Services,Professional Services,2019,2020,2,7364177.0,2019-10-01
Construction,,2019,2020,2,18491902.0,2019-10-01
Insurance,,2019,2020,2,15279055.0,2019-10-01
Pharmaceuticals,Manufacturing,2019,2020,2,5580079.0,2019-10-01
Professional Services,,2019,2020,2,64038346.0,2019-10-01
"Accounting, Auditing, Bookkeeping",Professional Services,2019,2020,2,7689490.0,2019-10-01
Membership Organizations,Other Sectors,2019,2020,2,10200294.0,2019-10-01
Sport Teams,,2019,2020,2,6751489.0,2019-10-01
Public Utilities,,2019,2020,2,3335664.0,2019-10-01
"Arts, Entertainment, and Other Recreation",,2019,2020,2,4655334.0,2019-10-01
Hotels,,2019,2020,2,3156663.0,2019-10-01
Nursing & Personal Care Facilities,Health and Social Services,2019,2020,2,10458141.0,2019-10-01
Securities / Financial Investments,,2019,2020,2,12769626.0,2019-10-01
"Publishing, Broadcasting, and Other Information",,2019,2020,2,7358784.0,2019-10-01
Management Consulting,Professional Services,2019,2020,2,12777163.0,2019-10-01
Government,,2019,2020,2,50854066.0,2019-10-01
Education,,2019,2020,2,54603258.0,2019-10-01
Security and Investigation Services,Other Sectors,2019,2020,2,2566690.0,2019-10-01
Computer,Professional Services,2019,2020,2,5987299.0,2019-10-01
Other Governments,Government,2019,2020,2,636245.0,2019-10-01
Other Educational Services,Education,2019,2020,2,3717198.0,2019-10-01
"City, School District, Local Quasi Govt.",Government,2019,2020,2,34538781.0,2019-10-01
Food & Beverage Products,Manufacturing,2019,2020,2,4618220.0,2019-10-01
Unclassified Accounts,,2019,2020,1,862401.0,2019-07-01
Insurance,,2019,2020,1,14303086.0,2019-07-01
Hotels,,2019,2020,1,3121410.0,2019-07-01
Transportation Equipment,Manufacturing,2019,2020,1,2406615.0,2019-07-01
Metal Manufacturing,Manufacturing,2019,2020,1,2507001.0,2019-07-01
Management Consulting,Professional Services,2019,2020,1,11419799.0,2019-07-01
Legal Services,Professional Services,2019,2020,1,16992145.0,2019-07-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2019,2020,1,2280584.0,2019-07-01
Manufacturing,,2019,2020,1,27808667.0,2019-07-01
"Accounting, Auditing, Bookkeeping",Professional Services,2019,2020,1,6398722.0,2019-07-01
Membership Organizations,Other Sectors,2019,2020,1,10188197.0,2019-07-01
Transportation and Warehousing,,2019,2020,1,18446771.0,2019-07-01
Federal Government,Government,2019,2020,1,29555772.0,2019-07-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2019,2020,1,11986462.0,2019-07-01
Social Services,Health and Social Services,2019,2020,1,15228857.0,2019-07-01
Other Educational Services,Education,2019,2020,1,3274269.0,2019-07-01
Food & Beverage Products,Manufacturing,2019,2020,1,4210190.0,2019-07-01
Services to Buildings,Other Sectors,2019,2020,1,3027803.0,2019-07-01
"Real Estate, Rental and Leasing",,2019,2020,1,7292774.0,2019-07-01
Other Governments,Government,2019,2020,1,668680.0,2019-07-01
State Government (PA),Government,2019,2020,1,3771708.0,2019-07-01
"Publishing, Broadcasting, and Other Information",,2019,2020,1,6625176.0,2019-07-01
Education,,2019,2020,1,49538877.0,2019-07-01
Other Sectors,,2019,2020,1,37671994.0,2019-07-01
Banking & Credit Unions,,2019,2020,1,8396612.0,2019-07-01
"City, School District, Local Quasi Govt.",Government,2019,2020,1,34559561.0,2019-07-01
Public Utilities,,2019,2020,1,3558824.0,2019-07-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2019,2020,1,17617581.0,2019-07-01
Engineering & Architectural Services,Professional Services,2019,2020,1,6431514.0,2019-07-01
"Elementary, Secondary Schools",Education,2019,2020,1,7168515.0,2019-07-01
Pharmaceuticals,Manufacturing,2019,2020,1,5572147.0,2019-07-01
Wholesale Trade,,2019,2020,1,10498839.0,2019-07-01
Sport Teams,,2019,2020,1,7204579.0,2019-07-01
"Chemicals, Petroleum Refining",Manufacturing,2019,2020,1,4858370.0,2019-07-01
Employment/Outsourcing Agencies,Other Sectors,2019,2020,1,8414265.0,2019-07-01
"Arts, Entertainment, and Other Recreation",,2019,2020,1,4242862.0,2019-07-01
Professional Services,,2019,2020,1,57728805.0,2019-07-01
Government,,2019,2020,1,68555721.0,2019-07-01
Retail Trade,,2019,2020,1,23815419.0,2019-07-01
College and Universities,Education,2019,2020,1,39096094.0,2019-07-01
Advertising and Other Professional Services,Professional Services,2019,2020,1,11130609.0,2019-07-01
Hospitals,Health and Social Services,2019,2020,1,58128936.0,2019-07-01
Securities / Financial Investments,,2019,2020,1,11818622.0,2019-07-01
Security and Investigation Services,Other Sectors,2019,2020,1,2512128.0,2019-07-01
Miscellaneous Manufacturing,Manufacturing,2019,2020,1,5973763.0,2019-07-01
Computer,Professional Services,2019,2020,1,5356013.0,2019-07-01
Health and Social Services,,2019,2020,1,113478426.0,2019-07-01
Miscellaneous Sectors,Other Sectors,2019,2020,1,13529601.0,2019-07-01
Restaurants,,2019,2020,1,14289329.0,2019-07-01
Telecommunication,,2019,2020,1,12235365.0,2019-07-01
Nursing & Personal Care Facilities,Health and Social Services,2019,2020,1,10516589.0,2019-07-01
Construction,,2019,2020,1,18757590.0,2019-07-01
Public Utilities,,2019,2019,4,3410540.0,2019-04-01
Restaurants,,2019,2019,4,14348274.0,2019-04-01
"Chemicals, Petroleum Refining",Manufacturing,2019,2019,4,4826233.0,2019-04-01
Services to Buildings,Other Sectors,2019,2019,4,2891380.0,2019-04-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2019,2019,4,11800013.0,2019-04-01
College and Universities,Education,2019,2019,4,36505345.0,2019-04-01
Securities / Financial Investments,,2019,2019,4,15077254.0,2019-04-01
"Elementary, Secondary Schools",Education,2019,2019,4,7649288.0,2019-04-01
Manufacturing,,2019,2019,4,29195389.0,2019-04-01
"Accounting, Auditing, Bookkeeping",Professional Services,2019,2019,4,6968645.0,2019-04-01
Security and Investigation Services,Other Sectors,2019,2019,4,2481560.0,2019-04-01
Retail Trade,,2019,2019,4,26131356.0,2019-04-01
"Real Estate, Rental and Leasing",,2019,2019,4,7903223.0,2019-04-01
Transportation and Warehousing,,2019,2019,4,17745956.0,2019-04-01
Professional Services,,2019,2019,4,58558978.0,2019-04-01
Computer,Professional Services,2019,2019,4,5485471.0,2019-04-01
"Publishing, Broadcasting, and Other Information",,2019,2019,4,6796799.0,2019-04-01
"City, School District, Local Quasi Govt.",Government,2019,2019,4,32224883.0,2019-04-01
Social Services,Health and Social Services,2019,2019,4,13758584.0,2019-04-01
Construction,,2019,2019,4,17371101.0,2019-04-01
Education,,2019,2019,4,47658527.0,2019-04-01
Management Consulting,Professional Services,2019,2019,4,11390377.0,2019-04-01
Legal Services,Professional Services,2019,2019,4,17565107.0,2019-04-01
Transportation Equipment,Manufacturing,2019,2019,4,2466690.0,2019-04-01
Sport Teams,,2019,2019,4,6342298.0,2019-04-01
Other Governments,Government,2019,2019,4,627279.0,2019-04-01
Unclassified Accounts,,2019,2019,4,1002280.0,2019-04-01
State Government (PA),Government,2019,2019,4,3573821.0,2019-04-01
Employment/Outsourcing Agencies,Other Sectors,2019,2019,4,8579825.0,2019-04-01
Food & Beverage Products,Manufacturing,2019,2019,4,4167295.0,2019-04-01
Other Educational Services,Education,2019,2019,4,3503897.0,2019-04-01
"Arts, Entertainment, and Other Recreation",,2019,2019,4,4403872.0,2019-04-01
Government,,2019,2019,4,47956798.0,2019-04-01
Nursing & Personal Care Facilities,Health and Social Services,2019,2019,4,10821039.0,2019-04-01
Telecommunication,,2019,2019,4,16265696.0,2019-04-01
Hotels,,2019,2019,4,3179071.0,2019-04-01
Health and Social Services,,2019,2019,4,108167306.0,2019-04-01
Miscellaneous Sectors,Other Sectors,2019,2019,4,15171927.0,2019-04-01
Metal Manufacturing,Manufacturing,2019,2019,4,2137311.0,2019-04-01
Miscellaneous Manufacturing,Manufacturing,2019,2019,4,6339112.0,2019-04-01
Hospitals,Health and Social Services,2019,2019,4,53356552.0,2019-04-01
Advertising and Other Professional Services,Professional Services,2019,2019,4,10752937.0,2019-04-01
Membership Organizations,Other Sectors,2019,2019,4,10072062.0,2019-04-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2019,2019,4,2581365.0,2019-04-01
Wholesale Trade,,2019,2019,4,11444243.0,2019-04-01
Pharmaceuticals,Manufacturing,2019,2019,4,6677384.0,2019-04-01
Other Sectors,,2019,2019,4,39196752.0,2019-04-01
Engineering & Architectural Services,Professional Services,2019,2019,4,6396443.0,2019-04-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2019,2019,4,18431117.0,2019-04-01
Banking & Credit Unions,,2019,2019,4,10322022.0,2019-04-01
Insurance,,2019,2019,4,17346355.0,2019-04-01
Federal Government,Government,2019,2019,4,11530814.0,2019-04-01
Miscellaneous Manufacturing,Manufacturing,2019,2019,3,6435232.0,2019-01-01
Securities / Financial Investments,,2019,2019,3,16580106.0,2019-01-01
Security and Investigation Services,Other Sectors,2019,2019,3,2430853.0,2019-01-01
Management Consulting,Professional Services,2019,2019,3,12850038.0,2019-01-01
Metal Manufacturing,Manufacturing,2019,2019,3,2211388.0,2019-01-01
Miscellaneous Sectors,Other Sectors,2019,2019,3,14222346.0,2019-01-01
Public Utilities,,2019,2019,3,5114597.0,2019-01-01
Transportation Equipment,Manufacturing,2019,2019,3,2544081.0,2019-01-01
Manufacturing,,2019,2019,3,34230923.0,2019-01-01
Retail Trade,,2019,2019,3,24397990.0,2019-01-01
Sport Teams,,2019,2019,3,5499456.0,2019-01-01
Pharmaceuticals,Manufacturing,2019,2019,3,8322492.0,2019-01-01
Social Services,Health and Social Services,2019,2019,3,13095135.0,2019-01-01
Nursing & Personal Care Facilities,Health and Social Services,2019,2019,3,10749149.0,2019-01-01
Telecommunication,,2019,2019,3,17736292.0,2019-01-01
Restaurants,,2019,2019,3,14450973.0,2019-01-01
Transportation and Warehousing,,2019,2019,3,17414124.0,2019-01-01
Services to Buildings,Other Sectors,2019,2019,3,2698989.0,2019-01-01
