full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_code,dept_name,abbreviation
72,2565751,44000,2022,Target Budget,YTD,Office of Human Resources,2021-12-31,56,Office of Human Resources,OHR
72,2565751,55915,2022,Actual,YTD,Office of Human Resources,2021-12-31,56,Office of Human Resources,OHR
80,5223802,0,2022,Adopted Budget,Full Year,Office of Human Resources,2021-12-31,56,Office of Human Resources,OHR
80,5223802,88000,2022,Target Budget,Full Year,Office of Human Resources,2021-12-31,56,Office of Human Resources,OHR
80,5426581,88000,2022,Current Projection,Full Year,Office of Human Resources,2021-12-31,56,Office of Human Resources,OHR
277,20875286,489644,2019,Actual,Full Year,Office of Innovation and Technology,2019-06-30,04,Office of Innovation and Technology,OIT
317,24148702,486875,2020,Actual,Full Year,Office of Innovation and Technology,2020-06-30,04,Office of Innovation and Technology,OIT
313,24142550,350274,2021,Actual,Full Year,Office of Innovation and Technology,2021-06-30,04,Office of Innovation and Technology,OIT
307,12450508,209220,2022,Target Budget,YTD,Office of Innovation and Technology,2021-12-31,04,Office of Innovation and Technology,OIT
307,12450508,253370,2022,Actual,YTD,Office of Innovation and Technology,2021-12-31,04,Office of Innovation and Technology,OIT
364,28131196,418439,2022,Adopted Budget,Full Year,Office of Innovation and Technology,2021-12-31,04,Office of Innovation and Technology,OIT
343,26071196,418439,2022,Target Budget,Full Year,Office of Innovation and Technology,2021-12-31,04,Office of Innovation and Technology,OIT
343,26710814,505439,2022,Current Projection,Full Year,Office of Innovation and Technology,2021-12-31,04,Office of Innovation and Technology,OIT
18,1415627,0,2019,Actual,Full Year,Office of the Inspector General,2019-06-30,48,Office of the Inspector General,OIG
16,1397115,0,2020,Actual,Full Year,Office of the Inspector General,2020-06-30,48,Office of the Inspector General,OIG
18,1283300,0,2021,Actual,Full Year,Office of the Inspector General,2021-06-30,48,Office of the Inspector General,OIG
17,686330,0,2022,Target Budget,YTD,Office of the Inspector General,2021-12-31,48,Office of the Inspector General,OIG
17,686330,0,2022,Actual,YTD,Office of the Inspector General,2021-12-31,48,Office of the Inspector General,OIG
19,1504223,0,2022,Adopted Budget,Full Year,Office of the Inspector General,2021-12-31,48,Office of the Inspector General,OIG
19,1456000,0,2022,Target Budget,Full Year,Office of the Inspector General,2021-12-31,48,Office of the Inspector General,OIG
19,1478002,0,2022,Current Projection,Full Year,Office of the Inspector General,2021-12-31,48,Office of the Inspector General,OIG
196,12500926,94062,2019,Actual,Full Year,Office of Property Assessment,2019-06-30,59,Office of Property Assessment,OPA
195,13142246,73955,2020,Actual,Full Year,Office of Property Assessment,2020-06-30,59,Office of Property Assessment,OPA
190,13393546,42002,2021,Actual,Full Year,Office of Property Assessment,2021-06-30,59,Office of Property Assessment,OPA
185,6690591,40000,2022,Target Budget,YTD,Office of Property Assessment,2021-12-31,59,Office of Property Assessment,OPA
185,6690591,21625,2022,Actual,YTD,Office of Property Assessment,2021-12-31,59,Office of Property Assessment,OPA
223,14395213,110000,2022,Adopted Budget,Full Year,Office of Property Assessment,2021-12-31,59,Office of Property Assessment,OPA
215,13999213,80000,2022,Target Budget,Full Year,Office of Property Assessment,2021-12-31,59,Office of Property Assessment,OPA
215,14835075,54000,2022,Current Projection,Full Year,Office of Property Assessment,2021-12-31,59,Office of Property Assessment,OPA
9,548133,139,2019,Actual,Full Year,Office of Sustainability,2019-06-30,49,Office of Sustainability,Sustainability
7,566858,79,2020,Actual,Full Year,Office of Sustainability,2020-06-30,49,Office of Sustainability,Sustainability
8,484422,0,2021,Actual,Full Year,Office of Sustainability,2021-06-30,49,Office of Sustainability,Sustainability
11,416668,0,2022,Target Budget,YTD,Office of Sustainability,2021-12-31,49,Office of Sustainability,Sustainability
11,416668,0,2022,Actual,YTD,Office of Sustainability,2021-12-31,49,Office of Sustainability,Sustainability
12,722621,0,2022,Adopted Budget,Full Year,Office of Sustainability,2021-12-31,49,Office of Sustainability,Sustainability
13,812621,0,2022,Target Budget,Full Year,Office of Sustainability,2021-12-31,49,Office of Sustainability,Sustainability
13,822993,0,2022,Current Projection,Full Year,Office of Sustainability,2021-12-31,49,Office of Sustainability,Sustainability
647,48579951,3538131,2019,Actual,Full Year,Parks and Recreation,2019-06-30,16,Department of Parks and Recreation,Parks & Recreation
647,50465519,3182453,2020,Actual,Full Year,Parks and Recreation,2020-06-30,16,Department of Parks and Recreation,Parks & Recreation
644,42876919,2083704,2021,Actual,Full Year,Parks and Recreation,2021-06-30,16,Department of Parks and Recreation,Parks & Recreation
612,26389916,1558335,2022,Target Budget,YTD,Parks and Recreation,2021-12-31,16,Department of Parks and Recreation,Parks & Recreation
612,26389916,2263417,2022,Actual,YTD,Parks and Recreation,2021-12-31,16,Department of Parks and Recreation,Parks & Recreation
763,52352786,3116670,2022,Adopted Budget,Full Year,Parks and Recreation,2021-12-31,16,Department of Parks and Recreation,Parks & Recreation
763,51352786,3116670,2022,Target Budget,Full Year,Parks and Recreation,2021-12-31,16,Department of Parks and Recreation,Parks & Recreation
763,53658191,3216670,2022,Current Projection,Full Year,Parks and Recreation,2021-12-31,16,Department of Parks and Recreation,Parks & Recreation
56,4695950,14817,2019,Actual,Full Year,Planning and Development,2019-06-30,72,Department of Planning and Development,Planning & Development
55,4778297,13575,2020,Actual,Full Year,Planning and Development,2020-06-30,72,Department of Planning and Development,Planning & Development
55,4510200,9507,2021,Actual,Full Year,Planning and Development,2021-06-30,72,Department of Planning and Development,Planning & Development
53,2251757,9741,2022,Target Budget,YTD,Planning and Development,2021-12-31,72,Department of Planning and Development,Planning & Development
53,2251757,15231,2022,Actual,YTD,Planning and Development,2021-12-31,72,Department of Planning and Development,Planning & Development
62,4873604,0,2022,Adopted Budget,Full Year,Planning and Development,2021-12-31,72,Department of Planning and Development,Planning & Development
62,4873604,19482,2022,Target Budget,Full Year,Planning and Development,2021-12-31,72,Department of Planning and Development,Planning & Development
62,5228518,24482,2022,Current Projection,Full Year,Planning and Development,2021-12-31,72,Department of Planning and Development,Planning & Development
7241,685445815,61647723,2019,Actual,Full Year,Police,2019-06-30,11,Police Department,Police
7175,736072678,78667457,2020,Actual,Full Year,Police,2020-06-30,11,Police Department,Police
6869,708324818,64896010,2021,Actual,Full Year,Police,2021-06-30,11,Police Department,Police
6755,322015739,30016713,2022,Target Budget,YTD,Police,2021-12-31,11,Police Department,Police
6755,322015739,36632741,2022,Actual,YTD,Police,2021-12-31,11,Police Department,Police
7304,704349409,60033425,2022,Adopted Budget,Full Year,Police,2021-12-31,11,Police Department,Police
7304,698349409,60033425,2022,Target Budget,Full Year,Police,2021-12-31,11,Police Department,Police
7304,731821929,70033425,2022,Current Projection,Full Year,Police,2021-12-31,11,Police Department,Police
2130,138537912,24169020,2019,Actual,Full Year,Prisons,2019-06-30,23,Philadelphia Prison System,Prisons
1975,137253128,26918548,2020,Actual,Full Year,Prisons,2020-06-30,23,Philadelphia Prison System,Prisons
1620,118472913,24602298,2021,Actual,Full Year,Prisons,2021-06-30,23,Philadelphia Prison System,Prisons
1484,53799005,11862550,2022,Target Budget,YTD,Prisons,2021-12-31,23,Philadelphia Prison System,Prisons
1484,53799005,14296709,2022,Actual,YTD,Prisons,2021-12-31,23,Philadelphia Prison System,Prisons
2186,132739167,23725100,2022,Adopted Budget,Full Year,Prisons,2021-12-31,23,Philadelphia Prison System,Prisons
2186,132739167,23725100,2022,Target Budget,Full Year,Prisons,2021-12-31,23,Philadelphia Prison System,Prisons
2186,133890594,25225100,2022,Current Projection,Full Year,Prisons,2021-12-31,23,Philadelphia Prison System,Prisons
41,2402513,5647,2019,Actual,Full Year,Procurement,2019-06-30,38,Procurement Department,Procurement
42,2519208,5390,2020,Actual,Full Year,Procurement,2020-06-30,38,Procurement Department,Procurement
35,2434690,11124,2021,Actual,Full Year,Procurement,2021-06-30,38,Procurement Department,Procurement
35,1314957,1000,2022,Target Budget,YTD,Procurement,2021-12-31,38,Procurement Department,Procurement
35,1314957,1094,2022,Actual,YTD,Procurement,2021-12-31,38,Procurement Department,Procurement
42,2648235,0,2022,Adopted Budget,Full Year,Procurement,2021-12-31,38,Procurement Department,Procurement
42,2648235,2000,2022,Target Budget,Full Year,Procurement,2021-12-31,38,Procurement Department,Procurement
42,2777733,2000,2022,Current Projection,Full Year,Procurement,2021-12-31,38,Procurement Department,Procurement
752,57173653,2346586,2019,Actual,Full Year,Public Health,2019-06-30,14,Department of Public Health,Public Health
739,60130461,2602722,2020,Actual,Full Year,Public Health,2020-06-30,14,Department of Public Health,Public Health
716,58289725,2319808,2021,Actual,Full Year,Public Health,2021-06-30,14,Department of Public Health,Public Health
713,30324872,1252772,2022,Target Budget,YTD,Public Health,2021-12-31,14,Department of Public Health,Public Health
713,30324872,1232828,2022,Actual,YTD,Public Health,2021-12-31,14,Department of Public Health,Public Health
822,59267291,2505544,2022,Adopted Budget,Full Year,Public Health,2021-12-31,14,Department of Public Health,Public Health
822,59267291,2505544,2022,Target Budget,Full Year,Public Health,2021-12-31,14,Department of Public Health,Public Health
822,62004283,2505544,2022,Current Projection,Full Year,Public Health,2021-12-31,14,Department of Public Health,Public Health
135,8875590,839027,2019,Actual,Full Year,Public Property,2019-06-30,20,Department of Public Property,Public Property
119,8610609,800350,2020,Actual,Full Year,Public Property,2020-06-30,20,Department of Public Property,Public Property
142,9847147,195014,2021,Actual,Full Year,Public Property,2021-06-30,20,Department of Public Property,Public Property
142,4874288,115207,2022,Target Budget,YTD,Public Property,2021-12-31,20,Department of Public Property,Public Property
142,4874288,128269,2022,Actual,YTD,Public Property,2021-12-31,20,Department of Public Property,Public Property
156,10098527,230414,2022,Adopted Budget,Full Year,Public Property,2021-12-31,20,Department of Public Property,Public Property
156,10098527,230414,2022,Target Budget,Full Year,Public Property,2021-12-31,20,Department of Public Property,Public Property
156,10548425,240414,2022,Current Projection,Full Year,Public Property,2021-12-31,20,Department of Public Property,Public Property
55,2983490,63145,2019,Actual,Full Year,Records,2019-06-30,31,Department of Records,Records
51,2995101,55381,2020,Actual,Full Year,Records,2020-06-30,31,Department of Records,Records
51,2823021,65664,2021,Actual,Full Year,Records,2021-06-30,31,Department of Records,Records
50,1551298,86828,2022,Target Budget,YTD,Records,2021-12-31,31,Department of Records,Records
50,1551298,114634,2022,Actual,YTD,Records,2021-12-31,31,Department of Records,Records
54,3009970,37456,2022,Adopted Budget,Full Year,Records,2021-12-31,31,Department of Records,Records
58,3084970,173656,2022,Target Budget,Full Year,Records,2021-12-31,31,Department of Records,Records
58,3259750,233656,2022,Current Projection,Full Year,Records,2021-12-31,31,Department of Records,Records
70,4262942,1488,2019,Actual,Full Year,Register of Wills,2019-06-30,68,Register of Wills,
66,4523524,399,2020,Actual,Full Year,Register of Wills,2020-06-30,68,Register of Wills,
70,4174663,231,2021,Actual,Full Year,Register of Wills,2021-06-30,68,Register of Wills,
68,1966625,0,2022,Target Budget,YTD,Register of Wills,2021-12-31,68,Register of Wills,
68,1966625,0,2022,Actual,YTD,Register of Wills,2021-12-31,68,Register of Wills,
71,3956193,0,2022,Adopted Budget,Full Year,Register of Wills,2021-12-31,68,Register of Wills,
71,3956193,0,2022,Target Budget,Full Year,Register of Wills,2021-12-31,68,Register of Wills,
71,3997445,0,2022,Current Projection,Full Year,Register of Wills,2021-12-31,68,Register of Wills,
405,22700386,367414,2019,Actual,Full Year,Revenue,2019-06-30,36,Department of Revenue,Revenue
402,23489160,295650,2020,Actual,Full Year,Revenue,2020-06-30,36,Department of Revenue,Revenue
386,22277095,85746,2021,Actual,Full Year,Revenue,2021-06-30,36,Department of Revenue,Revenue
342,10179991,100000,2022,Target Budget,YTD,Revenue,2021-12-31,36,Department of Revenue,Revenue
342,10179991,83120,2022,Actual,YTD,Revenue,2021-12-31,36,Department of Revenue,Revenue
399,20380548,300000,2022,Adopted Budget,Full Year,Revenue,2021-12-31,36,Department of Revenue,Revenue
399,20305967,200000,2022,Target Budget,Full Year,Revenue,2021-12-31,36,Department of Revenue,Revenue
399,21518547,200000,2022,Current Projection,Full Year,Revenue,2021-12-31,36,Department of Revenue,Revenue
355,27638571,6163832,2019,Actual,Full Year,Sheriff,2019-06-30,70,Office of the Sheriff,Sheriff
385,28049726,4797577,2020,Actual,Full Year,Sheriff,2020-06-30,70,Office of the Sheriff,Sheriff
367,26258562,2799955,2021,Actual,Full Year,Sheriff,2021-06-30,70,Office of the Sheriff,Sheriff
352,12398789,1567521,2022,Target Budget,YTD,Sheriff,2021-12-31,70,Office of the Sheriff,Sheriff
352,12398789,1756578,2022,Actual,YTD,Sheriff,2021-12-31,70,Office of the Sheriff,Sheriff
428,25192450,2685042,2022,Adopted Budget,Full Year,Sheriff,2021-12-31,70,Office of the Sheriff,Sheriff
428,25192450,3135042,2022,Target Budget,Full Year,Sheriff,2021-12-31,70,Office of the Sheriff,Sheriff
428,25386735,3135042,2022,Current Projection,Full Year,Sheriff,2021-12-31,70,Office of the Sheriff,Sheriff
1736,83603511,15557607,2019,Actual,Full Year,Streets,2019-06-30,12,Streets Department,Streets
1925,90344142,15039549,2020,Actual,Full Year,Streets,2020-06-30,12,Streets Department,Streets
1941,88868951,16469836,2021,Actual,Full Year,Streets,2021-06-30,12,Streets Department,Streets
2017,48365454,5876255,2022,Target Budget,YTD,Streets,2021-12-31,12,Streets Department,Streets
2017,48365454,9347474,2022,Actual,YTD,Streets,2021-12-31,12,Streets Department,Streets
2045,90986330,11752509,2022,Adopted Budget,Full Year,Streets,2021-12-31,12,Streets Department,Streets
2134,91910110,11752509,2022,Target Budget,Full Year,Streets,2021-12-31,12,Streets Department,Streets
2134,99375076,14152509,2022,Current Projection,Full Year,Streets,2021-12-31,12,Streets Department,Streets
