category,fiscal_month,amount,fiscal_year,quarter,month
BIRT,12,9.4,2020,1,6
Beverage Tax,12,6.2,2020,1,6
Other Taxes,12,10.1,2020,1,6
Locally Generated Non-Tax,12,33.8,2020,1,6
Other Governments,12,11.4,2020,1,6
PICA Other Governments,12,47.0,2020,1,6
Interfund Transfers,12,25.5,2020,1,6
Total Current Revenue,12,328.7,2020,1,6
Prior Year Revenue,12,0.0,2020,1,6
Other Adjustments,12,0.0,2020,1,6
Total Cash Receipts,12,328.7,2020,1,6
Real Estate Tax,1,8.7,2019,4,7
"Wage, Earnings, Net Profits",1,142.8,2019,4,7
Realty Transfer Tax,1,38.0,2019,4,7
Sales Tax,1,25.9,2019,4,7
BIRT,1,5.6,2019,4,7
Beverage Tax,1,7.1,2019,4,7
Other Taxes,1,10.9,2019,4,7
Locally Generated Non-Tax,1,27.0,2019,4,7
Other Governments,1,3.3,2019,4,7
PICA Other Governments,1,34.1,2019,4,7
Interfund Transfers,1,0.0,2019,4,7
Total Current Revenue,1,303.4,2019,4,7
Prior Year Revenue,1,32.3,2019,4,7
Other Adjustments,1,0.0,2019,4,7
Total Cash Receipts,1,335.7,2019,4,7
Real Estate Tax,2,9.5,2019,4,8
"Wage, Earnings, Net Profits",2,119.6,2019,4,8
Realty Transfer Tax,2,30.7,2019,4,8
Sales Tax,2,27.8,2019,4,8
BIRT,2,2.3,2019,4,8
Beverage Tax,2,6.5,2019,4,8
Other Taxes,2,14.6,2019,4,8
Locally Generated Non-Tax,2,28.3,2019,4,8
Other Governments,2,63.5,2019,4,8
PICA Other Governments,2,41.6,2019,4,8
Interfund Transfers,2,0.0,2019,4,8
Total Current Revenue,2,344.3,2019,4,8
Prior Year Revenue,2,23.3,2019,4,8
Other Adjustments,2,0.0,2019,4,8
Total Cash Receipts,2,367.6,2019,4,8
Real Estate Tax,3,6.5,2019,4,9
"Wage, Earnings, Net Profits",3,122.3,2019,4,9
Realty Transfer Tax,3,20.0,2019,4,9
Sales Tax,3,14.7,2019,4,9
BIRT,3,15.8,2019,4,9
Beverage Tax,3,6.6,2019,4,9
Other Taxes,3,9.4,2019,4,9
Locally Generated Non-Tax,3,27.5,2019,4,9
Other Governments,3,80.2,2019,4,9
PICA Other Governments,3,25.4,2019,4,9
Interfund Transfers,3,0.0,2019,4,9
Total Current Revenue,3,328.3,2019,4,9
Prior Year Revenue,3,16.4,2019,4,9
Other Adjustments,3,0.0,2019,4,9
Total Cash Receipts,3,344.7,2019,4,9
Real Estate Tax,4,6.7,2019,4,10
"Wage, Earnings, Net Profits",4,145.1,2019,4,10
Realty Transfer Tax,4,29.2,2019,4,10
Sales Tax,4,13.3,2019,4,10
BIRT,4,16.7,2019,4,10
Beverage Tax,4,6.6,2019,4,10
Other Taxes,4,10.3,2019,4,10
Locally Generated Non-Tax,4,22.7,2019,4,10
Other Governments,4,53.9,2019,4,10
PICA Other Governments,4,36.8,2019,4,10
Interfund Transfers,4,0.0,2019,4,10
Total Current Revenue,4,341.2,2019,4,10
Prior Year Revenue,4,10.6,2019,4,10
Other Adjustments,4,0.0,2019,4,10
Total Cash Receipts,4,351.9,2019,4,10
Real Estate Tax,5,5.4,2019,4,11
"Wage, Earnings, Net Profits",5,113.4,2019,4,11
Realty Transfer Tax,5,22.6,2019,4,11
Sales Tax,5,14.4,2019,4,11
BIRT,5,1.3,2019,4,11
Beverage Tax,5,7.0,2019,4,11
Other Taxes,5,11.4,2019,4,11
Locally Generated Non-Tax,5,30.8,2019,4,11
Other Governments,5,23.8,2019,4,11
PICA Other Governments,5,49.8,2019,4,11
Interfund Transfers,5,0.0,2019,4,11
Total Current Revenue,5,279.9,2019,4,11
Prior Year Revenue,5,0.0,2019,4,11
Other Adjustments,5,0.0,2019,4,11
Total Cash Receipts,5,279.9,2019,4,11
Real Estate Tax,6,22.3,2019,4,12
"Wage, Earnings, Net Profits",6,119.1,2019,4,12
Realty Transfer Tax,6,26.3,2019,4,12
Sales Tax,6,13.3,2019,4,12
BIRT,6,12.8,2019,4,12
Beverage Tax,6,5.6,2019,4,12
Other Taxes,6,9.2,2019,4,12
Locally Generated Non-Tax,6,22.2,2019,4,12
Other Governments,6,7.2,2019,4,12
PICA Other Governments,6,38.6,2019,4,12
Interfund Transfers,6,0.0,2019,4,12
Total Current Revenue,6,276.8,2019,4,12
Prior Year Revenue,6,0.0,2019,4,12
Other Adjustments,6,0.0,2019,4,12
Total Cash Receipts,6,276.8,2019,4,12
Real Estate Tax,7,52.2,2019,4,1
"Wage, Earnings, Net Profits",7,170.3,2019,4,1
Realty Transfer Tax,7,25.3,2019,4,1
Sales Tax,7,12.9,2019,4,1
BIRT,7,27.2,2019,4,1
Beverage Tax,7,6.2,2019,4,1
Other Taxes,7,11.3,2019,4,1
Locally Generated Non-Tax,7,32.2,2019,4,1
Other Governments,7,7.7,2019,4,1
PICA Other Governments,7,39.4,2019,4,1
Interfund Transfers,7,0.0,2019,4,1
Total Current Revenue,7,384.8,2019,4,1
Prior Year Revenue,7,0.0,2019,4,1
Other Adjustments,7,0.0,2019,4,1
Total Cash Receipts,7,384.8,2019,4,1
Real Estate Tax,8,390.9,2019,4,2
"Wage, Earnings, Net Profits",8,118.3,2019,4,2
Realty Transfer Tax,8,13.9,2019,4,2
Sales Tax,8,15.5,2019,4,2
BIRT,8,7.9,2019,4,2
Beverage Tax,8,5.8,2019,4,2
Other Taxes,8,9.5,2019,4,2
Locally Generated Non-Tax,8,19.4,2019,4,2
Other Governments,8,8.2,2019,4,2
PICA Other Governments,8,37.2,2019,4,2
Interfund Transfers,8,0.0,2019,4,2
Total Current Revenue,8,626.7,2019,4,2
Prior Year Revenue,8,0.0,2019,4,2
Other Adjustments,8,0.0,2019,4,2
Total Cash Receipts,8,626.7,2019,4,2
Real Estate Tax,9,145.1,2019,4,3
"Wage, Earnings, Net Profits",9,140.5,2019,4,3
Realty Transfer Tax,9,23.6,2019,4,3
Sales Tax,9,12.3,2019,4,3
BIRT,9,44.8,2019,4,3
Beverage Tax,9,5.9,2019,4,3
Other Taxes,9,9.5,2019,4,3
Locally Generated Non-Tax,9,37.0,2019,4,3
Other Governments,9,5.3,2019,4,3
PICA Other Governments,9,46.3,2019,4,3
Interfund Transfers,9,0.0,2019,4,3
Total Current Revenue,9,470.2,2019,4,3
Prior Year Revenue,9,0.0,2019,4,3
Other Adjustments,9,0.0,2019,4,3
Total Cash Receipts,9,470.2,2019,4,3
Real Estate Tax,10,31.8,2019,4,4
"Wage, Earnings, Net Profits",10,177.8,2019,4,4
Realty Transfer Tax,10,41.7,2019,4,4
Sales Tax,10,12.3,2019,4,4
BIRT,10,355.6,2019,4,4
Beverage Tax,10,6.3,2019,4,4
Other Taxes,10,14.1,2019,4,4
Locally Generated Non-Tax,10,30.5,2019,4,4
Other Governments,10,13.1,2019,4,4
PICA Other Governments,10,45.6,2019,4,4
Interfund Transfers,10,0.0,2019,4,4
Total Current Revenue,10,728.8,2019,4,4
Prior Year Revenue,10,0.0,2019,4,4
Other Adjustments,10,0.0,2019,4,4
Total Cash Receipts,10,728.8,2019,4,4
Real Estate Tax,11,13.2,2019,4,5
"Wage, Earnings, Net Profits",11,132.3,2019,4,5
Realty Transfer Tax,11,28.4,2019,4,5
Sales Tax,11,24.2,2019,4,5
BIRT,11,46.2,2019,4,5
Beverage Tax,11,7.0,2019,4,5
Other Taxes,11,11.7,2019,4,5
Locally Generated Non-Tax,11,39.6,2019,4,5
Other Governments,11,6.0,2019,4,5
PICA Other Governments,11,62.3,2019,4,5
Interfund Transfers,11,0.0,2019,4,5
Total Current Revenue,11,370.9,2019,4,5
Prior Year Revenue,11,0.0,2019,4,5
Other Adjustments,11,0.0,2019,4,5
Total Cash Receipts,11,370.9,2019,4,5
Real Estate Tax,12,9.2,2019,4,6
"Wage, Earnings, Net Profits",12,112.9,2019,4,6
Realty Transfer Tax,12,30.9,2019,4,6
Sales Tax,12,28.5,2019,4,6
BIRT,12,12.4,2019,4,6
Beverage Tax,12,6.4,2019,4,6
Other Taxes,12,9.6,2019,4,6
Locally Generated Non-Tax,12,35.9,2019,4,6
Other Governments,12,9.4,2019,4,6
PICA Other Governments,12,29.7,2019,4,6
Interfund Transfers,12,24.9,2019,4,6
Total Current Revenue,12,309.8,2019,4,6
Prior Year Revenue,12,0.0,2019,4,6
Other Adjustments,12,0.0,2019,4,6
Total Cash Receipts,12,309.8,2019,4,6
Real Estate Tax,1,8.7,2019,3,7
"Wage, Earnings, Net Profits",1,142.8,2019,3,7
Realty Transfer Tax,1,38.0,2019,3,7
Sales Tax,1,25.9,2019,3,7
BIRT,1,5.6,2019,3,7
Beverage Tax,1,7.1,2019,3,7
Other Taxes,1,10.9,2019,3,7
Locally Generated Non-Tax,1,27.0,2019,3,7
Other Governments,1,3.3,2019,3,7
PICA Other Governments,1,34.1,2019,3,7
Interfund Transfers,1,0.0,2019,3,7
Total Current Revenue,1,303.4,2019,3,7
Prior Year Revenue,1,32.3,2019,3,7
Other Adjustments,1,0.0,2019,3,7
Total Cash Receipts,1,335.7,2019,3,7
Real Estate Tax,2,9.5,2019,3,8
"Wage, Earnings, Net Profits",2,119.6,2019,3,8
Realty Transfer Tax,2,30.7,2019,3,8
Sales Tax,2,27.8,2019,3,8
BIRT,2,2.3,2019,3,8
Beverage Tax,2,6.5,2019,3,8
Other Taxes,2,14.6,2019,3,8
Locally Generated Non-Tax,2,28.3,2019,3,8
Other Governments,2,63.5,2019,3,8
PICA Other Governments,2,41.6,2019,3,8
Interfund Transfers,2,0.0,2019,3,8
Total Current Revenue,2,344.3,2019,3,8
Prior Year Revenue,2,23.3,2019,3,8
Other Adjustments,2,0.0,2019,3,8
Total Cash Receipts,2,367.6,2019,3,8
Real Estate Tax,3,6.5,2019,3,9
"Wage, Earnings, Net Profits",3,122.3,2019,3,9
Realty Transfer Tax,3,20.0,2019,3,9
Sales Tax,3,14.7,2019,3,9
BIRT,3,15.8,2019,3,9
Beverage Tax,3,6.6,2019,3,9
Other Taxes,3,9.4,2019,3,9
Locally Generated Non-Tax,3,27.5,2019,3,9
Other Governments,3,80.2,2019,3,9
PICA Other Governments,3,25.4,2019,3,9
Interfund Transfers,3,0.0,2019,3,9
Total Current Revenue,3,328.3,2019,3,9
Prior Year Revenue,3,16.4,2019,3,9
Other Adjustments,3,0.0,2019,3,9
Total Cash Receipts,3,344.7,2019,3,9
Real Estate Tax,4,6.7,2019,3,10
"Wage, Earnings, Net Profits",4,145.1,2019,3,10
Realty Transfer Tax,4,29.2,2019,3,10
Sales Tax,4,13.3,2019,3,10
BIRT,4,16.7,2019,3,10
Beverage Tax,4,6.6,2019,3,10
Other Taxes,4,10.3,2019,3,10
Locally Generated Non-Tax,4,22.7,2019,3,10
Other Governments,4,53.9,2019,3,10
PICA Other Governments,4,36.8,2019,3,10
Interfund Transfers,4,0.0,2019,3,10
Total Current Revenue,4,341.2,2019,3,10
Prior Year Revenue,4,10.6,2019,3,10
Other Adjustments,4,0.0,2019,3,10
Total Cash Receipts,4,351.9,2019,3,10
Real Estate Tax,5,5.4,2019,3,11
"Wage, Earnings, Net Profits",5,113.4,2019,3,11
Realty Transfer Tax,5,22.6,2019,3,11
Sales Tax,5,14.4,2019,3,11
BIRT,5,1.3,2019,3,11
Beverage Tax,5,7.0,2019,3,11
Other Taxes,5,11.4,2019,3,11
Locally Generated Non-Tax,5,30.8,2019,3,11
Other Governments,5,23.8,2019,3,11
PICA Other Governments,5,49.8,2019,3,11
Interfund Transfers,5,0.0,2019,3,11
Total Current Revenue,5,279.9,2019,3,11
Prior Year Revenue,5,0.0,2019,3,11
Other Adjustments,5,0.0,2019,3,11
Total Cash Receipts,5,279.9,2019,3,11
Real Estate Tax,6,22.3,2019,3,12
"Wage, Earnings, Net Profits",6,119.1,2019,3,12
Realty Transfer Tax,6,26.3,2019,3,12
Sales Tax,6,13.3,2019,3,12
BIRT,6,12.8,2019,3,12
Beverage Tax,6,5.6,2019,3,12
Other Taxes,6,9.2,2019,3,12
Locally Generated Non-Tax,6,22.2,2019,3,12
Other Governments,6,7.2,2019,3,12
PICA Other Governments,6,38.6,2019,3,12
Interfund Transfers,6,0.0,2019,3,12
Total Current Revenue,6,276.8,2019,3,12
Prior Year Revenue,6,0.0,2019,3,12
Other Adjustments,6,0.0,2019,3,12
Total Cash Receipts,6,276.8,2019,3,12
Real Estate Tax,7,52.2,2019,3,1
"Wage, Earnings, Net Profits",7,170.3,2019,3,1
Realty Transfer Tax,7,25.3,2019,3,1
Sales Tax,7,12.9,2019,3,1
BIRT,7,27.2,2019,3,1
Beverage Tax,7,6.2,2019,3,1
Other Taxes,7,11.3,2019,3,1
Locally Generated Non-Tax,7,32.2,2019,3,1
Other Governments,7,7.7,2019,3,1
PICA Other Governments,7,39.4,2019,3,1
Interfund Transfers,7,0.0,2019,3,1
Total Current Revenue,7,384.8,2019,3,1
Prior Year Revenue,7,0.0,2019,3,1
Other Adjustments,7,0.0,2019,3,1
Total Cash Receipts,7,384.8,2019,3,1
Real Estate Tax,8,390.9,2019,3,2
"Wage, Earnings, Net Profits",8,118.3,2019,3,2
Realty Transfer Tax,8,13.9,2019,3,2
Sales Tax,8,15.5,2019,3,2
BIRT,8,7.9,2019,3,2
Beverage Tax,8,5.8,2019,3,2
Other Taxes,8,9.5,2019,3,2
Locally Generated Non-Tax,8,19.4,2019,3,2
Other Governments,8,8.2,2019,3,2
PICA Other Governments,8,37.2,2019,3,2
Interfund Transfers,8,0.0,2019,3,2
Total Current Revenue,8,626.7,2019,3,2
Prior Year Revenue,8,0.0,2019,3,2
Other Adjustments,8,0.0,2019,3,2
Total Cash Receipts,8,626.7,2019,3,2
Real Estate Tax,9,145.1,2019,3,3
"Wage, Earnings, Net Profits",9,140.5,2019,3,3
Realty Transfer Tax,9,23.6,2019,3,3
Sales Tax,9,12.3,2019,3,3
BIRT,9,44.8,2019,3,3
Beverage Tax,9,5.9,2019,3,3
Other Taxes,9,9.5,2019,3,3
Locally Generated Non-Tax,9,37.0,2019,3,3
Other Governments,9,5.3,2019,3,3
PICA Other Governments,9,46.3,2019,3,3
Interfund Transfers,9,0.0,2019,3,3
Total Current Revenue,9,470.2,2019,3,3
Prior Year Revenue,9,0.0,2019,3,3
Other Adjustments,9,0.0,2019,3,3
Total Cash Receipts,9,470.2,2019,3,3
Real Estate Tax,10,31.8,2019,3,4
"Wage, Earnings, Net Profits",10,177.8,2019,3,4
Realty Transfer Tax,10,41.7,2019,3,4
Sales Tax,10,12.3,2019,3,4
BIRT,10,355.6,2019,3,4
Beverage Tax,10,6.3,2019,3,4
Other Taxes,10,14.1,2019,3,4
Locally Generated Non-Tax,10,30.5,2019,3,4
Other Governments,10,13.1,2019,3,4
PICA Other Governments,10,45.6,2019,3,4
Interfund Transfers,10,0.0,2019,3,4
Total Current Revenue,10,728.8,2019,3,4
Prior Year Revenue,10,0.0,2019,3,4
Other Adjustments,10,0.0,2019,3,4
Total Cash Receipts,10,728.8,2019,3,4
Real Estate Tax,11,6.9,2019,3,5
"Wage, Earnings, Net Profits",11,132.5,2019,3,5
Realty Transfer Tax,11,30.7,2019,3,5
Sales Tax,11,24.2,2019,3,5
BIRT,11,46.8,2019,3,5
Beverage Tax,11,6.3,2019,3,5
Other Taxes,11,10.3,2019,3,5
Locally Generated Non-Tax,11,25.2,2019,3,5
Other Governments,11,12.4,2019,3,5
PICA Other Governments,11,43.2,2019,3,5
Interfund Transfers,11,0.0,2019,3,5
Total Current Revenue,11,338.6,2019,3,5
Prior Year Revenue,11,0.0,2019,3,5
Other Adjustments,11,0.0,2019,3,5
Total Cash Receipts,11,338.6,2019,3,5
Real Estate Tax,12,3.4,2019,3,6
"Wage, Earnings, Net Profits",12,123.5,2019,3,6
Realty Transfer Tax,12,32.8,2019,3,6
Sales Tax,12,28.4,2019,3,6
BIRT,12,7.5,2019,3,6
Beverage Tax,12,6.9,2019,3,6
Other Taxes,12,9.6,2019,3,6
Locally Generated Non-Tax,12,20.0,2019,3,6
Other Governments,12,23.0,2019,3,6
PICA Other Governments,12,38.7,2019,3,6
Interfund Transfers,12,28.1,2019,3,6
Total Current Revenue,12,321.8,2019,3,6
Prior Year Revenue,12,0.0,2019,3,6
Other Adjustments,12,0.0,2019,3,6
Total Cash Receipts,12,321.8,2019,3,6
Real Estate Tax,1,8.7,2019,2,7
"Wage, Earnings, Net Profits",1,142.8,2019,2,7
Realty Transfer Tax,1,38.0,2019,2,7
Sales Tax,1,25.9,2019,2,7
BIRT,1,5.6,2019,2,7
Beverage Tax,1,7.1,2019,2,7
Other Taxes,1,10.9,2019,2,7
Locally Generated Non-Tax,1,27.0,2019,2,7
Other Governments,1,3.3,2019,2,7
PICA Other Governments,1,34.1,2019,2,7
Interfund Transfers,1,0.0,2019,2,7
Total Current Revenue,1,303.4,2019,2,7
Prior Year Revenue,1,32.3,2019,2,7
Other Adjustments,1,0.0,2019,2,7
Total Cash Receipts,1,335.7,2019,2,7
Real Estate Tax,2,9.5,2019,2,8
"Wage, Earnings, Net Profits",2,119.6,2019,2,8
Realty Transfer Tax,2,30.7,2019,2,8
Sales Tax,2,27.8,2019,2,8
BIRT,2,2.3,2019,2,8
Beverage Tax,2,6.5,2019,2,8
Other Taxes,2,14.6,2019,2,8
Locally Generated Non-Tax,2,28.3,2019,2,8
Other Governments,2,63.5,2019,2,8
PICA Other Governments,2,41.6,2019,2,8
Interfund Transfers,2,0.0,2019,2,8
Total Current Revenue,2,344.3,2019,2,8
Prior Year Revenue,2,23.3,2019,2,8
Other Adjustments,2,0.0,2019,2,8
Total Cash Receipts,2,367.6,2019,2,8
Real Estate Tax,3,6.5,2019,2,9
"Wage, Earnings, Net Profits",3,122.3,2019,2,9
Realty Transfer Tax,3,20.0,2019,2,9
Sales Tax,3,14.7,2019,2,9
BIRT,3,15.8,2019,2,9
Beverage Tax,3,6.6,2019,2,9
Other Taxes,3,9.4,2019,2,9
Locally Generated Non-Tax,3,27.5,2019,2,9
Other Governments,3,80.2,2019,2,9
PICA Other Governments,3,25.4,2019,2,9
Interfund Transfers,3,0.0,2019,2,9
Total Current Revenue,3,328.3,2019,2,9
Prior Year Revenue,3,16.4,2019,2,9
Other Adjustments,3,0.0,2019,2,9
Total Cash Receipts,3,344.7,2019,2,9
Real Estate Tax,4,6.7,2019,2,10
"Wage, Earnings, Net Profits",4,145.1,2019,2,10
Realty Transfer Tax,4,29.2,2019,2,10
Sales Tax,4,13.3,2019,2,10
BIRT,4,16.7,2019,2,10
Beverage Tax,4,6.6,2019,2,10
Other Taxes,4,10.3,2019,2,10
Locally Generated Non-Tax,4,22.7,2019,2,10
Other Governments,4,53.9,2019,2,10
PICA Other Governments,4,36.8,2019,2,10
Interfund Transfers,4,0.0,2019,2,10
Total Current Revenue,4,341.2,2019,2,10
Prior Year Revenue,4,10.6,2019,2,10
Other Adjustments,4,0.0,2019,2,10
Total Cash Receipts,4,351.9,2019,2,10
Real Estate Tax,5,5.4,2019,2,11
"Wage, Earnings, Net Profits",5,113.4,2019,2,11
Realty Transfer Tax,5,22.6,2019,2,11
Sales Tax,5,14.4,2019,2,11
BIRT,5,1.3,2019,2,11
Beverage Tax,5,7.0,2019,2,11
Other Taxes,5,11.4,2019,2,11
Locally Generated Non-Tax,5,30.8,2019,2,11
Other Governments,5,23.8,2019,2,11
PICA Other Governments,5,49.8,2019,2,11
Interfund Transfers,5,0.0,2019,2,11
Total Current Revenue,5,279.9,2019,2,11
Prior Year Revenue,5,0.0,2019,2,11
Other Adjustments,5,0.0,2019,2,11
Total Cash Receipts,5,279.9,2019,2,11
Real Estate Tax,6,22.3,2019,2,12
"Wage, Earnings, Net Profits",6,119.1,2019,2,12
Realty Transfer Tax,6,26.3,2019,2,12
Sales Tax,6,13.3,2019,2,12
BIRT,6,12.8,2019,2,12
Beverage Tax,6,5.6,2019,2,12
Other Taxes,6,9.2,2019,2,12
Locally Generated Non-Tax,6,22.2,2019,2,12
Other Governments,6,7.2,2019,2,12
PICA Other Governments,6,38.6,2019,2,12
Interfund Transfers,6,0.0,2019,2,12
Total Current Revenue,6,276.8,2019,2,12
Prior Year Revenue,6,0.0,2019,2,12
Other Adjustments,6,0.0,2019,2,12
Total Cash Receipts,6,276.8,2019,2,12
Real Estate Tax,7,52.2,2019,2,1
"Wage, Earnings, Net Profits",7,170.3,2019,2,1
Realty Transfer Tax,7,25.3,2019,2,1
Sales Tax,7,12.9,2019,2,1
BIRT,7,27.2,2019,2,1
Beverage Tax,7,6.2,2019,2,1
Other Taxes,7,11.3,2019,2,1
Locally Generated Non-Tax,7,32.2,2019,2,1
Other Governments,7,7.7,2019,2,1
PICA Other Governments,7,39.4,2019,2,1
Interfund Transfers,7,0.0,2019,2,1
Total Current Revenue,7,384.8,2019,2,1
Prior Year Revenue,7,0.0,2019,2,1
Other Adjustments,7,0.0,2019,2,1
Total Cash Receipts,7,384.8,2019,2,1
Real Estate Tax,8,355.2,2019,2,2
"Wage, Earnings, Net Profits",8,125.3,2019,2,2
Realty Transfer Tax,8,20.8,2019,2,2
Sales Tax,8,15.6,2019,2,2
BIRT,8,5.1,2019,2,2
Beverage Tax,8,6.0,2019,2,2
Other Taxes,8,9.2,2019,2,2
Locally Generated Non-Tax,8,21.0,2019,2,2
Other Governments,8,12.7,2019,2,2
PICA Other Governments,8,28.9,2019,2,2
Interfund Transfers,8,0.0,2019,2,2
Total Current Revenue,8,599.7,2019,2,2
Prior Year Revenue,8,0.0,2019,2,2
Other Adjustments,8,0.0,2019,2,2
Total Cash Receipts,8,599.7,2019,2,2
Real Estate Tax,9,143.5,2019,2,3
"Wage, Earnings, Net Profits",9,142.4,2019,2,3
Realty Transfer Tax,9,24.7,2019,2,3
Sales Tax,9,13.9,2019,2,3
BIRT,9,42.5,2019,2,3
Beverage Tax,9,5.6,2019,2,3
Other Taxes,9,9.6,2019,2,3
Locally Generated Non-Tax,9,26.2,2019,2,3
Other Governments,9,13.2,2019,2,3
PICA Other Governments,9,54.3,2019,2,3
Interfund Transfers,9,0.0,2019,2,3
Total Current Revenue,9,475.9,2019,2,3
Prior Year Revenue,9,0.0,2019,2,3
Other Adjustments,9,0.0,2019,2,3
Total Cash Receipts,9,475.9,2019,2,3
Real Estate Tax,10,30.9,2019,2,4
"Wage, Earnings, Net Profits",10,167.0,2019,2,4
Realty Transfer Tax,10,26.4,2019,2,4
Sales Tax,10,12.3,2019,2,4
BIRT,10,270.5,2019,2,4
Beverage Tax,10,6.7,2019,2,4
Other Taxes,10,13.2,2019,2,4
Locally Generated Non-Tax,10,20.1,2019,2,4
Other Governments,10,11.7,2019,2,4
PICA Other Governments,10,44.7,2019,2,4
Interfund Transfers,10,0.0,2019,2,4
Total Current Revenue,10,603.4,2019,2,4
Prior Year Revenue,10,0.0,2019,2,4
Other Adjustments,10,0.0,2019,2,4
Total Cash Receipts,10,603.5,2019,2,4
Real Estate Tax,11,15.8,2019,2,5
"Wage, Earnings, Net Profits",11,134.4,2019,2,5
Realty Transfer Tax,11,28.7,2019,2,5
Sales Tax,11,17.9,2019,2,5
BIRT,11,46.8,2019,2,5
Beverage Tax,11,6.4,2019,2,5
Other Taxes,11,10.3,2019,2,5
Locally Generated Non-Tax,11,27.6,2019,2,5
Other Governments,11,12.1,2019,2,5
PICA Other Governments,11,44.4,2019,2,5
Interfund Transfers,11,0.0,2019,2,5
Total Current Revenue,11,344.4,2019,2,5
Prior Year Revenue,11,0.0,2019,2,5
Other Adjustments,11,0.0,2019,2,5
Total Cash Receipts,11,344.4,2019,2,5
Real Estate Tax,12,3.4,2019,2,6
"Wage, Earnings, Net Profits",12,123.5,2019,2,6
Realty Transfer Tax,12,30.4,2019,2,6
Sales Tax,12,28.4,2019,2,6
BIRT,12,7.5,2019,2,6
Beverage Tax,12,6.5,2019,2,6
Other Taxes,12,9.6,2019,2,6
Locally Generated Non-Tax,12,25.0,2019,2,6
Other Governments,12,14.0,2019,2,6
PICA Other Governments,12,38.7,2019,2,6
Interfund Transfers,12,28.1,2019,2,6
Total Current Revenue,12,315.0,2019,2,6
Prior Year Revenue,12,0.0,2019,2,6
Other Adjustments,12,0.0,2019,2,6
Total Cash Receipts,12,315.0,2019,2,6
Real Estate Tax,1,8.7,2019,1,7
"Wage, Earnings, Net Profits",1,142.8,2019,1,7
Realty Transfer Tax,1,38.0,2019,1,7
Sales Tax,1,25.9,2019,1,7
BIRT,1,5.6,2019,1,7
Beverage Tax,1,7.1,2019,1,7
Other Taxes,1,10.9,2019,1,7
Locally Generated Non-Tax,1,27.0,2019,1,7
Other Governments,1,9.2,2019,1,7
PICA Other Governments,1,34.1,2019,1,7
Interfund Transfers,1,0.0,2019,1,7
Total Current Revenue,1,309.3,2019,1,7
Prior Year Revenue,1,26.4,2019,1,7
Other Adjustments,1,0.0,2019,1,7
Total Cash Receipts,1,335.7,2019,1,7
Real Estate Tax,2,9.5,2019,1,8
"Wage, Earnings, Net Profits",2,119.6,2019,1,8
Realty Transfer Tax,2,30.7,2019,1,8
Sales Tax,2,27.8,2019,1,8
BIRT,2,2.3,2019,1,8
Beverage Tax,2,6.5,2019,1,8
Other Taxes,2,14.6,2019,1,8
Locally Generated Non-Tax,2,28.3,2019,1,8
Other Governments,2,63.5,2019,1,8
PICA Other Governments,2,41.6,2019,1,8
Interfund Transfers,2,0.0,2019,1,8
Total Current Revenue,2,344.3,2019,1,8
Prior Year Revenue,2,23.3,2019,1,8
Other Adjustments,2,0.0,2019,1,8
Total Cash Receipts,2,367.6,2019,1,8
Real Estate Tax,3,6.5,2019,1,9
"Wage, Earnings, Net Profits",3,122.3,2019,1,9
Realty Transfer Tax,3,20.0,2019,1,9
Sales Tax,3,14.7,2019,1,9
BIRT,3,15.8,2019,1,9
Beverage Tax,3,6.6,2019,1,9
Other Taxes,3,9.4,2019,1,9
Locally Generated Non-Tax,3,27.5,2019,1,9
Other Governments,3,80.2,2019,1,9
PICA Other Governments,3,25.4,2019,1,9
Interfund Transfers,3,0.0,2019,1,9
Total Current Revenue,3,328.3,2019,1,9
Prior Year Revenue,3,16.4,2019,1,9
Other Adjustments,3,0.0,2019,1,9
Total Cash Receipts,3,344.7,2019,1,9
Real Estate Tax,4,6.7,2019,1,10
"Wage, Earnings, Net Profits",4,145.1,2019,1,10
Realty Transfer Tax,4,29.2,2019,1,10
Sales Tax,4,13.3,2019,1,10
BIRT,4,16.7,2019,1,10
Beverage Tax,4,6.6,2019,1,10
Other Taxes,4,10.3,2019,1,10
Locally Generated Non-Tax,4,22.7,2019,1,10
Other Governments,4,53.9,2019,1,10
PICA Other Governments,4,36.8,2019,1,10
Interfund Transfers,4,0.0,2019,1,10
Total Current Revenue,4,341.2,2019,1,10
Prior Year Revenue,4,10.6,2019,1,10
Other Adjustments,4,0.0,2019,1,10
Total Cash Receipts,4,351.9,2019,1,10
Real Estate Tax,5,7.8,2019,1,11
"Wage, Earnings, Net Profits",5,125.9,2019,1,11
Realty Transfer Tax,5,25.7,2019,1,11
Sales Tax,5,15.3,2019,1,11
BIRT,5,1.7,2019,1,11
Beverage Tax,5,6.0,2019,1,11
Other Taxes,5,10.0,2019,1,11
Locally Generated Non-Tax,5,22.1,2019,1,11
Other Governments,5,22.4,2019,1,11
PICA Other Governments,5,44.5,2019,1,11
Interfund Transfers,5,0.0,2019,1,11
Total Current Revenue,5,281.4,2019,1,11
Prior Year Revenue,5,0.0,2019,1,11
Other Adjustments,5,0.0,2019,1,11
Total Cash Receipts,5,281.5,2019,1,11
Real Estate Tax,6,19.3,2019,1,12
"Wage, Earnings, Net Profits",6,116.4,2019,1,12
Realty Transfer Tax,6,25.8,2019,1,12
Sales Tax,6,13.3,2019,1,12
BIRT,6,8.4,2019,1,12
