dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
District Attorney,42058536.0,2020,Target Budget,Full Year,2019-12-31,District Attorney's Office,69,DAO,2,2020,69
Finance,75864488.0,2020,Target Budget,Full Year,2019-12-31,Office of the Director of Finance,35,Finance,2,2020,35
Finance-Budget Stabilization Reserve,34276000.0,2020,Target Budget,Full Year,2019-12-31,Finance: Budget Stabilization Reserve,35-BSR,,2,2020,35
Finance-Disability-Reg #32 Payroll,2650000.0,2020,Target Budget,Full Year,2019-12-31,Finance: Reg #32,35-R32,,2,2020,35
Finance-Federal Grant Reserve,55108000.0,2020,Target Budget,Full Year,2019-12-31,Finance: Federal Grant Reserve,35-FGR,,2,2020,35
Finance-Community College Subsidy,36059207.0,2020,Target Budget,Full Year,2019-12-31,Finance: Community College Subsidy,35-CC,,2,2020,35
Finance - Employee Benefits,1411963002.0,2020,Target Budget,Full Year,2019-12-31,Finance: Employee Benefits,35-EB,Employee Benefits,2,2020,35
Employee Benefits: Unemployment Compensation,4080260.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: Unemployment Compensation,35-EB-UC,,2,2020,35
Employee Benefits: Employee Disability,69844607.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: Employee Disability,35-EB-DIS,,2,2020,35
Employee Benefits: Pension Obligation Bonds,110158479.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,2,2020,35
Employee Benefits: Pension,638892807.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: Pension,35-EB-PEN,,2,2020,35
Employee Benefits: FICA,84546988.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: FICA,35-EB-FICA,,2,2020,35
Employee Benefits: Flex Cash Payments,800000.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,2,2020,35
Employee Benefits: Health/Medical,489978550.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: Health/Medical,35-EB-HM,,2,2020,35
Employee Benefits: Group Life Insurance,8465202.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: Group Life Insurance,35-EB-GLI,,2,2020,35
Employee Benefits: Group Legal,5049842.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: Group Legal,35-EB-GL,,2,2020,35
Employee Benefits: Tool Allowance,146267.0,2020,Target Budget,Full Year,2019-12-31,Employee Benefits: Tool Allowance,35-EB-TA,,2,2020,35
Finance-Hero Scholarship Awards,25000.0,2020,Target Budget,Full Year,2019-12-31,Finance: Hero Scholarship Awards,35-HA,,2,2020,35
Finance-Indemnities,49246000.0,2020,Target Budget,Full Year,2019-12-31,Finance: Indemnities,35-IN,,2,2020,35
Finance-Refunds,250000.0,2020,Target Budget,Full Year,2019-12-31,Finance: Refunds,35-R,,2,2020,35
Finance-School District Contribution,222456410.0,2020,Target Budget,Full Year,2019-12-31,Finance: School District Contribution,35-SD,,2,2020,35
Finance-Witness Fees,171518.0,2020,Target Budget,Full Year,2019-12-31,Finance: Witness Fees,35-WF,,2,2020,35
Fire,313799278.0,2020,Target Budget,Full Year,2019-12-31,Fire Department,13,Fire,2,2020,13
First Judicial District,115991475.0,2020,Target Budget,Full Year,2019-12-31,First Judicial District,84,FJD,2,2020,84
Fleet Management,50114034.0,2020,Target Budget,Full Year,2019-12-31,Office of Fleet Management,25,Fleet,2,2020,25
Fleet Management Vehicle Purchases,17286549.0,2020,Target Budget,Full Year,2019-12-31,Fleet: Vehicle Lease/Purchases,25-V,,2,2020,25
Free Library,45760383.0,2020,Target Budget,Full Year,2019-12-31,The Free Library of Philadelphia,52,Free Library,2,2020,52
Human Relations Commission,2401402.0,2020,Target Budget,Full Year,2019-12-31,Commission on Human Relations,54,Human Relations,2,2020,54
Human Services,119029114.0,2020,Target Budget,Full Year,2019-12-31,Department of Human Services,22,DHS,2,2020,22
Labor,2510841.0,2020,Target Budget,Full Year,2019-12-31,Labor,03,,2,2020,03
Law,16356786.0,2020,Target Budget,Full Year,2019-12-31,Law Department,44,Law,2,2020,44
Licenses & Inspections,42116503.0,2020,Target Budget,Full Year,2019-12-31,Department of Licenses and Inspections,26,L&I,2,2020,26
L&I-Board of Building Standards,80366.0,2020,Target Budget,Full Year,2019-12-31,L&I: Board of Building and Standards,29,,2,2020,29
L&I-Board of L & I Review,173870.0,2020,Target Budget,Full Year,2019-12-31,L&I: Board of Review,27,,2,2020,27
Managing Director's Office,61016660.0,2020,Target Budget,Full Year,2019-12-31,Managing Director's Office,10,MDO,2,2020,10
Managing Director-Legal Services,50938541.0,2020,Target Budget,Full Year,2019-12-31,MDO: Legal Services,10-LS,,2,2020,10
Mayor's Office,6298286.0,2020,Target Budget,Full Year,2019-12-31,Mayor's Office,05,Mayor,2,2020,05
Mayor's Office-Scholarships,200000.0,2020,Target Budget,Full Year,2019-12-31,Mayor's Office: Scholarships,05-S,,2,2020,05
Mayor's Office-Comm. Empowerment & Opp.,90000.0,2020,Target Budget,Full Year,2019-12-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2020,08
Mural Arts Program,2545184.0,2020,Target Budget,Full Year,2019-12-31,Mural Arts Program,50,Mural Arts,2,2020,50
Office of Arts and Culture,4419130.0,2020,Target Budget,Full Year,2019-12-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2020,58
Office of Behavioral Hith & Intellectual disAbility,15911407.0,2020,Target Budget,Full Year,2019-12-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2020,15
Office of the Chief Administrative Officer,7510044.0,2020,Target Budget,Full Year,2019-12-31,Office of the Chief Administrative Officer,65,CAO,2,2020,65
Office of Education,45350014.0,2020,Target Budget,Full Year,2019-12-31,Office of Children and Families,66,OCF,2,2020,66
Office of Homeless Services,60821026.0,2020,Target Budget,Full Year,2019-12-31,Office of Homeless Services,24,OHS,2,2020,24
Office of Human Resources,6895524.0,2020,Target Budget,Full Year,2019-12-31,Office of Human Resources,56,OHR,2,2020,56
Office of Innovation and Technology-Base,75969758.0,2020,Target Budget,Full Year,2019-12-31,Office of Innovation and Technology,04,OIT,2,2020,04
Office of Innovation and Technology-911,41235086.0,2020,Target Budget,Full Year,2019-12-31,OIT: 911,04-911,,2,2020,04
Office of the Inspector General,1742423.0,2020,Target Budget,Full Year,2019-12-31,Office of the Inspector General,48,OIG,2,2020,48
Office of Property Assessment,17318408.0,2020,Target Budget,Full Year,2019-12-31,Office of Property Assessment,59,OPA,2,2020,59
Office of Sustainability,1217804.0,2020,Target Budget,Full Year,2019-12-31,Office of Sustainability,49,Sustainability,2,2020,49
Parks and Recreation,65396789.0,2020,Target Budget,Full Year,2019-12-31,Department of Parks and Recreation,16,Parks & Recreation,2,2020,16
Planning & Development,16817476.0,2020,Target Budget,Full Year,2019-12-31,Department of Planning and Development,72,Planning & Development,2,2020,72
Police,740915097.0,2020,Target Budget,Full Year,2019-12-31,Police Department,11,Police,2,2020,11
Prisons,252183523.0,2020,Target Budget,Full Year,2019-12-31,Philadelphia Prison System,23,Prisons,2,2020,23
Procurement,5704227.0,2020,Target Budget,Full Year,2019-12-31,Procurement Department,38,Procurement,2,2020,38
Public Health,160840340.0,2020,Target Budget,Full Year,2019-12-31,Department of Public Health,14,Public Health,2,2020,14
Public Property,74302564.0,2020,Target Budget,Full Year,2019-12-31,Department of Public Property,20,Public Property,2,2020,20
Public Property-SEPTA Subsidy,86356000.0,2020,Target Budget,Full Year,2019-12-31,Public Property: SEPTA Subsidy,20-SS,,2,2020,20
Public Property-Space Rentals,26278677.0,2020,Target Budget,Full Year,2019-12-31,Public Property: Space Rentals,20-SR,,2,2020,20
Public Property-Utilities,27393339.0,2020,Target Budget,Full Year,2019-12-31,Public Property: Utilities,20-U,,2,2020,20
Records,4942152.0,2020,Target Budget,Full Year,2019-12-31,Department of Records,31,Records,2,2020,31
Register of Wills,4665345.0,2020,Target Budget,Full Year,2019-12-31,Register of Wills,68,,2,2020,68
Revenue,32922858.0,2020,Target Budget,Full Year,2019-12-31,Department of Revenue,36,Revenue,2,2020,36
Sheriff,27046961.0,2020,Target Budget,Full Year,2019-12-31,Office of the Sheriff,70,Sheriff,2,2020,70
Sinking Fund Commission (Debt Service),296705317.0,2020,Target Budget,Full Year,2019-12-31,Sinking Fund Commission,37,Sinking Fund,2,2020,37
Streets-Disposal,48340013.0,2020,Target Budget,Full Year,2019-12-31,Streets: Disposal,12-D,,2,2020,12
Streets,110453729.0,2020,Target Budget,Full Year,2019-12-31,Streets Department,12,Streets,2,2020,12
Art Museum Subsidy,2550000.0,2020,Current Projection,Full Year,2019-12-31,Art Museum,34,,2,2020,34
Atwater Kent Museum,0.0,2020,Current Projection,Full Year,2019-12-31,Atwater Kent Museum,18,Atwater Kent,2,2020,18
Auditing (City Controller's Office),9974550.0,2020,Current Projection,Full Year,2019-12-31,City Controller's Office,61,,2,2020,61
Board of Ethics,1101630.0,2020,Current Projection,Full Year,2019-12-31,Board of Ethics,45,,2,2020,45
Board of Revision of Taxes,1060791.0,2020,Current Projection,Full Year,2019-12-31,Board of Revision of Taxes,63,BRT,2,2020,63
City Commissioners (Election Board),12216911.0,2020,Current Projection,Full Year,2019-12-31,City Commissioner's Office,73,City Commissioners,2,2020,73
City Council,18277973.0,2020,Current Projection,Full Year,2019-12-31,City Council,01,,2,2020,01
City Representative,1284721.0,2020,Current Projection,Full Year,2019-12-31,Office of the City Representative,41,City Rep,2,2020,41
City Treasurer,1509534.0,2020,Current Projection,Full Year,2019-12-31,Office of the City Treasurer,40,City Treasurer,2,2020,40
Civil Service Commission,204935.0,2020,Current Projection,Full Year,2019-12-31,Civil Service Commission,55,,2,2020,55
Commerce,10287560.0,2020,Current Projection,Full Year,2019-12-31,Office of the Director of Commerce,42,Commerce,2,2020,42
Commerce-Convention Center Subsidy,15000000.0,2020,Current Projection,Full Year,2019-12-31,Commerce: Convention Center Subsidy,42-CC,,2,2020,42
Commerce-Economic Stimulus,7671624.0,2020,Current Projection,Full Year,2019-12-31,Commerce: Economic Stimulus,42-ES,,2,2020,42
District Attorney,42058536.0,2020,Current Projection,Full Year,2019-12-31,District Attorney's Office,69,DAO,2,2020,69
Finance,75864488.0,2020,Current Projection,Full Year,2019-12-31,Office of the Director of Finance,35,Finance,2,2020,35
Finance-Budget Stabilization Reserve,34276000.0,2020,Current Projection,Full Year,2019-12-31,Finance: Budget Stabilization Reserve,35-BSR,,2,2020,35
Finance-Disability-Reg #32 Payroll,2650000.0,2020,Current Projection,Full Year,2019-12-31,Finance: Reg #32,35-R32,,2,2020,35
Finance-Federal Grant Reserve,55108000.0,2020,Current Projection,Full Year,2019-12-31,Finance: Federal Grant Reserve,35-FGR,,2,2020,35
Finance-Community College Subsidy,36059207.0,2020,Current Projection,Full Year,2019-12-31,Finance: Community College Subsidy,35-CC,,2,2020,35
Finance - Employee Benefits,1412938432.0,2020,Current Projection,Full Year,2019-12-31,Finance: Employee Benefits,35-EB,Employee Benefits,2,2020,35
Employee Benefits: Unemployment Compensation,4080260.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: Unemployment Compensation,35-EB-UC,,2,2020,35
Employee Benefits: Employee Disability,70600000.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: Employee Disability,35-EB-DIS,,2,2020,35
Employee Benefits: Pension Obligation Bonds,109794742.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,2,2020,35
Employee Benefits: Pension,639276783.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: Pension,35-EB-PEN,,2,2020,35
Employee Benefits: FICA,84546988.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: FICA,35-EB-FICA,,2,2020,35
Employee Benefits: Flex Cash Payments,800000.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,2,2020,35
Employee Benefits: Health/Medical,489978550.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: Health/Medical,35-EB-HM,,2,2020,35
Employee Benefits: Group Life Insurance,8665000.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: Group Life Insurance,35-EB-GLI,,2,2020,35
Employee Benefits: Group Legal,5049842.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: Group Legal,35-EB-GL,,2,2020,35
Employee Benefits: Tool Allowance,146267.0,2020,Current Projection,Full Year,2019-12-31,Employee Benefits: Tool Allowance,35-EB-TA,,2,2020,35
Finance-Hero Scholarship Awards,25000.0,2020,Current Projection,Full Year,2019-12-31,Finance: Hero Scholarship Awards,35-HA,,2,2020,35
Finance-Indemnities,49246000.0,2020,Current Projection,Full Year,2019-12-31,Finance: Indemnities,35-IN,,2,2020,35
Finance-Refunds,250000.0,2020,Current Projection,Full Year,2019-12-31,Finance: Refunds,35-R,,2,2020,35
Finance-School District Contribution,222456410.0,2020,Current Projection,Full Year,2019-12-31,Finance: School District Contribution,35-SD,,2,2020,35
Finance-Witness Fees,171518.0,2020,Current Projection,Full Year,2019-12-31,Finance: Witness Fees,35-WF,,2,2020,35
Fire,313799278.0,2020,Current Projection,Full Year,2019-12-31,Fire Department,13,Fire,2,2020,13
First Judicial District,115991475.0,2020,Current Projection,Full Year,2019-12-31,First Judicial District,84,FJD,2,2020,84
Fleet Management,50114034.0,2020,Current Projection,Full Year,2019-12-31,Office of Fleet Management,25,Fleet,2,2020,25
Fleet Management Vehicle Purchases,17286549.0,2020,Current Projection,Full Year,2019-12-31,Fleet: Vehicle Lease/Purchases,25-V,,2,2020,25
Free Library,45760383.0,2020,Current Projection,Full Year,2019-12-31,The Free Library of Philadelphia,52,Free Library,2,2020,52
Human Relations Commission,2401402.0,2020,Current Projection,Full Year,2019-12-31,Commission on Human Relations,54,Human Relations,2,2020,54
Human Services,119029114.0,2020,Current Projection,Full Year,2019-12-31,Department of Human Services,22,DHS,2,2020,22
Labor,2510841.0,2020,Current Projection,Full Year,2019-12-31,Labor,03,,2,2020,03
Law,16356786.0,2020,Current Projection,Full Year,2019-12-31,Law Department,44,Law,2,2020,44
Licenses & Inspections,42116503.0,2020,Current Projection,Full Year,2019-12-31,Department of Licenses and Inspections,26,L&I,2,2020,26
L&I-Board of Building Standards,80366.0,2020,Current Projection,Full Year,2019-12-31,L&I: Board of Building and Standards,29,,2,2020,29
L&I-Board of L & I Review,173870.0,2020,Current Projection,Full Year,2019-12-31,L&I: Board of Review,27,,2,2020,27
Managing Director's Office,60796660.0,2020,Current Projection,Full Year,2019-12-31,Managing Director's Office,10,MDO,2,2020,10
Managing Director-Legal Services,50938541.0,2020,Current Projection,Full Year,2019-12-31,MDO: Legal Services,10-LS,,2,2020,10
Mayor's Office,6298286.0,2020,Current Projection,Full Year,2019-12-31,Mayor's Office,05,Mayor,2,2020,05
Mayor's Office-Scholarships,200000.0,2020,Current Projection,Full Year,2019-12-31,Mayor's Office: Scholarships,05-S,,2,2020,05
Mayor's Office-Comm. Empowerment & Opp.,90000.0,2020,Current Projection,Full Year,2019-12-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2020,08
Mural Arts Program,2545184.0,2020,Current Projection,Full Year,2019-12-31,Mural Arts Program,50,Mural Arts,2,2020,50
Office of Arts and Culture,4419130.0,2020,Current Projection,Full Year,2019-12-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2020,58
Office of Behavioral Hith & Intellectual disAbility,16131407.0,2020,Current Projection,Full Year,2019-12-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2020,15
Office of the Chief Administrative Officer,7510044.0,2020,Current Projection,Full Year,2019-12-31,Office of the Chief Administrative Officer,65,CAO,2,2020,65
Office of Education,45350014.0,2020,Current Projection,Full Year,2019-12-31,Office of Children and Families,66,OCF,2,2020,66
Office of Homeless Services,60821026.0,2020,Current Projection,Full Year,2019-12-31,Office of Homeless Services,24,OHS,2,2020,24
Office of Human Resources,6895524.0,2020,Current Projection,Full Year,2019-12-31,Office of Human Resources,56,OHR,2,2020,56
Office of Innovation and Technology-Base,75969758.0,2020,Current Projection,Full Year,2019-12-31,Office of Innovation and Technology,04,OIT,2,2020,04
Office of Innovation and Technology-911,41235086.0,2020,Current Projection,Full Year,2019-12-31,OIT: 911,04-911,,2,2020,04
Office of the Inspector General,1742423.0,2020,Current Projection,Full Year,2019-12-31,Office of the Inspector General,48,OIG,2,2020,48
Office of Property Assessment,17318408.0,2020,Current Projection,Full Year,2019-12-31,Office of Property Assessment,59,OPA,2,2020,59
Office of Sustainability,1217804.0,2020,Current Projection,Full Year,2019-12-31,Office of Sustainability,49,Sustainability,2,2020,49
Parks and Recreation,65396789.0,2020,Current Projection,Full Year,2019-12-31,Department of Parks and Recreation,16,Parks & Recreation,2,2020,16
Planning & Development,16817476.0,2020,Current Projection,Full Year,2019-12-31,Department of Planning and Development,72,Planning & Development,2,2020,72
Police,740915097.0,2020,Current Projection,Full Year,2019-12-31,Police Department,11,Police,2,2020,11
Prisons,252183523.0,2020,Current Projection,Full Year,2019-12-31,Philadelphia Prison System,23,Prisons,2,2020,23
Procurement,5704227.0,2020,Current Projection,Full Year,2019-12-31,Procurement Department,38,Procurement,2,2020,38
Public Health,155340340.0,2020,Current Projection,Full Year,2019-12-31,Department of Public Health,14,Public Health,2,2020,14
Public Property,76842290.0,2020,Current Projection,Full Year,2019-12-31,Department of Public Property,20,Public Property,2,2020,20
Public Property-SEPTA Subsidy,86356000.0,2020,Current Projection,Full Year,2019-12-31,Public Property: SEPTA Subsidy,20-SS,,2,2020,20
Public Property-Space Rentals,26278677.0,2020,Current Projection,Full Year,2019-12-31,Public Property: Space Rentals,20-SR,,2,2020,20
Public Property-Utilities,27393339.0,2020,Current Projection,Full Year,2019-12-31,Public Property: Utilities,20-U,,2,2020,20
Records,4942152.0,2020,Current Projection,Full Year,2019-12-31,Department of Records,31,Records,2,2020,31
Register of Wills,4665345.0,2020,Current Projection,Full Year,2019-12-31,Register of Wills,68,,2,2020,68
Revenue,32922858.0,2020,Current Projection,Full Year,2019-12-31,Department of Revenue,36,Revenue,2,2020,36
Sheriff,27046961.0,2020,Current Projection,Full Year,2019-12-31,Office of the Sheriff,70,Sheriff,2,2020,70
Sinking Fund Commission (Debt Service),296705317.0,2020,Current Projection,Full Year,2019-12-31,Sinking Fund Commission,37,Sinking Fund,2,2020,37
Streets-Disposal,48340013.0,2020,Current Projection,Full Year,2019-12-31,Streets: Disposal,12-D,,2,2020,12
Streets,110453729.0,2020,Current Projection,Full Year,2019-12-31,Streets Department,12,Streets,2,2020,12
Art Museum Subsidy,1275000.0,2020,Target Budget,YTD,2019-09-30,Art Museum,34,,1,2020,34
Atwater Kent Museum,0.0,2020,Target Budget,YTD,2019-09-30,Atwater Kent Museum,18,Atwater Kent,1,2020,18
Auditing (City Controller's Office),4659212.0,2020,Target Budget,YTD,2019-09-30,City Controller's Office,61,,1,2020,61
Board of Ethics,468617.0,2020,Target Budget,YTD,2019-09-30,Board of Ethics,45,,1,2020,45
Board of Revision of Taxes,523689.0,2020,Target Budget,YTD,2019-09-30,Board of Revision of Taxes,63,BRT,1,2020,63
City Commissioners (Election Board),6248513.0,2020,Target Budget,YTD,2019-09-30,City Commissioner's Office,73,City Commissioners,1,2020,73
City Council,8343681.0,2020,Target Budget,YTD,2019-09-30,City Council,01,,1,2020,01
City Representative,630246.0,2020,Target Budget,YTD,2019-09-30,Office of the City Representative,41,City Rep,1,2020,41
City Treasurer,773457.0,2020,Target Budget,YTD,2019-09-30,Office of the City Treasurer,40,City Treasurer,1,2020,40
Civil Service Commission,109166.0,2020,Target Budget,YTD,2019-09-30,Civil Service Commission,55,,1,2020,55
Commerce,6696129.0,2020,Target Budget,YTD,2019-09-30,Office of the Director of Commerce,42,Commerce,1,2020,42
Commerce-Convention Center Subsidy,15000000.0,2020,Target Budget,YTD,2019-09-30,Commerce: Convention Center Subsidy,42-CC,,1,2020,42
Commerce-Economic Stimulus,7671624.0,2020,Target Budget,YTD,2019-09-30,Commerce: Economic Stimulus,42-ES,,1,2020,42
District Attorney,20960602.0,2020,Target Budget,YTD,2019-09-30,District Attorney's Office,69,DAO,1,2020,69
Finance,20271067.0,2020,Target Budget,YTD,2019-09-30,Office of the Director of Finance,35,Finance,1,2020,35
Finance-Budget Stabilization Reserve,34276000.0,2020,Target Budget,YTD,2019-09-30,Finance: Budget Stabilization Reserve,35-BSR,,1,2020,35
Finance-Disability-Reg #32 Payroll,514509.0,2020,Target Budget,YTD,2019-09-30,Finance: Reg #32,35-R32,,1,2020,35
Finance-Federal Grant Reserve,0.0,2020,Target Budget,YTD,2019-09-30,Finance: Federal Grant Reserve,35-FGR,,1,2020,35
Finance-Community College Subsidy,26931905.0,2020,Target Budget,YTD,2019-09-30,Finance: Community College Subsidy,35-CC,,1,2020,35
Finance - Employee Benefits,408795615.0,2020,Target Budget,YTD,2019-09-30,Finance: Employee Benefits,35-EB,Employee Benefits,1,2020,35
Employee Benefits: Unemployment Compensation,1423998.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: Unemployment Compensation,35-EB-UC,,1,2020,35
Employee Benefits: Employee Disability,36918341.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: Employee Disability,35-EB-DIS,,1,2020,35
Employee Benefits: Pension Obligation Bonds,18572783.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,1,2020,35
Employee Benefits: Pension,79211105.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: Pension,35-EB-PEN,,1,2020,35
Employee Benefits: FICA,36589456.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: FICA,35-EB-FICA,,1,2020,35
Employee Benefits: Flex Cash Payments,0.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,1,2020,35
Employee Benefits: Health/Medical,229656094.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: Health/Medical,35-EB-HM,,1,2020,35
Employee Benefits: Group Life Insurance,4282649.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,,1,2020,35
Employee Benefits: Group Legal,2108564.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: Group Legal,35-EB-GL,,1,2020,35
Employee Benefits: Tool Allowance,32625.0,2020,Target Budget,YTD,2019-09-30,Employee Benefits: Tool Allowance,35-EB-TA,,1,2020,35
Finance-Hero Scholarship Awards,0.0,2020,Target Budget,YTD,2019-09-30,Finance: Hero Scholarship Awards,35-HA,,1,2020,35
Finance-Indemnities,26243955.0,2020,Target Budget,YTD,2019-09-30,Finance: Indemnities,35-IN,,1,2020,35
Finance-Refunds,7878.0,2020,Target Budget,YTD,2019-09-30,Finance: Refunds,35-R,,1,2020,35
Finance-School District Contribution,111228205.0,2020,Target Budget,YTD,2019-09-30,Finance: School District Contribution,35-SD,,1,2020,35
Finance-Witness Fees,57866.0,2020,Target Budget,YTD,2019-09-30,Finance: Witness Fees,35-WF,,1,2020,35
Fire,149566017.0,2020,Target Budget,YTD,2019-09-30,Fire Department,13,Fire,1,2020,13
First Judicial District,52107259.0,2020,Target Budget,YTD,2019-09-30,First Judicial District,84,FJD,1,2020,84
Fleet Management,23264147.0,2020,Target Budget,YTD,2019-09-30,Office of Fleet Management,25,Fleet,1,2020,25
Fleet Management Vehicle Purchases,15558969.0,2020,Target Budget,YTD,2019-09-30,Fleet: Vehicle Lease/Purchases,25-V,,1,2020,25
Free Library,23117252.0,2020,Target Budget,YTD,2019-09-30,The Free Library of Philadelphia,52,Free Library,1,2020,52
Human Relations Commission,1062605.0,2020,Target Budget,YTD,2019-09-30,Commission on Human Relations,54,Human Relations,1,2020,54
Human Services,88935761.0,2020,Target Budget,YTD,2019-09-30,Department of Human Services,22,DHS,1,2020,22
Labor,970529.0,2020,Target Budget,YTD,2019-09-30,Labor,03,,1,2020,03
Law,9496918.0,2020,Target Budget,YTD,2019-09-30,Law Department,44,Law,1,2020,44
Licenses & Inspections,18199377.0,2020,Target Budget,YTD,2019-09-30,Department of Licenses and Inspections,26,L&I,1,2020,26
L&I-Board of Building Standards,38719.0,2020,Target Budget,YTD,2019-09-30,L&I: Board of Building and Standards,29,,1,2020,29
L&I-Board of L & I Review,60840.0,2020,Target Budget,YTD,2019-09-30,L&I: Board of Review,27,,1,2020,27
Managing Director's Office,27979010.0,2020,Target Budget,YTD,2019-09-30,Managing Director's Office,10,MDO,1,2020,10
Managing Director-Legal Services,50937941.0,2020,Target Budget,YTD,2019-09-30,MDO: Legal Services,10-LS,,1,2020,10
Mayor's Office,2958355.0,2020,Target Budget,YTD,2019-09-30,Mayor's Office,05,Mayor,1,2020,05
Mayor's Office-Scholarships,200000.0,2020,Target Budget,YTD,2019-09-30,Mayor's Office: Scholarships,05-S,,1,2020,05
Mayor's Office-Comm. Empowerment & Opp.,0.0,2020,Target Budget,YTD,2019-09-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO,1,2020,08
Mural Arts Program,2153670.0,2020,Target Budget,YTD,2019-09-30,Mural Arts Program,50,Mural Arts,1,2020,50
Office of Arts and Culture,3639711.0,2020,Target Budget,YTD,2019-09-30,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,1,2020,58
Office of Behavioral Hith & Intellectual disAbility,14869882.0,2020,Target Budget,YTD,2019-09-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,1,2020,15
Office of the Chief Administrative Officer,3454391.0,2020,Target Budget,YTD,2019-09-30,Office of the Chief Administrative Officer,65,CAO,1,2020,65
Office of Education,36968250.0,2020,Target Budget,YTD,2019-09-30,Office of Children and Families,66,OCF,1,2020,66
Office of Homeless Services,52353192.0,2020,Target Budget,YTD,2019-09-30,Office of Homeless Services,24,OHS,1,2020,24
Office of Human Resources,2933620.0,2020,Target Budget,YTD,2019-09-30,Office of Human Resources,56,OHR,1,2020,56
Office of Innovation and Technology-Base,37341101.0,2020,Target Budget,YTD,2019-09-30,Office of Innovation and Technology,04,OIT,1,2020,04
Office of Innovation and Technology-911,8890879.0,2020,Target Budget,YTD,2019-09-30,OIT: 911,04-911,,1,2020,04
Office of the Inspector General,731550.0,2020,Target Budget,YTD,2019-09-30,Office of the Inspector General,48,OIG,1,2020,48
Office of Property Assessment,6899055.0,2020,Target Budget,YTD,2019-09-30,Office of Property Assessment,59,OPA,1,2020,59
Office of Sustainability,579148.0,2020,Target Budget,YTD,2019-09-30,Office of Sustainability,49,Sustainability,1,2020,49
Parks and Recreation,35082012.0,2020,Target Budget,YTD,2019-09-30,Department of Parks and Recreation,16,Parks & Recreation,1,2020,16
Planning & Development,8321091.0,2020,Target Budget,YTD,2019-09-30,Department of Planning and Development,72,Planning & Development,1,2020,72
Police,344668372.0,2020,Target Budget,YTD,2019-09-30,Police Department,11,Police,1,2020,11
Prisons,152915892.0,2020,Target Budget,YTD,2019-09-30,Philadelphia Prison System,23,Prisons,1,2020,23
Procurement,3256719.0,2020,Target Budget,YTD,2019-09-30,Procurement Department,38,Procurement,1,2020,38
Public Health,87135156.0,2020,Target Budget,YTD,2019-09-30,Department of Public Health,14,Public Health,1,2020,14
Public Property,33022798.0,2020,Target Budget,YTD,2019-09-30,Department of Public Property,20,Public Property,1,2020,20
Public Property-SEPTA Subsidy,43145000.0,2020,Target Budget,YTD,2019-09-30,Public Property: SEPTA Subsidy,20-SS,,1,2020,20
Public Property-Space Rentals,24493782.0,2020,Target Budget,YTD,2019-09-30,Public Property: Space Rentals,20-SR,,1,2020,20
Public Property-Utilities,16589302.0,2020,Target Budget,YTD,2019-09-30,Public Property: Utilities,20-U,,1,2020,20
