category,fiscal_month,amount,fiscal_year,quarter,month
Advances / Labor Obligations,2,0.0,2020,2,8
Current Year Appropriation,2,395.3,2020,2,8
Prior Year Encumbrances,2,36.0,2020,2,8
Prior Year Vouchers Payable,2,-64.3,2020,2,8
Total Disbursements,2,367.0,2020,2,8
Payroll,3,100.3,2020,2,9
Employee Benefits,3,55.7,2020,2,9
Pension,3,10.7,2020,2,9
Contracts / Leases,3,77.0,2020,2,9
Materials / Equipment,3,4.7,2020,2,9
Contributions / Indemnities,3,4.8,2020,2,9
Short-Term Debt Service,3,0.1,2020,2,9
Long-Term Debt Service,3,0.0,2020,2,9
Interfund Charges,3,0.0,2020,2,9
Advances / Labor Obligations,3,0.0,2020,2,9
Current Year Appropriation,3,253.3,2020,2,9
Prior Year Encumbrances,3,23.7,2020,2,9
Prior Year Vouchers Payable,3,60.2,2020,2,9
Total Disbursements,3,337.2,2020,2,9
Payroll,4,143.6,2020,2,10
Employee Benefits,4,48.9,2020,2,10
Pension,4,81.5,2020,2,10
Contracts / Leases,4,78.8,2020,2,10
Materials / Equipment,4,10.8,2020,2,10
Contributions / Indemnities,4,16.2,2020,2,10
Short-Term Debt Service,4,0.0,2020,2,10
Long-Term Debt Service,4,0.0,2020,2,10
Interfund Charges,4,0.0,2020,2,10
Advances / Labor Obligations,4,0.0,2020,2,10
Current Year Appropriation,4,379.8,2020,2,10
Prior Year Encumbrances,4,14.0,2020,2,10
Prior Year Vouchers Payable,4,89.3,2020,2,10
Total Disbursements,4,483.1,2020,2,10
Payroll,5,188.6,2020,2,11
Employee Benefits,5,45.8,2020,2,11
Pension,5,-0.6,2020,2,11
Contracts / Leases,5,57.7,2020,2,11
Materials / Equipment,5,6.0,2020,2,11
Contributions / Indemnities,5,67.7,2020,2,11
Short-Term Debt Service,5,0.0,2020,2,11
Long-Term Debt Service,5,0.8,2020,2,11
Interfund Charges,5,0.0,2020,2,11
Advances / Labor Obligations,5,0.0,2020,2,11
Current Year Appropriation,5,366.2,2020,2,11
Prior Year Encumbrances,5,5.4,2020,2,11
Prior Year Vouchers Payable,5,5.0,2020,2,11
Total Disbursements,5,376.6,2020,2,11
Payroll,6,127.6,2020,2,12
Employee Benefits,6,61.5,2020,2,12
Pension,6,3.2,2020,2,12
Contracts / Leases,6,77.5,2020,2,12
Materials / Equipment,6,6.7,2020,2,12
Contributions / Indemnities,6,6.3,2020,2,12
Short-Term Debt Service,6,0.1,2020,2,12
Long-Term Debt Service,6,6.8,2020,2,12
Interfund Charges,6,0.0,2020,2,12
Advances / Labor Obligations,6,0.0,2020,2,12
Current Year Appropriation,6,289.7,2020,2,12
Prior Year Encumbrances,6,4.4,2020,2,12
Prior Year Vouchers Payable,6,-26.8,2020,2,12
Total Disbursements,6,267.4,2020,2,12
Payroll,7,189.3,2020,2,1
Employee Benefits,7,57.2,2020,2,1
Pension,7,-0.5,2020,2,1
Contracts / Leases,7,69.9,2020,2,1
Materials / Equipment,7,6.7,2020,2,1
Contributions / Indemnities,7,5.1,2020,2,1
Short-Term Debt Service,7,0.0,2020,2,1
Long-Term Debt Service,7,34.0,2020,2,1
Interfund Charges,7,0.0,2020,2,1
Advances / Labor Obligations,7,0.0,2020,2,1
Current Year Appropriation,7,361.7,2020,2,1
Prior Year Encumbrances,7,5.5,2020,2,1
Prior Year Vouchers Payable,7,6.3,2020,2,1
Total Disbursements,7,373.5,2020,2,1
Payroll,8,143.8,2020,2,2
Employee Benefits,8,53.3,2020,2,2
Pension,8,-2.7,2020,2,2
Contracts / Leases,8,58.0,2020,2,2
Materials / Equipment,8,8.6,2020,2,2
Contributions / Indemnities,8,56.6,2020,2,2
Short-Term Debt Service,8,0.0,2020,2,2
Long-Term Debt Service,8,0.0,2020,2,2
Interfund Charges,8,3.2,2020,2,2
Advances / Labor Obligations,8,0.0,2020,2,2
Current Year Appropriation,8,320.9,2020,2,2
Prior Year Encumbrances,8,7.1,2020,2,2
Prior Year Vouchers Payable,8,0.0,2020,2,2
Total Disbursements,8,327.9,2020,2,2
Payroll,9,144.5,2020,2,3
Employee Benefits,9,53.5,2020,2,3
Pension,9,632.8,2020,2,3
Contracts / Leases,9,82.6,2020,2,3
Materials / Equipment,9,10.8,2020,2,3
Contributions / Indemnities,9,11.6,2020,2,3
Short-Term Debt Service,9,0.0,2020,2,3
Long-Term Debt Service,9,0.4,2020,2,3
Interfund Charges,9,0.0,2020,2,3
Advances / Labor Obligations,9,20.0,2020,2,3
Current Year Appropriation,9,956.3,2020,2,3
Prior Year Encumbrances,9,4.6,2020,2,3
Prior Year Vouchers Payable,9,0.0,2020,2,3
Total Disbursements,9,960.9,2020,2,3
Payroll,10,144.5,2020,2,4
Employee Benefits,10,53.5,2020,2,4
Pension,10,-3.0,2020,2,4
Contracts / Leases,10,79.8,2020,2,4
Materials / Equipment,10,9.7,2020,2,4
Contributions / Indemnities,10,5.0,2020,2,4
Short-Term Debt Service,10,0.0,2020,2,4
Long-Term Debt Service,10,0.2,2020,2,4
Interfund Charges,10,4.2,2020,2,4
Advances / Labor Obligations,10,20.0,2020,2,4
Current Year Appropriation,10,313.9,2020,2,4
Prior Year Encumbrances,10,4.1,2020,2,4
Prior Year Vouchers Payable,10,0.0,2020,2,4
Total Disbursements,10,318.0,2020,2,4
Payroll,11,157.6,2020,2,5
Employee Benefits,11,58.4,2020,2,5
Pension,11,-2.2,2020,2,5
Contracts / Leases,11,89.5,2020,2,5
Materials / Equipment,11,9.1,2020,2,5
Contributions / Indemnities,11,64.1,2020,2,5
Short-Term Debt Service,11,0.0,2020,2,5
Long-Term Debt Service,11,22.0,2020,2,5
Interfund Charges,11,0.5,2020,2,5
Advances / Labor Obligations,11,20.0,2020,2,5
Current Year Appropriation,11,419.0,2020,2,5
Prior Year Encumbrances,11,1.7,2020,2,5
Prior Year Vouchers Payable,11,0.0,2020,2,5
Total Disbursements,11,420.8,2020,2,5
Payroll,12,155.5,2020,2,6
Employee Benefits,12,55.2,2020,2,6
Pension,12,-1.8,2020,2,6
Contracts / Leases,12,71.1,2020,2,6
Materials / Equipment,12,12.0,2020,2,6
Contributions / Indemnities,12,11.7,2020,2,6
Short-Term Debt Service,12,5.8,2020,2,6
Long-Term Debt Service,12,0.2,2020,2,6
Interfund Charges,12,33.6,2020,2,6
Advances / Labor Obligations,12,20.1,2020,2,6
Current Year Appropriation,12,363.4,2020,2,6
Prior Year Encumbrances,12,1.8,2020,2,6
Prior Year Vouchers Payable,12,0.0,2020,2,6
Total Disbursements,12,365.2,2020,2,6
Payroll,1,77.3,2020,1,7
Employee Benefits,1,42.8,2020,1,7
Pension,1,3.5,2020,1,7
Contracts / Leases,1,51.3,2020,1,7
Materials / Equipment,1,4.3,2020,1,7
Contributions / Indemnities,1,10.6,2020,1,7
Short-Term Debt Service,1,0.0,2020,1,7
Long-Term Debt Service,1,106.6,2020,1,7
Interfund Charges,1,34.6,2020,1,7
Advances / Labor Obligations,1,0.0,2020,1,7
Current Year Appropriation,1,330.8,2020,1,7
Prior Year Encumbrances,1,44.2,2020,1,7
Prior Year Vouchers Payable,1,43.2,2020,1,7
Total Disbursements,1,418.2,2020,1,7
Payroll,2,198.1,2020,1,8
Employee Benefits,2,51.0,2020,1,8
Pension,2,-0.6,2020,1,8
Contracts / Leases,2,50.3,2020,1,8
Materials / Equipment,2,4.1,2020,1,8
Contributions / Indemnities,2,72.0,2020,1,8
Short-Term Debt Service,2,0.0,2020,1,8
Long-Term Debt Service,2,10.4,2020,1,8
Interfund Charges,2,10.0,2020,1,8
Advances / Labor Obligations,2,0.0,2020,1,8
Current Year Appropriation,2,395.3,2020,1,8
Prior Year Encumbrances,2,36.0,2020,1,8
Prior Year Vouchers Payable,2,-64.3,2020,1,8
Total Disbursements,2,367.0,2020,1,8
Payroll,3,100.3,2020,1,9
Employee Benefits,3,55.7,2020,1,9
Pension,3,10.7,2020,1,9
Contracts / Leases,3,77.0,2020,1,9
Materials / Equipment,3,4.7,2020,1,9
Contributions / Indemnities,3,4.8,2020,1,9
Short-Term Debt Service,3,0.1,2020,1,9
Long-Term Debt Service,3,0.0,2020,1,9
Interfund Charges,3,0.0,2020,1,9
Advances / Labor Obligations,3,0.0,2020,1,9
Current Year Appropriation,3,253.3,2020,1,9
Prior Year Encumbrances,3,23.7,2020,1,9
Prior Year Vouchers Payable,3,60.2,2020,1,9
Total Disbursements,3,337.2,2020,1,9
Payroll,4,143.6,2020,1,10
Employee Benefits,4,48.9,2020,1,10
Pension,4,81.5,2020,1,10
Contracts / Leases,4,78.8,2020,1,10
Materials / Equipment,4,10.8,2020,1,10
Contributions / Indemnities,4,16.2,2020,1,10
Short-Term Debt Service,4,0.0,2020,1,10
Long-Term Debt Service,4,0.0,2020,1,10
Interfund Charges,4,0.0,2020,1,10
Advances / Labor Obligations,4,0.0,2020,1,10
Current Year Appropriation,4,379.8,2020,1,10
Prior Year Encumbrances,4,14.0,2020,1,10
Prior Year Vouchers Payable,4,89.3,2020,1,10
Total Disbursements,4,483.1,2020,1,10
Payroll,5,192.6,2020,1,11
Employee Benefits,5,55.4,2020,1,11
Pension,5,-5.5,2020,1,11
Contracts / Leases,5,60.0,2020,1,11
Materials / Equipment,5,8.7,2020,1,11
Contributions / Indemnities,5,58.9,2020,1,11
Short-Term Debt Service,5,0.0,2020,1,11
Long-Term Debt Service,5,0.2,2020,1,11
Interfund Charges,5,0.0,2020,1,11
Advances / Labor Obligations,5,6.9,2020,1,11
Current Year Appropriation,5,377.3,2020,1,11
Prior Year Encumbrances,5,17.7,2020,1,11
Prior Year Vouchers Payable,5,0.0,2020,1,11
Total Disbursements,5,394.9,2020,1,11
Payroll,6,139.5,2020,1,12
Employee Benefits,6,50.5,2020,1,12
Pension,6,-2.3,2020,1,12
Contracts / Leases,6,78.7,2020,1,12
Materials / Equipment,6,9.4,2020,1,12
Contributions / Indemnities,6,12.6,2020,1,12
Short-Term Debt Service,6,0.0,2020,1,12
Long-Term Debt Service,6,0.2,2020,1,12
Interfund Charges,6,13.3,2020,1,12
Advances / Labor Obligations,6,6.9,2020,1,12
Current Year Appropriation,6,308.8,2020,1,12
Prior Year Encumbrances,6,24.9,2020,1,12
Prior Year Vouchers Payable,6,0.0,2020,1,12
Total Disbursements,6,333.7,2020,1,12
Payroll,7,202.6,2020,1,1
Employee Benefits,7,72.7,2020,1,1
Pension,7,-5.3,2020,1,1
Contracts / Leases,7,56.4,2020,1,1
Materials / Equipment,7,9.4,2020,1,1
Contributions / Indemnities,7,6.0,2020,1,1
Short-Term Debt Service,7,0.1,2020,1,1
Long-Term Debt Service,7,7.1,2020,1,1
Interfund Charges,7,0.2,2020,1,1
Advances / Labor Obligations,7,6.9,2020,1,1
Current Year Appropriation,7,356.1,2020,1,1
Prior Year Encumbrances,7,11.0,2020,1,1
Prior Year Vouchers Payable,7,0.0,2020,1,1
Total Disbursements,7,367.2,2020,1,1
Payroll,8,138.8,2020,1,2
Employee Benefits,8,50.3,2020,1,2
Pension,8,-2.7,2020,1,2
Contracts / Leases,8,58.0,2020,1,2
Materials / Equipment,8,8.6,2020,1,2
Contributions / Indemnities,8,56.6,2020,1,2
Short-Term Debt Service,8,0.0,2020,1,2
Long-Term Debt Service,8,56.0,2020,1,2
Interfund Charges,8,3.2,2020,1,2
Advances / Labor Obligations,8,6.9,2020,1,2
Current Year Appropriation,8,375.8,2020,1,2
Prior Year Encumbrances,8,7.1,2020,1,2
Prior Year Vouchers Payable,8,0.0,2020,1,2
Total Disbursements,8,382.8,2020,1,2
Payroll,9,139.5,2020,1,3
Employee Benefits,9,50.5,2020,1,3
Pension,9,609.4,2020,1,3
Contracts / Leases,9,82.6,2020,1,3
Materials / Equipment,9,10.8,2020,1,3
Contributions / Indemnities,9,11.6,2020,1,3
Short-Term Debt Service,9,0.0,2020,1,3
Long-Term Debt Service,9,0.4,2020,1,3
Interfund Charges,9,0.0,2020,1,3
Advances / Labor Obligations,9,6.9,2020,1,3
Current Year Appropriation,9,911.9,2020,1,3
Prior Year Encumbrances,9,4.6,2020,1,3
Prior Year Vouchers Payable,9,0.0,2020,1,3
Total Disbursements,9,916.4,2020,1,3
Payroll,10,139.5,2020,1,4
Employee Benefits,10,50.5,2020,1,4
Pension,10,-3.0,2020,1,4
Contracts / Leases,10,79.8,2020,1,4
Materials / Equipment,10,9.7,2020,1,4
Contributions / Indemnities,10,5.0,2020,1,4
Short-Term Debt Service,10,0.0,2020,1,4
Long-Term Debt Service,10,0.2,2020,1,4
Interfund Charges,10,4.2,2020,1,4
Advances / Labor Obligations,10,6.9,2020,1,4
Current Year Appropriation,10,292.8,2020,1,4
Prior Year Encumbrances,10,4.1,2020,1,4
Prior Year Vouchers Payable,10,0.0,2020,1,4
Total Disbursements,10,296.9,2020,1,4
Payroll,11,152.6,2020,1,5
Employee Benefits,11,55.4,2020,1,5
Pension,11,-2.2,2020,1,5
Contracts / Leases,11,89.5,2020,1,5
Materials / Equipment,11,9.1,2020,1,5
Contributions / Indemnities,11,64.1,2020,1,5
Short-Term Debt Service,11,0.0,2020,1,5
Long-Term Debt Service,11,0.2,2020,1,5
Interfund Charges,11,0.5,2020,1,5
Advances / Labor Obligations,11,6.9,2020,1,5
Current Year Appropriation,11,376.1,2020,1,5
Prior Year Encumbrances,11,1.7,2020,1,5
Prior Year Vouchers Payable,11,0.0,2020,1,5
Total Disbursements,11,377.8,2020,1,5
Payroll,12,143.9,2020,1,6
Employee Benefits,12,52.2,2020,1,6
Pension,12,-1.8,2020,1,6
Contracts / Leases,12,71.1,2020,1,6
Materials / Equipment,12,12.0,2020,1,6
Contributions / Indemnities,12,13.4,2020,1,6
Short-Term Debt Service,12,5.8,2020,1,6
Long-Term Debt Service,12,0.2,2020,1,6
Interfund Charges,12,20.1,2020,1,6
Advances / Labor Obligations,12,31.9,2020,1,6
Current Year Appropriation,12,348.7,2020,1,6
Prior Year Encumbrances,12,1.8,2020,1,6
Prior Year Vouchers Payable,12,0.0,2020,1,6
Total Disbursements,12,350.5,2020,1,6
Payroll,1,73.4,2019,4,7
Employee Benefits,1,47.8,2019,4,7
Pension,1,3.7,2019,4,7
Contracts / Leases,1,38.0,2019,4,7
Materials / Equipment,1,3.6,2019,4,7
Contributions / Indemnities,1,16.7,2019,4,7
Short-Term Debt Service,1,0.0,2019,4,7
Long-Term Debt Service,1,111.0,2019,4,7
Interfund Charges,1,3.8,2019,4,7
Advances / Labor Obligations,1,0.0,2019,4,7
Current Year Appropriation,1,298.0,2019,4,7
Prior Year Encumbrances,1,39.1,2019,4,7
Prior Year Vouchers Payable,1,90.5,2019,4,7
Total Disbursements,1,427.6,2019,4,7
Payroll,2,186.7,2019,4,8
Employee Benefits,2,48.5,2019,4,8
Pension,2,-5.7,2019,4,8
Contracts / Leases,2,55.6,2019,4,8
Materials / Equipment,2,3.8,2019,4,8
Contributions / Indemnities,2,5.5,2019,4,8
Short-Term Debt Service,2,0.0,2019,4,8
Long-Term Debt Service,2,0.5,2019,4,8
Interfund Charges,2,0.0,2019,4,8
Advances / Labor Obligations,2,0.0,2019,4,8
Current Year Appropriation,2,294.8,2019,4,8
Prior Year Encumbrances,2,25.7,2019,4,8
Prior Year Vouchers Payable,2,27.8,2019,4,8
Total Disbursements,2,348.2,2019,4,8
Payroll,3,138.4,2019,4,9
Employee Benefits,3,49.6,2019,4,9
Pension,3,4.2,2019,4,9
Contracts / Leases,3,55.4,2019,4,9
Materials / Equipment,3,8.0,2019,4,9
Contributions / Indemnities,3,56.3,2019,4,9
Short-Term Debt Service,3,0.1,2019,4,9
Long-Term Debt Service,3,0.0,2019,4,9
Interfund Charges,3,0.0,2019,4,9
Advances / Labor Obligations,3,0.0,2019,4,9
Current Year Appropriation,3,312.0,2019,4,9
Prior Year Encumbrances,3,17.8,2019,4,9
Prior Year Vouchers Payable,3,-36.1,2019,4,9
Total Disbursements,3,293.7,2019,4,9
Payroll,4,144.4,2019,4,10
Employee Benefits,4,51.5,2019,4,10
Pension,4,69.6,2019,4,10
Contracts / Leases,4,63.1,2019,4,10
Materials / Equipment,4,7.1,2019,4,10
Contributions / Indemnities,4,5.6,2019,4,10
Short-Term Debt Service,4,0.0,2019,4,10
Long-Term Debt Service,4,0.0,2019,4,10
Interfund Charges,4,0.0,2019,4,10
Advances / Labor Obligations,4,0.0,2019,4,10
Current Year Appropriation,4,341.4,2019,4,10
Prior Year Encumbrances,4,11.6,2019,4,10
Prior Year Vouchers Payable,4,144.2,2019,4,10
Total Disbursements,4,497.2,2019,4,10
Payroll,5,129.4,2019,4,11
Employee Benefits,5,48.9,2019,4,11
Pension,5,-5.5,2019,4,11
Contracts / Leases,5,84.9,2019,4,11
Materials / Equipment,5,4.2,2019,4,11
Contributions / Indemnities,5,15.8,2019,4,11
Short-Term Debt Service,5,0.0,2019,4,11
Long-Term Debt Service,5,10.1,2019,4,11
Interfund Charges,5,2.6,2019,4,11
Advances / Labor Obligations,5,0.0,2019,4,11
Current Year Appropriation,5,290.4,2019,4,11
Prior Year Encumbrances,5,5.4,2019,4,11
Prior Year Vouchers Payable,5,21.3,2019,4,11
Total Disbursements,5,317.1,2019,4,11
Payroll,6,130.7,2019,4,12
Employee Benefits,6,66.8,2019,4,12
Pension,6,-2.3,2019,4,12
Contracts / Leases,6,62.9,2019,4,12
Materials / Equipment,6,5.6,2019,4,12
Contributions / Indemnities,6,48.2,2019,4,12
Short-Term Debt Service,6,0.0,2019,4,12
Long-Term Debt Service,6,7.2,2019,4,12
Interfund Charges,6,0.0,2019,4,12
Advances / Labor Obligations,6,0.0,2019,4,12
Current Year Appropriation,6,319.0,2019,4,12
Prior Year Encumbrances,6,5.6,2019,4,12
Prior Year Vouchers Payable,6,1.2,2019,4,12
Total Disbursements,6,325.8,2019,4,12
Payroll,7,202.3,2019,4,1
Employee Benefits,7,47.0,2019,4,1
Pension,7,-5.3,2019,4,1
Contracts / Leases,7,55.7,2019,4,1
Materials / Equipment,7,5.6,2019,4,1
Contributions / Indemnities,7,4.7,2019,4,1
Short-Term Debt Service,7,0.1,2019,4,1
Long-Term Debt Service,7,29.2,2019,4,1
Interfund Charges,7,19.1,2019,4,1
Advances / Labor Obligations,7,0.0,2019,4,1
Current Year Appropriation,7,358.5,2019,4,1
Prior Year Encumbrances,7,8.0,2019,4,1
Prior Year Vouchers Payable,7,-9.5,2019,4,1
Total Disbursements,7,357.0,2019,4,1
Payroll,8,124.5,2019,4,2
Employee Benefits,8,45.7,2019,4,2
Pension,8,-1.7,2019,4,2
Contracts / Leases,8,56.2,2019,4,2
Materials / Equipment,8,6.2,2019,4,2
Contributions / Indemnities,8,3.6,2019,4,2
Short-Term Debt Service,8,0.0,2019,4,2
Long-Term Debt Service,8,0.5,2019,4,2
Interfund Charges,8,0.0,2019,4,2
Advances / Labor Obligations,8,0.0,2019,4,2
Current Year Appropriation,8,235.1,2019,4,2
Prior Year Encumbrances,8,2.0,2019,4,2
Prior Year Vouchers Payable,8,11.0,2019,4,2
Total Disbursements,8,248.0,2019,4,2
Payroll,9,128.6,2019,4,3
Employee Benefits,9,52.2,2019,4,3
Pension,9,606.2,2019,4,3
Contracts / Leases,9,96.8,2019,4,3
Materials / Equipment,9,7.0,2019,4,3
Contributions / Indemnities,9,55.5,2019,4,3
Short-Term Debt Service,9,0.1,2019,4,3
Long-Term Debt Service,9,0.0,2019,4,3
Interfund Charges,9,0.0,2019,4,3
Advances / Labor Obligations,9,0.0,2019,4,3
Current Year Appropriation,9,946.4,2019,4,3
Prior Year Encumbrances,9,6.1,2019,4,3
Prior Year Vouchers Payable,9,-108.4,2019,4,3
Total Disbursements,9,844.0,2019,4,3
Payroll,10,124.5,2019,4,4
Employee Benefits,10,53.5,2019,4,4
Pension,10,17.0,2019,4,4
Contracts / Leases,10,52.4,2019,4,4
Materials / Equipment,10,7.6,2019,4,4
Contributions / Indemnities,10,5.7,2019,4,4
Short-Term Debt Service,10,0.0,2019,4,4
Long-Term Debt Service,10,0.1,2019,4,4
Interfund Charges,10,0.0,2019,4,4
Advances / Labor Obligations,10,0.0,2019,4,4
Current Year Appropriation,10,260.7,2019,4,4
Prior Year Encumbrances,10,2.3,2019,4,4
Prior Year Vouchers Payable,10,111.5,2019,4,4
Total Disbursements,10,374.5,2019,4,4
Payroll,11,139.5,2019,4,5
Employee Benefits,11,49.4,2019,4,5
Pension,11,-0.3,2019,4,5
Contracts / Leases,11,87.4,2019,4,5
Materials / Equipment,11,8.1,2019,4,5
Contributions / Indemnities,11,4.4,2019,4,5
Short-Term Debt Service,11,0.0,2019,4,5
Long-Term Debt Service,11,0.8,2019,4,5
Interfund Charges,11,0.5,2019,4,5
Advances / Labor Obligations,11,0.0,2019,4,5
Current Year Appropriation,11,289.6,2019,4,5
Prior Year Encumbrances,11,2.2,2019,4,5
Prior Year Vouchers Payable,11,8.4,2019,4,5
Total Disbursements,11,300.2,2019,4,5
Payroll,12,120.5,2019,4,6
Employee Benefits,12,62.4,2019,4,6
Pension,12,-0.3,2019,4,6
Contracts / Leases,12,50.3,2019,4,6
Materials / Equipment,12,7.9,2019,4,6
Contributions / Indemnities,12,57.6,2019,4,6
Short-Term Debt Service,12,0.1,2019,4,6
Long-Term Debt Service,12,0.0,2019,4,6
Interfund Charges,12,24.1,2019,4,6
Advances / Labor Obligations,12,0.0,2019,4,6
Current Year Appropriation,12,322.6,2019,4,6
Prior Year Encumbrances,12,0.4,2019,4,6
Prior Year Vouchers Payable,12,-6.3,2019,4,6
Total Disbursements,12,316.7,2019,4,6
Payroll,1,73.4,2019,3,7
Employee Benefits,1,47.8,2019,3,7
Pension,1,3.7,2019,3,7
Contracts / Leases,1,38.0,2019,3,7
Materials / Equipment,1,3.6,2019,3,7
Contributions / Indemnities,1,16.7,2019,3,7
Short-Term Debt Service,1,0.0,2019,3,7
Long-Term Debt Service,1,111.0,2019,3,7
Interfund Charges,1,3.8,2019,3,7
Advances / Labor Obligations,1,0.0,2019,3,7
Current Year Appropriation,1,298.0,2019,3,7
Prior Year Encumbrances,1,39.1,2019,3,7
Prior Year Vouchers Payable,1,90.5,2019,3,7
Total Disbursements,1,427.6,2019,3,7
Payroll,2,186.7,2019,3,8
Employee Benefits,2,48.5,2019,3,8
Pension,2,-5.7,2019,3,8
Contracts / Leases,2,55.6,2019,3,8
Materials / Equipment,2,3.8,2019,3,8
Contributions / Indemnities,2,5.5,2019,3,8
Short-Term Debt Service,2,0.0,2019,3,8
Long-Term Debt Service,2,0.5,2019,3,8
Interfund Charges,2,0.0,2019,3,8
Advances / Labor Obligations,2,0.0,2019,3,8
Current Year Appropriation,2,294.8,2019,3,8
Prior Year Encumbrances,2,25.7,2019,3,8
Prior Year Vouchers Payable,2,27.8,2019,3,8
Total Disbursements,2,348.2,2019,3,8
Payroll,3,138.4,2019,3,9
Employee Benefits,3,49.6,2019,3,9
Pension,3,4.2,2019,3,9
Contracts / Leases,3,55.4,2019,3,9
Materials / Equipment,3,8.0,2019,3,9
Contributions / Indemnities,3,56.3,2019,3,9
Short-Term Debt Service,3,0.1,2019,3,9
Long-Term Debt Service,3,0.0,2019,3,9
Interfund Charges,3,0.0,2019,3,9
Advances / Labor Obligations,3,0.0,2019,3,9
Current Year Appropriation,3,312.0,2019,3,9
Prior Year Encumbrances,3,17.8,2019,3,9
Prior Year Vouchers Payable,3,-36.1,2019,3,9
Total Disbursements,3,293.7,2019,3,9
Payroll,4,144.4,2019,3,10
Employee Benefits,4,51.5,2019,3,10
Pension,4,69.6,2019,3,10
Contracts / Leases,4,63.1,2019,3,10
Materials / Equipment,4,7.1,2019,3,10
Contributions / Indemnities,4,5.6,2019,3,10
Short-Term Debt Service,4,0.0,2019,3,10
Long-Term Debt Service,4,0.0,2019,3,10
Interfund Charges,4,0.0,2019,3,10
Advances / Labor Obligations,4,0.0,2019,3,10
Current Year Appropriation,4,341.4,2019,3,10
Prior Year Encumbrances,4,11.6,2019,3,10
Prior Year Vouchers Payable,4,144.2,2019,3,10
Total Disbursements,4,497.2,2019,3,10
Payroll,5,129.4,2019,3,11
Employee Benefits,5,48.9,2019,3,11
Pension,5,-5.5,2019,3,11
Contracts / Leases,5,84.9,2019,3,11
Materials / Equipment,5,4.2,2019,3,11
Contributions / Indemnities,5,15.8,2019,3,11
Short-Term Debt Service,5,0.0,2019,3,11
Long-Term Debt Service,5,10.1,2019,3,11
Interfund Charges,5,2.6,2019,3,11
Advances / Labor Obligations,5,0.0,2019,3,11
Current Year Appropriation,5,290.4,2019,3,11
Prior Year Encumbrances,5,5.4,2019,3,11
Prior Year Vouchers Payable,5,21.3,2019,3,11
Total Disbursements,5,317.1,2019,3,11
Payroll,6,130.7,2019,3,12
Employee Benefits,6,66.8,2019,3,12
Pension,6,-2.3,2019,3,12
Contracts / Leases,6,62.9,2019,3,12
Materials / Equipment,6,5.6,2019,3,12
Contributions / Indemnities,6,48.2,2019,3,12
Short-Term Debt Service,6,0.0,2019,3,12
Long-Term Debt Service,6,7.2,2019,3,12
Interfund Charges,6,0.0,2019,3,12
Advances / Labor Obligations,6,0.0,2019,3,12
Current Year Appropriation,6,319.0,2019,3,12
Prior Year Encumbrances,6,5.6,2019,3,12
Prior Year Vouchers Payable,6,1.2,2019,3,12
Total Disbursements,6,325.8,2019,3,12
Payroll,7,202.3,2019,3,1
Employee Benefits,7,47.0,2019,3,1
Pension,7,-5.3,2019,3,1
Contracts / Leases,7,55.7,2019,3,1
Materials / Equipment,7,5.6,2019,3,1
Contributions / Indemnities,7,4.7,2019,3,1
Short-Term Debt Service,7,0.1,2019,3,1
Long-Term Debt Service,7,29.2,2019,3,1
Interfund Charges,7,19.1,2019,3,1
Advances / Labor Obligations,7,0.0,2019,3,1
Current Year Appropriation,7,358.5,2019,3,1
Prior Year Encumbrances,7,8.0,2019,3,1
Prior Year Vouchers Payable,7,-9.5,2019,3,1
Total Disbursements,7,357.0,2019,3,1
Payroll,8,124.5,2019,3,2
Employee Benefits,8,45.7,2019,3,2
Pension,8,-1.7,2019,3,2
Contracts / Leases,8,56.2,2019,3,2
Materials / Equipment,8,6.2,2019,3,2
Contributions / Indemnities,8,3.6,2019,3,2
Short-Term Debt Service,8,0.0,2019,3,2
Long-Term Debt Service,8,0.5,2019,3,2
Interfund Charges,8,0.0,2019,3,2
Advances / Labor Obligations,8,0.0,2019,3,2
Current Year Appropriation,8,235.1,2019,3,2
Prior Year Encumbrances,8,2.0,2019,3,2
Prior Year Vouchers Payable,8,11.0,2019,3,2
Total Disbursements,8,248.0,2019,3,2
Payroll,9,128.6,2019,3,3
Employee Benefits,9,52.2,2019,3,3
Pension,9,606.2,2019,3,3
Contracts / Leases,9,96.8,2019,3,3
Materials / Equipment,9,7.0,2019,3,3
Contributions / Indemnities,9,55.5,2019,3,3
Short-Term Debt Service,9,0.1,2019,3,3
Long-Term Debt Service,9,0.0,2019,3,3
Interfund Charges,9,0.0,2019,3,3
Advances / Labor Obligations,9,0.0,2019,3,3
Current Year Appropriation,9,946.4,2019,3,3
Prior Year Encumbrances,9,6.1,2019,3,3
Prior Year Vouchers Payable,9,-108.4,2019,3,3
Total Disbursements,9,844.0,2019,3,3
Payroll,10,124.5,2019,3,4
Employee Benefits,10,53.5,2019,3,4
Pension,10,17.0,2019,3,4
Contracts / Leases,10,52.4,2019,3,4
Materials / Equipment,10,7.6,2019,3,4
Contributions / Indemnities,10,5.7,2019,3,4
Short-Term Debt Service,10,0.0,2019,3,4
Long-Term Debt Service,10,0.1,2019,3,4
Interfund Charges,10,0.0,2019,3,4
Advances / Labor Obligations,10,0.0,2019,3,4
Current Year Appropriation,10,260.7,2019,3,4
Prior Year Encumbrances,10,2.3,2019,3,4
Prior Year Vouchers Payable,10,111.5,2019,3,4
Total Disbursements,10,374.5,2019,3,4
