dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
City Treasurer,Other,0,0,2022,Actual,YTD,2021-09-30,0,Office of the City Treasurer,40,City Treasurer,1,2022,40
Civil Service Commission,Other,0,0,2022,Actual,YTD,2021-09-30,0,Civil Service Commission,55,,1,2022,55
Commerce,Other,658,0,2022,Actual,YTD,2021-09-30,658,Office of the Director of Commerce,42,Commerce,1,2022,42
Finance,Other,0,0,2022,Actual,YTD,2021-09-30,0,Office of the Director of Finance,35,Finance,1,2022,35
First Judicial District,Other,442,0,2022,Actual,YTD,2021-09-30,442,First Judicial District,84,FJD,1,2022,84
Fleet Management,Other,65,0,2022,Actual,YTD,2021-09-30,65,Office of Fleet Management,25,Fleet,1,2022,25
Free Library,Other,10,0,2022,Actual,YTD,2021-09-30,10,The Free Library of Philadelphia,52,Free Library,1,2022,52
Human Relations Commission,Other,0,0,2022,Actual,YTD,2021-09-30,0,Commission on Human Relations,54,Human Relations,1,2022,54
Human Services (1),Other,1001,0,2022,Actual,YTD,2021-09-30,1001,Department of Human Services,22,DHS,1,2022,22
Labor,Other,0,0,2022,Actual,YTD,2021-09-30,0,Labor,03,,1,2022,03
Law,Other,57,0,2022,Actual,YTD,2021-09-30,57,Law Department,44,Law,1,2022,44
Licenses & Inspections,Other,8,0,2022,Actual,YTD,2021-09-30,8,Department of Licenses and Inspections,26,L&I,1,2022,26
L&I-Board of Building Standards,Other,0,0,2022,Actual,YTD,2021-09-30,0,L&I: Board of Building and Standards,29,,1,2022,29
L&I-Board of L & I Review,Other,0,0,2022,Actual,YTD,2021-09-30,0,L&I: Board of Review,27,,1,2022,27
Managing Director's Office,Other,117,0,2022,Actual,YTD,2021-09-30,117,Managing Director's Office,10,MDO,1,2022,10
Mayor's Office,Other,2,0,2022,Actual,YTD,2021-09-30,2,Mayor's Office,05,Mayor,1,2022,05
Mayor's Office-Comm. Empowerment & Opp.,Other,29,0,2022,Actual,YTD,2021-09-30,29,Mayor's Office of Community Empowerment and Opportunity,08,CEO,1,2022,08
Mural Arts Program,Other,0,0,2022,Actual,YTD,2021-09-30,0,Mural Arts Program,50,Mural Arts,1,2022,50
Office of Arts and Culture,Other,0,0,2022,Actual,YTD,2021-09-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,1,2022,58
Office of Behavioral Hith & Intellectual disAbility,Other,233,0,2022,Actual,YTD,2021-09-30,233,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,1,2022,15
Office of the Chief Administrative Officer,Other,0,0,2022,Actual,YTD,2021-09-30,0,Office of the Chief Administrative Officer,65,CAO,1,2022,65
Office of Children and Families,Other,0,0,2022,Actual,YTD,2021-09-30,0,Office of Children and Families,66,OCF,1,2022,66
Office of Homeless Services,Other,23,0,2022,Actual,YTD,2021-09-30,23,Office of Homeless Services,24,OHS,1,2022,24
Office of Human Resources,Other,0,0,2022,Actual,YTD,2021-09-30,0,Office of Human Resources,56,OHR,1,2022,56
Office of Innovation and Technology,Other,101,0,2022,Actual,YTD,2021-09-30,101,Office of Innovation and Technology,04,OIT,1,2022,04
Office of the Inspector General,Other,0,0,2022,Actual,YTD,2021-09-30,0,Office of the Inspector General,48,OIG,1,2022,48
Office of Property Assessment,Other,0,0,2022,Actual,YTD,2021-09-30,0,Office of Property Assessment,59,OPA,1,2022,59
Office of Sustainability,Other,2,0,2022,Actual,YTD,2021-09-30,2,Office of Sustainability,49,Sustainability,1,2022,49
Parks and Recreation,Other,26,0,2022,Actual,YTD,2021-09-30,26,Department of Parks and Recreation,16,Parks & Recreation,1,2022,16
Planning & Development,Other,50,0,2022,Actual,YTD,2021-09-30,50,Department of Planning and Development,72,Planning & Development,1,2022,72
Prisons,Other,0,0,2022,Actual,YTD,2021-09-30,0,Philadelphia Prison System,23,Prisons,1,2022,23
Procurement,Other,2,0,2022,Actual,YTD,2021-09-30,2,Procurement Department,38,Procurement,1,2022,38
Public Health,Other,172,0,2022,Actual,YTD,2021-09-30,172,Department of Public Health,14,Public Health,1,2022,14
Public Property,Other,0,0,2022,Actual,YTD,2021-09-30,0,Department of Public Property,20,Public Property,1,2022,20
Records,Other,0,0,2022,Actual,YTD,2021-09-30,0,Department of Records,31,Records,1,2022,31
Register of Wills,Other,0,0,2022,Actual,YTD,2021-09-30,0,Register of Wills,68,,1,2022,68
Revenue,Other,172,0,2022,Actual,YTD,2021-09-30,172,Department of Revenue,36,Revenue,1,2022,36
Sheriff,Other,0,0,2022,Actual,YTD,2021-09-30,0,Office of the Sheriff,70,Sheriff,1,2022,70
Streets,Other,0,0,2022,Actual,YTD,2021-09-30,0,Streets Department,12,Streets,1,2022,12
Water,Other,1914,0,2022,Actual,YTD,2021-09-30,1914,Water Department,28,Water,1,2022,28
"Water,Sewer & Stormwater Rate Board",Other,1,0,2022,Actual,YTD,2021-09-30,1,"Water, Sewer, and Stormwater Rate Board",67,,1,2022,67
Auditing (City Controller's Office),Total,116,0,2022,Actual,YTD,2021-09-30,116,City Controller's Office,61,,1,2022,61
Board of Ethics,Total,9,0,2022,Actual,YTD,2021-09-30,9,Board of Ethics,45,,1,2022,45
Board of Pensions,Total,58,0,2022,Actual,YTD,2021-09-30,58,Board of Pensions,53,Pensions,1,2022,53
Board of Revision of Taxes,Total,14,0,2022,Actual,YTD,2021-09-30,14,Board of Revision of Taxes,63,BRT,1,2022,63
City Commissioners (Election Board),Total,132,0,2022,Actual,YTD,2021-09-30,132,City Commissioner's Office,73,City Commissioners,1,2022,73
City Council,Total,179,0,2022,Actual,YTD,2021-09-30,179,City Council,01,,1,2022,01
City Representative,Total,0,0,2022,Actual,YTD,2021-09-30,0,Office of the City Representative,41,City Rep,1,2022,41
City Treasurer,Total,16,0,2022,Actual,YTD,2021-09-30,16,Office of the City Treasurer,40,City Treasurer,1,2022,40
Civil Service Commission,Total,2,0,2022,Actual,YTD,2021-09-30,2,Civil Service Commission,55,,1,2022,55
Commerce,Total,690,0,2022,Actual,YTD,2021-09-30,690,Office of the Director of Commerce,42,Commerce,1,2022,42
Finance,Total,117,0,2022,Actual,YTD,2021-09-30,117,Office of the Director of Finance,35,Finance,1,2022,35
First Judicial District,Total,2183,0,2022,Actual,YTD,2021-09-30,2183,First Judicial District,84,FJD,1,2022,84
Fleet Management,Total,331,0,2022,Actual,YTD,2021-09-30,331,Office of Fleet Management,25,Fleet,1,2022,25
Free Library,Total,646,0,2022,Actual,YTD,2021-09-30,646,The Free Library of Philadelphia,52,Free Library,1,2022,52
Human Relations Commission,Total,31,0,2022,Actual,YTD,2021-09-30,31,Commission on Human Relations,54,Human Relations,1,2022,54
Human Services (1),Total,1493,0,2022,Actual,YTD,2021-09-30,1493,Department of Human Services,22,DHS,1,2022,22
Labor,Total,26,0,2022,Actual,YTD,2021-09-30,26,Labor,03,,1,2022,03
Law,Total,225,0,2022,Actual,YTD,2021-09-30,225,Law Department,44,Law,1,2022,44
Licenses & Inspections,Total,367,0,2022,Actual,YTD,2021-09-30,367,Department of Licenses and Inspections,26,L&I,1,2022,26
L&I-Board of Building Standards,Total,1,0,2022,Actual,YTD,2021-09-30,1,L&I: Board of Building and Standards,29,,1,2022,29
L&I-Board of L & I Review,Total,2,0,2022,Actual,YTD,2021-09-30,2,L&I: Board of Review,27,,1,2022,27
Managing Director's Office,Total,407,0,2022,Actual,YTD,2021-09-30,407,Managing Director's Office,10,MDO,1,2022,10
Mayor's Office,Total,61,0,2022,Actual,YTD,2021-09-30,61,Mayor's Office,05,Mayor,1,2022,05
Mayor's Office-Comm. Empowerment & Opp.,Total,29,0,2022,Actual,YTD,2021-09-30,29,Mayor's Office of Community Empowerment and Opportunity,08,CEO,1,2022,08
Mural Arts Program,Total,8,0,2022,Actual,YTD,2021-09-30,8,Mural Arts Program,50,Mural Arts,1,2022,50
Office of Arts and Culture,Total,0,0,2022,Actual,YTD,2021-09-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,1,2022,58
Office of Behavioral Hith & Intellectual disAbility,Total,260,0,2022,Actual,YTD,2021-09-30,260,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,1,2022,15
Office of the Chief Administrative Officer,Total,60,0,2022,Actual,YTD,2021-09-30,60,Office of the Chief Administrative Officer,65,CAO,1,2022,65
Office of Children and Families,Total,3,0,2022,Actual,YTD,2021-09-30,3,Office of Children and Families,66,OCF,1,2022,66
Office of Homeless Services,Total,169,0,2022,Actual,YTD,2021-09-30,169,Office of Homeless Services,24,OHS,1,2022,24
Office of Human Resources,Total,72,0,2022,Actual,YTD,2021-09-30,72,Office of Human Resources,56,OHR,1,2022,56
Office of Innovation and Technology,Total,412,0,2022,Actual,YTD,2021-09-30,412,Office of Innovation and Technology,04,OIT,1,2022,04
Office of the Inspector General,Total,17,0,2022,Actual,YTD,2021-09-30,17,Office of the Inspector General,48,OIG,1,2022,48
Office of Property Assessment,Total,186,0,2022,Actual,YTD,2021-09-30,186,Office of Property Assessment,59,OPA,1,2022,59
Office of Sustainability,Total,13,0,2022,Actual,YTD,2021-09-30,13,Office of Sustainability,49,Sustainability,1,2022,49
Parks and Recreation,Total,652,0,2022,Actual,YTD,2021-09-30,652,Department of Parks and Recreation,16,Parks & Recreation,1,2022,16
Planning & Development,Total,104,0,2022,Actual,YTD,2021-09-30,104,Department of Planning and Development,72,Planning & Development,1,2022,72
Prisons,Total,1572,0,2022,Actual,YTD,2021-09-30,1572,Philadelphia Prison System,23,Prisons,1,2022,23
Procurement,Total,38,0,2022,Actual,YTD,2021-09-30,38,Procurement Department,38,Procurement,1,2022,38
Public Health,Total,874,0,2022,Actual,YTD,2021-09-30,874,Department of Public Health,14,Public Health,1,2022,14
Public Property,Total,144,0,2022,Actual,YTD,2021-09-30,144,Department of Public Property,20,Public Property,1,2022,20
Records,Total,50,0,2022,Actual,YTD,2021-09-30,50,Department of Records,31,Records,1,2022,31
Register of Wills,Total,66,0,2022,Actual,YTD,2021-09-30,66,Register of Wills,68,,1,2022,68
Revenue,Total,520,0,2022,Actual,YTD,2021-09-30,520,Department of Revenue,36,Revenue,1,2022,36
Sheriff,Total,360,0,2022,Actual,YTD,2021-09-30,360,Office of the Sheriff,70,Sheriff,1,2022,70
Streets,Total,2025,0,2022,Actual,YTD,2021-09-30,2025,Streets Department,12,Streets,1,2022,12
Water,Total,1914,0,2022,Actual,YTD,2021-09-30,1914,Water Department,28,Water,1,2022,28
"Water,Sewer & Stormwater Rate Board",Total,1,0,2022,Actual,YTD,2021-09-30,1,"Water, Sewer, and Stormwater Rate Board",67,,1,2022,67
Police,General,806,6013,2022,Actual,YTD,2021-09-30,6819,Police Department,11,Police,1,2022,11
Police,Other,11,135,2022,Actual,YTD,2021-09-30,146,Police Department,11,Police,1,2022,11
Police,Total,817,6148,2022,Actual,YTD,2021-09-30,6965,Police Department,11,Police,1,2022,11
Fire,General,110,2543,2022,Actual,YTD,2021-09-30,2653,Fire Department,13,Fire,1,2022,13
Fire,Other,1,76,2022,Actual,YTD,2021-09-30,77,Fire Department,13,Fire,1,2022,13
Fire,Total,111,2619,2022,Actual,YTD,2021-09-30,2730,Fire Department,13,Fire,1,2022,13
District Attorney,General,528,36,2022,Actual,YTD,2021-09-30,564,District Attorney's Office,69,DAO,1,2022,69
District Attorney,Other,89,6,2022,Actual,YTD,2021-09-30,95,District Attorney's Office,69,DAO,1,2022,69
District Attorney,Total,617,42,2022,Actual,YTD,2021-09-30,659,District Attorney's Office,69,DAO,1,2022,69
Auditing (City Controller's Office),General,121,0,2020,Actual,Full Year,2020-06-30,121,City Controller's Office,61,,4,2021,61
Board of Ethics,General,7,0,2020,Actual,Full Year,2020-06-30,7,Board of Ethics,45,,4,2021,45
Board of Pensions,General,0,0,2020,Actual,Full Year,2020-06-30,0,Board of Pensions,53,Pensions,4,2021,53
Board of Revision of Taxes,General,14,0,2020,Actual,Full Year,2020-06-30,14,Board of Revision of Taxes,63,BRT,4,2021,63
City Commissioners (Election Board),General,98,0,2020,Actual,Full Year,2020-06-30,98,City Commissioner's Office,73,City Commissioners,4,2021,73
City Council,General,180,0,2020,Actual,Full Year,2020-06-30,180,City Council,01,,4,2021,01
City Representative,General,5,0,2020,Actual,Full Year,2020-06-30,5,Office of the City Representative,41,City Rep,4,2021,41
City Treasurer,General,16,0,2020,Actual,Full Year,2020-06-30,16,Office of the City Treasurer,40,City Treasurer,4,2021,40
Civil Service Commission,General,2,0,2020,Actual,Full Year,2020-06-30,2,Civil Service Commission,55,,4,2021,55
Commerce,General,44,0,2020,Actual,Full Year,2020-06-30,44,Office of the Director of Commerce,42,Commerce,4,2021,42
Finance,General,119,0,2020,Actual,Full Year,2020-06-30,119,Office of the Director of Finance,35,Finance,4,2021,35
First Judicial District,General,1825,0,2020,Actual,Full Year,2020-06-30,1825,First Judicial District,84,FJD,4,2021,84
Fleet Management,General,282,0,2020,Actual,Full Year,2020-06-30,282,Office of Fleet Management,25,Fleet,4,2021,25
Free Library,General,677,0,2020,Actual,Full Year,2020-06-30,677,The Free Library of Philadelphia,52,Free Library,4,2021,52
Human Relations Commission,General,34,0,2020,Actual,Full Year,2020-06-30,34,Commission on Human Relations,54,Human Relations,4,2021,54
Human Services (1),General,437,0,2020,Actual,Full Year,2020-06-30,437,Department of Human Services,22,DHS,4,2021,22
Labor,General,27,0,2020,Actual,Full Year,2020-06-30,27,Labor,03,,4,2021,03
Law,General,130,0,2020,Actual,Full Year,2020-06-30,130,Law Department,44,Law,4,2021,44
Licenses & Inspections,General,394,0,2020,Actual,Full Year,2020-06-30,394,Department of Licenses and Inspections,26,L&I,4,2021,26
L&I-Board of Building Standards,General,1,0,2020,Actual,Full Year,2020-06-30,1,L&I: Board of Building and Standards,29,,4,2021,29
L&I-Board of L & I Review,General,2,0,2020,Actual,Full Year,2020-06-30,2,L&I: Board of Review,27,,4,2021,27
Managing Director's Office,General,287,0,2020,Actual,Full Year,2020-06-30,287,Managing Director's Office,10,MDO,4,2021,10
Mayor's Office,General,61,0,2020,Actual,Full Year,2020-06-30,61,Mayor's Office,05,Mayor,4,2021,05
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2020,Actual,Full Year,2020-06-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO,4,2021,08
Mural Arts Program,General,10,0,2020,Actual,Full Year,2020-06-30,10,Mural Arts Program,50,Mural Arts,4,2021,50
Office of Arts and Culture,General,2,0,2020,Actual,Full Year,2020-06-30,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,4,2021,58
Office of Behavioral Hith & Intellectual disAbility,General,24,0,2020,Actual,Full Year,2020-06-30,24,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,4,2021,15
Office of the Chief Administrative Officer,General,64,0,2020,Actual,Full Year,2020-06-30,64,Office of the Chief Administrative Officer,65,CAO,4,2021,65
Office of Children and Families,General,40,0,2020,Actual,Full Year,2020-06-30,40,Office of Children and Families,66,OCF,4,2021,66
Office of Homeless Services,General,151,0,2020,Actual,Full Year,2020-06-30,151,Office of Homeless Services,24,OHS,4,2021,24
Office of Human Resources,General,79,0,2020,Actual,Full Year,2020-06-30,79,Office of Human Resources,56,OHR,4,2021,56
Office of Innovation and Technology,General,317,0,2020,Actual,Full Year,2020-06-30,317,Office of Innovation and Technology,04,OIT,4,2021,04
Office of the Inspector General,General,16,0,2020,Actual,Full Year,2020-06-30,16,Office of the Inspector General,48,OIG,4,2021,48
Office of Property Assessment,General,195,0,2020,Actual,Full Year,2020-06-30,195,Office of Property Assessment,59,OPA,4,2021,59
Office of Sustainability,General,7,0,2020,Actual,Full Year,2020-06-30,7,Office of Sustainability,49,Sustainability,4,2021,49
Parks and Recreation,General,647,0,2020,Actual,Full Year,2020-06-30,647,Department of Parks and Recreation,16,Parks & Recreation,4,2021,16
Planning & Development,General,55,0,2020,Actual,Full Year,2020-06-30,55,Department of Planning and Development,72,Planning & Development,4,2021,72
Prisons,General,1975,0,2020,Actual,Full Year,2020-06-30,1975,Philadelphia Prison System,23,Prisons,4,2021,23
Procurement,General,42,0,2020,Actual,Full Year,2020-06-30,42,Procurement Department,38,Procurement,4,2021,38
Public Health,General,739,0,2020,Actual,Full Year,2020-06-30,739,Department of Public Health,14,Public Health,4,2021,14
Public Property,General,119,0,2020,Actual,Full Year,2020-06-30,119,Department of Public Property,20,Public Property,4,2021,20
Records,General,51,0,2020,Actual,Full Year,2020-06-30,51,Department of Records,31,Records,4,2021,31
Register of Wills,General,66,0,2020,Actual,Full Year,2020-06-30,66,Register of Wills,68,,4,2021,68
Revenue,General,402,0,2020,Actual,Full Year,2020-06-30,402,Department of Revenue,36,Revenue,4,2021,36
Sheriff,General,385,0,2020,Actual,Full Year,2020-06-30,385,Office of the Sheriff,70,Sheriff,4,2021,70
Streets,General,1925,0,2020,Actual,Full Year,2020-06-30,1925,Streets Department,12,Streets,4,2021,12
Water,General,0,0,2020,Actual,Full Year,2020-06-30,0,Water Department,28,Water,4,2021,28
"Water,Sewer & Stormwater Rate Board",General,0,0,2020,Actual,Full Year,2020-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,,4,2021,67
Auditing (City Controller's Office),Other,0,0,2020,Actual,Full Year,2020-06-30,0,City Controller's Office,61,,4,2021,61
Board of Ethics,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Board of Ethics,45,,4,2021,45
Board of Pensions,Other,54,0,2020,Actual,Full Year,2020-06-30,54,Board of Pensions,53,Pensions,4,2021,53
Board of Revision of Taxes,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Board of Revision of Taxes,63,BRT,4,2021,63
City Commissioners (Election Board),Other,0,0,2020,Actual,Full Year,2020-06-30,0,City Commissioner's Office,73,City Commissioners,4,2021,73
City Council,Other,0,0,2020,Actual,Full Year,2020-06-30,0,City Council,01,,4,2021,01
City Representative,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Office of the City Representative,41,City Rep,4,2021,41
City Treasurer,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Office of the City Treasurer,40,City Treasurer,4,2021,40
Civil Service Commission,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Civil Service Commission,55,,4,2021,55
Commerce,Other,810,0,2020,Actual,Full Year,2020-06-30,810,Office of the Director of Commerce,42,Commerce,4,2021,42
Finance,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Office of the Director of Finance,35,Finance,4,2021,35
First Judicial District,Other,498,0,2020,Actual,Full Year,2020-06-30,498,First Judicial District,84,FJD,4,2021,84
Fleet Management,Other,78,0,2020,Actual,Full Year,2020-06-30,78,Office of Fleet Management,25,Fleet,4,2021,25
Free Library,Other,10,0,2020,Actual,Full Year,2020-06-30,10,The Free Library of Philadelphia,52,Free Library,4,2021,52
Human Relations Commission,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Commission on Human Relations,54,Human Relations,4,2021,54
Human Services (1),Other,1081,0,2020,Actual,Full Year,2020-06-30,1081,Department of Human Services,22,DHS,4,2021,22
Labor,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Labor,03,,4,2021,03
Law,Other,51,0,2020,Actual,Full Year,2020-06-30,51,Law Department,44,Law,4,2021,44
Licenses & Inspections,Other,8,0,2020,Actual,Full Year,2020-06-30,8,Department of Licenses and Inspections,26,L&I,4,2021,26
L&I-Board of Building Standards,Other,0,0,2020,Actual,Full Year,2020-06-30,0,L&I: Board of Building and Standards,29,,4,2021,29
L&I-Board of L & I Review,Other,0,0,2020,Actual,Full Year,2020-06-30,0,L&I: Board of Review,27,,4,2021,27
Managing Director's Office,Other,86,0,2020,Actual,Full Year,2020-06-30,86,Managing Director's Office,10,MDO,4,2021,10
Mayor's Office,Other,4,0,2020,Actual,Full Year,2020-06-30,4,Mayor's Office,05,Mayor,4,2021,05
Mayor's Office-Comm. Empowerment & Opp.,Other,22,0,2020,Actual,Full Year,2020-06-30,22,Mayor's Office of Community Empowerment and Opportunity,08,CEO,4,2021,08
Mural Arts Program,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Mural Arts Program,50,Mural Arts,4,2021,50
Office of Arts and Culture,Other,0,0,2020,Actual,Full Year,2020-06-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,4,2021,58
Office of Behavioral Hith & Intellectual disAbility,Other,230,0,2020,Actual,Full Year,2020-06-30,230,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,4,2021,15
Office of the Chief Administrative Officer,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Office of the Chief Administrative Officer,65,CAO,4,2021,65
Office of Children and Families,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Office of Children and Families,66,OCF,4,2021,66
Office of Homeless Services,Other,24,0,2020,Actual,Full Year,2020-06-30,24,Office of Homeless Services,24,OHS,4,2021,24
Office of Human Resources,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Office of Human Resources,56,OHR,4,2021,56
Office of Innovation and Technology,Other,97,0,2020,Actual,Full Year,2020-06-30,97,Office of Innovation and Technology,04,OIT,4,2021,04
Office of the Inspector General,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Office of the Inspector General,48,OIG,4,2021,48
Office of Property Assessment,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Office of Property Assessment,59,OPA,4,2021,59
Office of Sustainability,Other,1,0,2020,Actual,Full Year,2020-06-30,1,Office of Sustainability,49,Sustainability,4,2021,49
Parks and Recreation,Other,25,0,2020,Actual,Full Year,2020-06-30,25,Department of Parks and Recreation,16,Parks & Recreation,4,2021,16
Planning & Development,Other,53,0,2020,Actual,Full Year,2020-06-30,53,Department of Planning and Development,72,Planning & Development,4,2021,72
Prisons,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Philadelphia Prison System,23,Prisons,4,2021,23
Procurement,Other,1,0,2020,Actual,Full Year,2020-06-30,1,Procurement Department,38,Procurement,4,2021,38
Public Health,Other,146,0,2020,Actual,Full Year,2020-06-30,146,Department of Public Health,14,Public Health,4,2021,14
Public Property,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Department of Public Property,20,Public Property,4,2021,20
Records,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Department of Records,31,Records,4,2021,31
Register of Wills,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Register of Wills,68,,4,2021,68
Revenue,Other,205,0,2020,Actual,Full Year,2020-06-30,205,Department of Revenue,36,Revenue,4,2021,36
Sheriff,Other,0,0,2020,Actual,Full Year,2020-06-30,0,Office of the Sheriff,70,Sheriff,4,2021,70
Streets,Other,1,0,2020,Actual,Full Year,2020-06-30,1,Streets Department,12,Streets,4,2021,12
Water,Other,1989,0,2020,Actual,Full Year,2020-06-30,1989,Water Department,28,Water,4,2021,28
"Water,Sewer & Stormwater Rate Board",Other,1,0,2020,Actual,Full Year,2020-06-30,1,"Water, Sewer, and Stormwater Rate Board",67,,4,2021,67
Auditing (City Controller's Office),Total,121,0,2020,Actual,Full Year,2020-06-30,121,City Controller's Office,61,,4,2021,61
Board of Ethics,Total,7,0,2020,Actual,Full Year,2020-06-30,7,Board of Ethics,45,,4,2021,45
Board of Pensions,Total,54,0,2020,Actual,Full Year,2020-06-30,54,Board of Pensions,53,Pensions,4,2021,53
Board of Revision of Taxes,Total,14,0,2020,Actual,Full Year,2020-06-30,14,Board of Revision of Taxes,63,BRT,4,2021,63
City Commissioners (Election Board),Total,98,0,2020,Actual,Full Year,2020-06-30,98,City Commissioner's Office,73,City Commissioners,4,2021,73
City Council,Total,180,0,2020,Actual,Full Year,2020-06-30,180,City Council,01,,4,2021,01
City Representative,Total,5,0,2020,Actual,Full Year,2020-06-30,5,Office of the City Representative,41,City Rep,4,2021,41
City Treasurer,Total,16,0,2020,Actual,Full Year,2020-06-30,16,Office of the City Treasurer,40,City Treasurer,4,2021,40
Civil Service Commission,Total,2,0,2020,Actual,Full Year,2020-06-30,2,Civil Service Commission,55,,4,2021,55
Commerce,Total,854,0,2020,Actual,Full Year,2020-06-30,854,Office of the Director of Commerce,42,Commerce,4,2021,42
Finance,Total,119,0,2020,Actual,Full Year,2020-06-30,119,Office of the Director of Finance,35,Finance,4,2021,35
First Judicial District,Total,2323,0,2020,Actual,Full Year,2020-06-30,2323,First Judicial District,84,FJD,4,2021,84
Fleet Management,Total,360,0,2020,Actual,Full Year,2020-06-30,360,Office of Fleet Management,25,Fleet,4,2021,25
Free Library,Total,687,0,2020,Actual,Full Year,2020-06-30,687,The Free Library of Philadelphia,52,Free Library,4,2021,52
Human Relations Commission,Total,34,0,2020,Actual,Full Year,2020-06-30,34,Commission on Human Relations,54,Human Relations,4,2021,54
Human Services (1),Total,1518,0,2020,Actual,Full Year,2020-06-30,1518,Department of Human Services,22,DHS,4,2021,22
Labor,Total,27,0,2020,Actual,Full Year,2020-06-30,27,Labor,03,,4,2021,03
Law,Total,181,0,2020,Actual,Full Year,2020-06-30,181,Law Department,44,Law,4,2021,44
Licenses & Inspections,Total,402,0,2020,Actual,Full Year,2020-06-30,402,Department of Licenses and Inspections,26,L&I,4,2021,26
L&I-Board of Building Standards,Total,1,0,2020,Actual,Full Year,2020-06-30,1,L&I: Board of Building and Standards,29,,4,2021,29
L&I-Board of L & I Review,Total,2,0,2020,Actual,Full Year,2020-06-30,2,L&I: Board of Review,27,,4,2021,27
Managing Director's Office,Total,373,0,2020,Actual,Full Year,2020-06-30,373,Managing Director's Office,10,MDO,4,2021,10
Mayor's Office,Total,65,0,2020,Actual,Full Year,2020-06-30,65,Mayor's Office,05,Mayor,4,2021,05
Mayor's Office-Comm. Empowerment & Opp.,Total,22,0,2020,Actual,Full Year,2020-06-30,22,Mayor's Office of Community Empowerment and Opportunity,08,CEO,4,2021,08
Mural Arts Program,Total,10,0,2020,Actual,Full Year,2020-06-30,10,Mural Arts Program,50,Mural Arts,4,2021,50
Office of Arts and Culture,Total,2,0,2020,Actual,Full Year,2020-06-30,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,4,2021,58
Office of Behavioral Hith & Intellectual disAbility,Total,254,0,2020,Actual,Full Year,2020-06-30,254,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,4,2021,15
Office of the Chief Administrative Officer,Total,64,0,2020,Actual,Full Year,2020-06-30,64,Office of the Chief Administrative Officer,65,CAO,4,2021,65
Office of Children and Families,Total,40,0,2020,Actual,Full Year,2020-06-30,40,Office of Children and Families,66,OCF,4,2021,66
Office of Homeless Services,Total,175,0,2020,Actual,Full Year,2020-06-30,175,Office of Homeless Services,24,OHS,4,2021,24
Office of Human Resources,Total,79,0,2020,Actual,Full Year,2020-06-30,79,Office of Human Resources,56,OHR,4,2021,56
Office of Innovation and Technology,Total,414,0,2020,Actual,Full Year,2020-06-30,414,Office of Innovation and Technology,04,OIT,4,2021,04
Office of the Inspector General,Total,16,0,2020,Actual,Full Year,2020-06-30,16,Office of the Inspector General,48,OIG,4,2021,48
Office of Property Assessment,Total,195,0,2020,Actual,Full Year,2020-06-30,195,Office of Property Assessment,59,OPA,4,2021,59
Office of Sustainability,Total,8,0,2020,Actual,Full Year,2020-06-30,8,Office of Sustainability,49,Sustainability,4,2021,49
Parks and Recreation,Total,672,0,2020,Actual,Full Year,2020-06-30,672,Department of Parks and Recreation,16,Parks & Recreation,4,2021,16
Planning & Development,Total,108,0,2020,Actual,Full Year,2020-06-30,108,Department of Planning and Development,72,Planning & Development,4,2021,72
Prisons,Total,1975,0,2020,Actual,Full Year,2020-06-30,1975,Philadelphia Prison System,23,Prisons,4,2021,23
Procurement,Total,43,0,2020,Actual,Full Year,2020-06-30,43,Procurement Department,38,Procurement,4,2021,38
Public Health,Total,885,0,2020,Actual,Full Year,2020-06-30,885,Department of Public Health,14,Public Health,4,2021,14
