category,fiscal_month,amount,fiscal_year,quarter,month
Capital Improvement,2,158.1,2019,4,8
Industrial and Commercial Development,2,9.9,2019,4,8
Total Capital Funds,2,168.0,2019,4,8
Consolidated Cash,2,1008.0,2019,4,8
General Fund,3,747.4,2019,4,9
Grants Fund,3,35.8,2019,4,9
Community Development,3,-7.6,2019,4,9
Vehicle Rental Tax,3,0.1,2019,4,9
Hospital Assessment Fund,3,25.9,2019,4,9
Housing Trust Fund,3,36.7,2019,4,9
Budget Stabilization Fund,3,0.0,2019,4,9
Other Funds,3,8.8,2019,4,9
Total Operating Funds,3,847.1,2019,4,9
Capital Improvement,3,152.1,2019,4,9
Industrial and Commercial Development,3,9.9,2019,4,9
Total Capital Funds,3,162.0,2019,4,9
Consolidated Cash,3,1009.1,2019,4,9
General Fund,4,602.0,2019,4,10
Grants Fund,4,77.9,2019,4,10
Community Development,4,-7.9,2019,4,10
Vehicle Rental Tax,4,0.6,2019,4,10
Hospital Assessment Fund,4,18.1,2019,4,10
Housing Trust Fund,4,36.1,2019,4,10
Budget Stabilization Fund,4,0.0,2019,4,10
Other Funds,4,8.7,2019,4,10
Total Operating Funds,4,735.5,2019,4,10
Capital Improvement,4,136.7,2019,4,10
Industrial and Commercial Development,4,9.9,2019,4,10
Total Capital Funds,4,146.6,2019,4,10
Consolidated Cash,4,882.1,2019,4,10
General Fund,5,564.8,2019,4,11
Grants Fund,5,-14.3,2019,4,11
Community Development,5,-4.1,2019,4,11
Vehicle Rental Tax,5,1.2,2019,4,11
Hospital Assessment Fund,5,17.8,2019,4,11
Housing Trust Fund,5,36.5,2019,4,11
Budget Stabilization Fund,5,0.0,2019,4,11
Other Funds,5,8.8,2019,4,11
Total Operating Funds,5,610.6,2019,4,11
Capital Improvement,5,132.2,2019,4,11
Industrial and Commercial Development,5,9.9,2019,4,11
Total Capital Funds,5,142.2,2019,4,11
Consolidated Cash,5,752.7,2019,4,11
General Fund,6,515.8,2019,4,12
Grants Fund,6,-83.6,2019,4,12
Community Development,6,-7.8,2019,4,12
Vehicle Rental Tax,6,1.7,2019,4,12
Hospital Assessment Fund,6,45.8,2019,4,12
Housing Trust Fund,6,36.6,2019,4,12
Budget Stabilization Fund,6,0.0,2019,4,12
Other Funds,6,8.7,2019,4,12
Total Operating Funds,6,517.2,2019,4,12
Capital Improvement,6,116.3,2019,4,12
Industrial and Commercial Development,6,9.9,2019,4,12
Total Capital Funds,6,126.2,2019,4,12
Consolidated Cash,6,643.4,2019,4,12
General Fund,7,543.5,2019,4,1
Grants Fund,7,-41.2,2019,4,1
Community Development,7,-9.6,2019,4,1
Vehicle Rental Tax,7,2.1,2019,4,1
Hospital Assessment Fund,7,19.1,2019,4,1
Housing Trust Fund,7,56.5,2019,4,1
Budget Stabilization Fund,7,0.0,2019,4,1
Other Funds,7,8.7,2019,4,1
Total Operating Funds,7,579.1,2019,4,1
Capital Improvement,7,102.0,2019,4,1
Industrial and Commercial Development,7,10.0,2019,4,1
Total Capital Funds,7,111.9,2019,4,1
Consolidated Cash,7,691.0,2019,4,1
General Fund,8,922.2,2019,4,2
Grants Fund,8,98.4,2019,4,2
Community Development,8,-5.6,2019,4,2
Vehicle Rental Tax,8,2.5,2019,4,2
Hospital Assessment Fund,8,18.6,2019,4,2
Housing Trust Fund,8,57.1,2019,4,2
Budget Stabilization Fund,8,0.0,2019,4,2
Other Funds,8,8.4,2019,4,2
Total Operating Funds,8,1101.7,2019,4,2
Capital Improvement,8,94.2,2019,4,2
Industrial and Commercial Development,8,10.0,2019,4,2
Total Capital Funds,8,104.2,2019,4,2
Consolidated Cash,8,1205.9,2019,4,2
General Fund,9,548.4,2019,4,3
Grants Fund,9,38.8,2019,4,3
Community Development,9,-0.7,2019,4,3
Vehicle Rental Tax,9,2.9,2019,4,3
Hospital Assessment Fund,9,28.1,2019,4,3
Housing Trust Fund,9,57.1,2019,4,3
Budget Stabilization Fund,9,0.0,2019,4,3
Other Funds,9,8.8,2019,4,3
Total Operating Funds,9,683.3,2019,4,3
Capital Improvement,9,77.3,2019,4,3
Industrial and Commercial Development,9,10.0,2019,4,3
Total Capital Funds,9,87.3,2019,4,3
Consolidated Cash,9,770.6,2019,4,3
General Fund,10,902.7,2019,4,4
Grants Fund,10,52.4,2019,4,4
Community Development,10,0.1,2019,4,4
Vehicle Rental Tax,10,3.3,2019,4,4
Hospital Assessment Fund,10,20.0,2019,4,4
Housing Trust Fund,10,58.0,2019,4,4
Budget Stabilization Fund,10,0.0,2019,4,4
Other Funds,10,8.6,2019,4,4
Total Operating Funds,10,1045.0,2019,4,4
Capital Improvement,10,51.1,2019,4,4
Industrial and Commercial Development,10,10.0,2019,4,4
Total Capital Funds,10,61.1,2019,4,4
Consolidated Cash,10,1106.0,2019,4,4
General Fund,11,973.3,2019,4,5
Grants Fund,11,-15.7,2019,4,5
Community Development,11,1.5,2019,4,5
Vehicle Rental Tax,11,3.8,2019,4,5
Hospital Assessment Fund,11,37.7,2019,4,5
Housing Trust Fund,11,57.3,2019,4,5
Budget Stabilization Fund,11,0.0,2019,4,5
Other Funds,11,7.8,2019,4,5
Total Operating Funds,11,1065.6,2019,4,5
Capital Improvement,11,36.5,2019,4,5
Industrial and Commercial Development,11,10.0,2019,4,5
Total Capital Funds,11,46.5,2019,4,5
Consolidated Cash,11,1112.2,2019,4,5
General Fund,12,966.4,2019,4,6
Grants Fund,12,-21.9,2019,4,6
Community Development,12,-6.3,2019,4,6
Vehicle Rental Tax,12,4.4,2019,4,6
Hospital Assessment Fund,12,23.0,2019,4,6
Housing Trust Fund,12,58.0,2019,4,6
Budget Stabilization Fund,12,0.0,2019,4,6
Other Funds,12,8.3,2019,4,6
Total Operating Funds,12,1031.8,2019,4,6
Capital Improvement,12,44.0,2019,4,6
Industrial and Commercial Development,12,10.0,2019,4,6
Total Capital Funds,12,54.1,2019,4,6
Consolidated Cash,12,1085.9,2019,4,6
General Fund,1,677.1,2019,3,7
Grants Fund,1,24.4,2019,3,7
Community Development,1,-4.5,2019,3,7
Vehicle Rental Tax,1,5.8,2019,3,7
Hospital Assessment Fund,1,17.4,2019,3,7
Housing Trust Fund,1,35.5,2019,3,7
Budget Stabilization Fund,1,0.0,2019,3,7
Other Funds,1,8.5,2019,3,7
Total Operating Funds,1,764.2,2019,3,7
Capital Improvement,1,174.4,2019,3,7
Industrial and Commercial Development,1,9.9,2019,3,7
Total Capital Funds,1,184.3,2019,3,7
Consolidated Cash,1,948.4,2019,3,7
General Fund,2,696.4,2019,3,8
Grants Fund,2,84.5,2019,3,8
Community Development,2,-9.8,2019,3,8
Vehicle Rental Tax,2,6.4,2019,3,8
Hospital Assessment Fund,2,17.5,2019,3,8
Housing Trust Fund,2,35.6,2019,3,8
Budget Stabilization Fund,2,0.0,2019,3,8
Other Funds,2,9.4,2019,3,8
Total Operating Funds,2,840.0,2019,3,8
Capital Improvement,2,158.1,2019,3,8
Industrial and Commercial Development,2,9.9,2019,3,8
Total Capital Funds,2,168.0,2019,3,8
Consolidated Cash,2,1008.0,2019,3,8
General Fund,3,747.4,2019,3,9
Grants Fund,3,35.8,2019,3,9
Community Development,3,-7.6,2019,3,9
Vehicle Rental Tax,3,0.1,2019,3,9
Hospital Assessment Fund,3,25.9,2019,3,9
Housing Trust Fund,3,36.7,2019,3,9
Budget Stabilization Fund,3,0.0,2019,3,9
Other Funds,3,8.8,2019,3,9
Total Operating Funds,3,847.1,2019,3,9
Capital Improvement,3,152.1,2019,3,9
Industrial and Commercial Development,3,9.9,2019,3,9
Total Capital Funds,3,162.0,2019,3,9
Consolidated Cash,3,1009.1,2019,3,9
General Fund,4,602.0,2019,3,10
Grants Fund,4,77.9,2019,3,10
Community Development,4,-7.9,2019,3,10
Vehicle Rental Tax,4,0.6,2019,3,10
Hospital Assessment Fund,4,18.1,2019,3,10
Housing Trust Fund,4,36.1,2019,3,10
Budget Stabilization Fund,4,0.0,2019,3,10
Other Funds,4,8.7,2019,3,10
Total Operating Funds,4,735.5,2019,3,10
Capital Improvement,4,136.7,2019,3,10
Industrial and Commercial Development,4,9.9,2019,3,10
Total Capital Funds,4,146.6,2019,3,10
Consolidated Cash,4,882.1,2019,3,10
General Fund,5,564.8,2019,3,11
Grants Fund,5,-14.3,2019,3,11
Community Development,5,-4.1,2019,3,11
Vehicle Rental Tax,5,1.2,2019,3,11
Hospital Assessment Fund,5,17.8,2019,3,11
Housing Trust Fund,5,36.5,2019,3,11
Budget Stabilization Fund,5,0.0,2019,3,11
Other Funds,5,8.8,2019,3,11
Total Operating Funds,5,610.6,2019,3,11
Capital Improvement,5,132.2,2019,3,11
Industrial and Commercial Development,5,9.9,2019,3,11
Total Capital Funds,5,142.2,2019,3,11
Consolidated Cash,5,752.7,2019,3,11
General Fund,6,515.8,2019,3,12
Grants Fund,6,-83.6,2019,3,12
Community Development,6,-7.8,2019,3,12
Vehicle Rental Tax,6,1.7,2019,3,12
Hospital Assessment Fund,6,45.8,2019,3,12
Housing Trust Fund,6,36.6,2019,3,12
Budget Stabilization Fund,6,0.0,2019,3,12
Other Funds,6,8.7,2019,3,12
Total Operating Funds,6,517.2,2019,3,12
Capital Improvement,6,116.3,2019,3,12
Industrial and Commercial Development,6,9.9,2019,3,12
Total Capital Funds,6,126.2,2019,3,12
Consolidated Cash,6,643.4,2019,3,12
General Fund,7,543.5,2019,3,1
Grants Fund,7,-41.2,2019,3,1
Community Development,7,-9.6,2019,3,1
Vehicle Rental Tax,7,2.1,2019,3,1
Hospital Assessment Fund,7,19.1,2019,3,1
Housing Trust Fund,7,56.5,2019,3,1
Budget Stabilization Fund,7,0.0,2019,3,1
Other Funds,7,8.7,2019,3,1
Total Operating Funds,7,579.1,2019,3,1
Capital Improvement,7,102.0,2019,3,1
Industrial and Commercial Development,7,10.0,2019,3,1
Total Capital Funds,7,111.9,2019,3,1
Consolidated Cash,7,691.0,2019,3,1
General Fund,8,922.2,2019,3,2
Grants Fund,8,98.4,2019,3,2
Community Development,8,-5.6,2019,3,2
Vehicle Rental Tax,8,2.5,2019,3,2
Hospital Assessment Fund,8,18.6,2019,3,2
Housing Trust Fund,8,57.1,2019,3,2
Budget Stabilization Fund,8,0.0,2019,3,2
Other Funds,8,8.4,2019,3,2
Total Operating Funds,8,1101.7,2019,3,2
Capital Improvement,8,94.2,2019,3,2
Industrial and Commercial Development,8,10.0,2019,3,2
Total Capital Funds,8,104.2,2019,3,2
Consolidated Cash,8,1205.9,2019,3,2
General Fund,9,548.4,2019,3,3
Grants Fund,9,38.8,2019,3,3
Community Development,9,-0.7,2019,3,3
Vehicle Rental Tax,9,2.9,2019,3,3
Hospital Assessment Fund,9,28.1,2019,3,3
Housing Trust Fund,9,57.1,2019,3,3
Budget Stabilization Fund,9,0.0,2019,3,3
Other Funds,9,8.8,2019,3,3
Total Operating Funds,9,683.3,2019,3,3
Capital Improvement,9,77.3,2019,3,3
Industrial and Commercial Development,9,10.0,2019,3,3
Total Capital Funds,9,87.3,2019,3,3
Consolidated Cash,9,770.6,2019,3,3
General Fund,10,902.7,2019,3,4
Grants Fund,10,52.4,2019,3,4
Community Development,10,0.1,2019,3,4
Vehicle Rental Tax,10,3.3,2019,3,4
Hospital Assessment Fund,10,20.0,2019,3,4
Housing Trust Fund,10,58.0,2019,3,4
Budget Stabilization Fund,10,0.0,2019,3,4
Other Funds,10,8.6,2019,3,4
Total Operating Funds,10,1045.0,2019,3,4
Capital Improvement,10,51.1,2019,3,4
Industrial and Commercial Development,10,10.0,2019,3,4
Total Capital Funds,10,61.1,2019,3,4
Consolidated Cash,10,1106.0,2019,3,4
General Fund,11,935.0,2019,3,5
Grants Fund,11,-179.0,2019,3,5
Community Development,11,-0.4,2019,3,5
Vehicle Rental Tax,11,5.3,2019,3,5
Hospital Assessment Fund,11,31.4,2019,3,5
Housing Trust Fund,11,58.9,2019,3,5
Budget Stabilization Fund,11,0.0,2019,3,5
Other Funds,11,7.8,2019,3,5
Total Operating Funds,11,859.0,2019,3,5
Capital Improvement,11,38.6,2019,3,5
Industrial and Commercial Development,11,10.0,2019,3,5
Total Capital Funds,11,48.6,2019,3,5
Consolidated Cash,11,907.6,2019,3,5
General Fund,12,843.2,2019,3,6
Grants Fund,12,-144.7,2019,3,6
Community Development,12,-7.1,2019,3,6
Vehicle Rental Tax,12,6.0,2019,3,6
Hospital Assessment Fund,12,13.3,2019,3,6
Housing Trust Fund,12,58.0,2019,3,6
Budget Stabilization Fund,12,0.0,2019,3,6
Other Funds,12,7.5,2019,3,6
Total Operating Funds,12,776.3,2019,3,6
Capital Improvement,12,46.1,2019,3,6
Industrial and Commercial Development,12,10.0,2019,3,6
Total Capital Funds,12,56.1,2019,3,6
Consolidated Cash,12,832.4,2019,3,6
General Fund,1,677.1,2019,2,7
Grants Fund,1,24.4,2019,2,7
Community Development,1,-4.5,2019,2,7
Vehicle Rental Tax,1,5.8,2019,2,7
Hospital Assessment Fund,1,17.4,2019,2,7
Housing Trust Fund,1,35.5,2019,2,7
Other Funds,1,8.5,2019,2,7
Total Operating Funds,1,764.2,2019,2,7
Capital Improvement,1,174.4,2019,2,7
Industrial and Commercial Development,1,9.9,2019,2,7
Total Capital Funds,1,184.3,2019,2,7
Consolidated Cash,1,948.4,2019,2,7
General Fund,2,696.4,2019,2,8
Grants Fund,2,84.5,2019,2,8
Community Development,2,-9.8,2019,2,8
Vehicle Rental Tax,2,6.4,2019,2,8
Hospital Assessment Fund,2,17.5,2019,2,8
Housing Trust Fund,2,35.6,2019,2,8
Other Funds,2,9.4,2019,2,8
Total Operating Funds,2,840.0,2019,2,8
Capital Improvement,2,158.1,2019,2,8
Industrial and Commercial Development,2,9.9,2019,2,8
Total Capital Funds,2,168.0,2019,2,8
Consolidated Cash,2,1008.0,2019,2,8
General Fund,3,747.4,2019,2,9
Grants Fund,3,35.8,2019,2,9
Community Development,3,-7.6,2019,2,9
Vehicle Rental Tax,3,0.1,2019,2,9
Hospital Assessment Fund,3,25.9,2019,2,9
Housing Trust Fund,3,36.7,2019,2,9
Other Funds,3,8.8,2019,2,9
Total Operating Funds,3,847.1,2019,2,9
Capital Improvement,3,152.1,2019,2,9
Industrial and Commercial Development,3,9.9,2019,2,9
Total Capital Funds,3,162.0,2019,2,9
Consolidated Cash,3,1009.1,2019,2,9
General Fund,4,602.0,2019,2,10
Grants Fund,4,77.9,2019,2,10
Community Development,4,-7.9,2019,2,10
Vehicle Rental Tax,4,0.6,2019,2,10
Hospital Assessment Fund,4,18.1,2019,2,10
Housing Trust Fund,4,36.1,2019,2,10
Other Funds,4,8.6,2019,2,10
Total Operating Funds,4,735.5,2019,2,10
Capital Improvement,4,136.7,2019,2,10
Industrial and Commercial Development,4,9.9,2019,2,10
Total Capital Funds,4,146.6,2019,2,10
Consolidated Cash,4,882.1,2019,2,10
General Fund,5,564.8,2019,2,11
Grants Fund,5,-14.3,2019,2,11
Community Development,5,-4.1,2019,2,11
Vehicle Rental Tax,5,1.2,2019,2,11
Hospital Assessment Fund,5,17.8,2019,2,11
Housing Trust Fund,5,36.5,2019,2,11
Other Funds,5,8.9,2019,2,11
Total Operating Funds,5,610.7,2019,2,11
Capital Improvement,5,132.2,2019,2,11
Industrial and Commercial Development,5,9.9,2019,2,11
Total Capital Funds,5,142.2,2019,2,11
Consolidated Cash,5,752.8,2019,2,11
General Fund,6,515.8,2019,2,12
Grants Fund,6,-83.6,2019,2,12
Community Development,6,-7.8,2019,2,12
Vehicle Rental Tax,6,1.7,2019,2,12
Hospital Assessment Fund,6,45.8,2019,2,12
Housing Trust Fund,6,36.6,2019,2,12
Other Funds,6,8.7,2019,2,12
Total Operating Funds,6,517.2,2019,2,12
Capital Improvement,6,116.3,2019,2,12
Industrial and Commercial Development,6,9.9,2019,2,12
Total Capital Funds,6,126.2,2019,2,12
Consolidated Cash,6,643.4,2019,2,12
General Fund,7,543.5,2019,2,1
Grants Fund,7,-41.2,2019,2,1
Community Development,7,-9.6,2019,2,1
Vehicle Rental Tax,7,2.1,2019,2,1
Hospital Assessment Fund,7,19.1,2019,2,1
Housing Trust Fund,7,56.5,2019,2,1
Other Funds,7,8.9,2019,2,1
Total Operating Funds,7,579.3,2019,2,1
Capital Improvement,7,102.0,2019,2,1
Industrial and Commercial Development,7,10.0,2019,2,1
Total Capital Funds,7,111.9,2019,2,1
Consolidated Cash,7,691.2,2019,2,1
General Fund,8,861.9,2019,2,2
Grants Fund,8,-171.4,2019,2,2
Community Development,8,-5.2,2019,2,2
Vehicle Rental Tax,8,4.1,2019,2,2
Hospital Assessment Fund,8,11.2,2019,2,2
Housing Trust Fund,8,56.8,2019,2,2
Other Funds,8,8.2,2019,2,2
Total Operating Funds,8,765.6,2019,2,2
Capital Improvement,8,89.5,2019,2,2
Industrial and Commercial Development,8,10.0,2019,2,2
Total Capital Funds,8,99.4,2019,2,2
Consolidated Cash,8,865.1,2019,2,2
General Fund,9,485.1,2019,2,3
Grants Fund,9,-185.4,2019,2,3
Community Development,9,-4.7,2019,2,3
Vehicle Rental Tax,9,4.4,2019,2,3
Hospital Assessment Fund,9,20.1,2019,2,3
Housing Trust Fund,9,57.2,2019,2,3
Other Funds,9,7.7,2019,2,3
Total Operating Funds,9,384.4,2019,2,3
Capital Improvement,9,77.0,2019,2,3
Industrial and Commercial Development,9,10.0,2019,2,3
Total Capital Funds,9,86.9,2019,2,3
Consolidated Cash,9,471.4,2019,2,3
General Fund,10,675.6,2019,2,4
Grants Fund,10,-180.3,2019,2,4
Community Development,10,-1.0,2019,2,4
Vehicle Rental Tax,10,4.9,2019,2,4
Hospital Assessment Fund,10,11.6,2019,2,4
Housing Trust Fund,10,57.5,2019,2,4
Other Funds,10,7.8,2019,2,4
Total Operating Funds,10,576.0,2019,2,4
Capital Improvement,10,64.5,2019,2,4
Industrial and Commercial Development,10,10.0,2019,2,4
Total Capital Funds,10,74.4,2019,2,4
Consolidated Cash,10,650.4,2019,2,4
General Fund,11,724.1,2019,2,5
Grants Fund,11,-179.0,2019,2,5
Community Development,11,-0.4,2019,2,5
Vehicle Rental Tax,11,5.3,2019,2,5
Hospital Assessment Fund,11,31.4,2019,2,5
Housing Trust Fund,11,58.4,2019,2,5
Other Funds,11,7.8,2019,2,5
Total Operating Funds,11,647.6,2019,2,5
Capital Improvement,11,52.0,2019,2,5
Industrial and Commercial Development,11,10.0,2019,2,5
Total Capital Funds,11,62.0,2019,2,5
Consolidated Cash,11,709.6,2019,2,5
General Fund,12,653.1,2019,2,6
Grants Fund,12,-144.7,2019,2,6
Community Development,12,-7.1,2019,2,6
Vehicle Rental Tax,12,6.0,2019,2,6
Hospital Assessment Fund,12,13.3,2019,2,6
Housing Trust Fund,12,57.5,2019,2,6
Other Funds,12,7.5,2019,2,6
Total Operating Funds,12,585.6,2019,2,6
Capital Improvement,12,39.5,2019,2,6
Industrial and Commercial Development,12,10.0,2019,2,6
Total Capital Funds,12,49.5,2019,2,6
Consolidated Cash,12,635.1,2019,2,6
General Fund,1,677.1,2019,1,7
Grants Fund,1,24.4,2019,1,7
Community Development,1,-4.5,2019,1,7
Vehicle Rental Tax,1,5.8,2019,1,7
Hospital Assessment Fund,1,17.4,2019,1,7
Housing Trust Fund,1,35.5,2019,1,7
Other Funds,1,8.5,2019,1,7
Total Operating Funds,1,764.2,2019,1,7
Capital Improvement,1,174.4,2019,1,7
Industrial and Commercial Development,1,9.9,2019,1,7
Total Capital Funds,1,184.3,2019,1,7
Consolidated Cash,1,948.4,2019,1,7
General Fund,2,696.4,2019,1,8
Grants Fund,2,84.5,2019,1,8
Community Development,2,-9.8,2019,1,8
Vehicle Rental Tax,2,6.4,2019,1,8
Hospital Assessment Fund,2,17.5,2019,1,8
Housing Trust Fund,2,35.6,2019,1,8
Other Funds,2,9.4,2019,1,8
Total Operating Funds,2,840.0,2019,1,8
Capital Improvement,2,158.1,2019,1,8
Industrial and Commercial Development,2,9.9,2019,1,8
Total Capital Funds,2,168.0,2019,1,8
Consolidated Cash,2,1008.0,2019,1,8
General Fund,3,747.4,2019,1,9
Grants Fund,3,35.8,2019,1,9
Community Development,3,-7.6,2019,1,9
Vehicle Rental Tax,3,0.1,2019,1,9
Hospital Assessment Fund,3,25.9,2019,1,9
Housing Trust Fund,3,36.7,2019,1,9
Other Funds,3,8.8,2019,1,9
Total Operating Funds,3,847.1,2019,1,9
Capital Improvement,3,152.1,2019,1,9
Industrial and Commercial Development,3,9.9,2019,1,9
Total Capital Funds,3,162.0,2019,1,9
Consolidated Cash,3,1009.1,2019,1,9
General Fund,4,602.0,2019,1,10
Grants Fund,4,77.9,2019,1,10
Community Development,4,-7.9,2019,1,10
Vehicle Rental Tax,4,0.6,2019,1,10
Hospital Assessment Fund,4,18.1,2019,1,10
Housing Trust Fund,4,36.1,2019,1,10
Other Funds,4,8.6,2019,1,10
Total Operating Funds,4,735.5,2019,1,10
Capital Improvement,4,136.7,2019,1,10
Industrial and Commercial Development,4,9.9,2019,1,10
Total Capital Funds,4,146.6,2019,1,10
Consolidated Cash,4,882.1,2019,1,10
General Fund,5,601.3,2019,1,11
Grants Fund,5,-134.9,2019,1,11
Community Development,5,-4.3,2019,1,11
Vehicle Rental Tax,5,2.9,2019,1,11
Hospital Assessment Fund,5,11.4,2019,1,11
Housing Trust Fund,5,36.8,2019,1,11
Other Funds,5,8.4,2019,1,11
Total Operating Funds,5,521.6,2019,1,11
Capital Improvement,5,124.2,2019,1,11
Industrial and Commercial Development,5,9.9,2019,1,11
Total Capital Funds,5,134.1,2019,1,11
Consolidated Cash,5,655.8,2019,1,11
General Fund,6,456.1,2019,1,12
Grants Fund,6,-192.9,2019,1,12
Community Development,6,-4.8,2019,1,12
Vehicle Rental Tax,6,3.3,2019,1,12
Hospital Assessment Fund,6,20.1,2019,1,12
Housing Trust Fund,6,56.6,2019,1,12
Other Funds,6,8.1,2019,1,12
Total Operating Funds,6,346.6,2019,1,12
Capital Improvement,6,113.1,2019,1,12
Industrial and Commercial Development,6,9.9,2019,1,12
Total Capital Funds,6,123.0,2019,1,12
Consolidated Cash,6,469.6,2019,1,12
General Fund,7,500.6,2019,1,1
Grants Fund,7,-136.1,2019,1,1
Community Development,7,-6.5,2019,1,1
Vehicle Rental Tax,7,3.7,2019,1,1
Hospital Assessment Fund,7,12.2,2019,1,1
Housing Trust Fund,7,56.5,2019,1,1
Other Funds,7,8.2,2019,1,1
Total Operating Funds,7,438.6,2019,1,1
Capital Improvement,7,100.6,2019,1,1
Industrial and Commercial Development,7,9.9,2019,1,1
Total Capital Funds,7,110.5,2019,1,1
Consolidated Cash,7,549.1,2019,1,1
General Fund,8,813.5,2019,1,2
Grants Fund,8,-171.4,2019,1,2
Community Development,8,-5.2,2019,1,2
Vehicle Rental Tax,8,4.1,2019,1,2
Hospital Assessment Fund,8,11.2,2019,1,2
Housing Trust Fund,8,56.8,2019,1,2
Other Funds,8,8.2,2019,1,2
Total Operating Funds,8,717.2,2019,1,2
Capital Improvement,8,88.1,2019,1,2
Industrial and Commercial Development,8,10.0,2019,1,2
Total Capital Funds,8,98.1,2019,1,2
Consolidated Cash,8,815.2,2019,1,2
General Fund,9,464.2,2019,1,3
Grants Fund,9,-185.4,2019,1,3
Community Development,9,-4.7,2019,1,3
Vehicle Rental Tax,9,4.4,2019,1,3
Hospital Assessment Fund,9,20.1,2019,1,3
Housing Trust Fund,9,57.2,2019,1,3
Other Funds,9,7.7,2019,1,3
Total Operating Funds,9,363.5,2019,1,3
Capital Improvement,9,75.6,2019,1,3
Industrial and Commercial Development,9,10.0,2019,1,3
Total Capital Funds,9,85.6,2019,1,3
Consolidated Cash,9,449.0,2019,1,3
General Fund,10,669.7,2019,1,4
Grants Fund,10,-180.3,2019,1,4
Community Development,10,-1.0,2019,1,4
Vehicle Rental Tax,10,4.9,2019,1,4
Hospital Assessment Fund,10,11.6,2019,1,4
Housing Trust Fund,10,57.5,2019,1,4
Other Funds,10,7.8,2019,1,4
Total Operating Funds,10,570.1,2019,1,4
Capital Improvement,10,63.1,2019,1,4
Industrial and Commercial Development,10,10.0,2019,1,4
Total Capital Funds,10,73.1,2019,1,4
Consolidated Cash,10,643.2,2019,1,4
General Fund,11,726.0,2019,1,5
Grants Fund,11,-179.0,2019,1,5
Community Development,11,-0.4,2019,1,5
Vehicle Rental Tax,11,5.3,2019,1,5
Hospital Assessment Fund,11,31.4,2019,1,5
Housing Trust Fund,11,58.4,2019,1,5
Other Funds,11,7.8,2019,1,5
Total Operating Funds,11,649.5,2019,1,5
Capital Improvement,11,50.6,2019,1,5
Industrial and Commercial Development,11,10.0,2019,1,5
Total Capital Funds,11,60.6,2019,1,5
Consolidated Cash,11,710.1,2019,1,5
General Fund,12,684.6,2019,1,6
Grants Fund,12,-144.7,2019,1,6
Community Development,12,-7.1,2019,1,6
Vehicle Rental Tax,12,6.0,2019,1,6
Hospital Assessment Fund,12,13.3,2019,1,6
Housing Trust Fund,12,57.5,2019,1,6
Other Funds,12,7.5,2019,1,6
Total Operating Funds,12,617.1,2019,1,6
Capital Improvement,12,38.1,2019,1,6
Industrial and Commercial Development,12,10.0,2019,1,6
Total Capital Funds,12,48.1,2019,1,6
Consolidated Cash,12,665.2,2019,1,6
General Fund,1,494.3,2018,4,7
Grants Fund,1,-58.0,2018,4,7
Community Development,1,-16.9,2018,4,7
Vehicle Rental Tax,1,6.0,2018,4,7
Hospital Assessment Fund,1,13.8,2018,4,7
Housing Trust Fund,1,32.0,2018,4,7
Other Funds,1,8.7,2018,4,7
Total Operating Funds,1,480.0,2018,4,7
Capital Improvement,1,28.4,2018,4,7
Industrial and Commercial Development,1,9.8,2018,4,7
Total Capital Funds,1,38.1,2018,4,7
Consolidated Cash,1,518.1,2018,4,7
General Fund,2,553.9,2018,4,8
Grants Fund,2,83.0,2018,4,8
Community Development,2,-15.1,2018,4,8
Vehicle Rental Tax,2,6.6,2018,4,8
Hospital Assessment Fund,2,13.6,2018,4,8
Housing Trust Fund,2,33.3,2018,4,8
Other Funds,2,9.0,2018,4,8
Total Operating Funds,2,684.3,2018,4,8
Capital Improvement,2,297.8,2018,4,8
Industrial and Commercial Development,2,9.8,2018,4,8
Total Capital Funds,2,307.6,2018,4,8
Consolidated Cash,2,992.0,2018,4,8
General Fund,3,576.5,2018,4,9
Grants Fund,3,20.0,2018,4,9
Community Development,3,-11.7,2018,4,9
Vehicle Rental Tax,3,1.2,2018,4,9
Hospital Assessment Fund,3,23.1,2018,4,9
Housing Trust Fund,3,33.8,2018,4,9
Other Funds,3,7.8,2018,4,9
Total Operating Funds,3,650.7,2018,4,9
Capital Improvement,3,287.3,2018,4,9
Industrial and Commercial Development,3,9.8,2018,4,9
Total Capital Funds,3,297.1,2018,4,9
Consolidated Cash,3,947.8,2018,4,9
General Fund,4,464.8,2018,4,10
Grants Fund,4,16.1,2018,4,10
Community Development,4,-11.8,2018,4,10
Vehicle Rental Tax,4,1.6,2018,4,10
Hospital Assessment Fund,4,14.7,2018,4,10
Housing Trust Fund,4,33.9,2018,4,10
Other Funds,4,7.9,2018,4,10
Total Operating Funds,4,527.4,2018,4,10
Capital Improvement,4,267.5,2018,4,10
Industrial and Commercial Development,4,9.8,2018,4,10
Total Capital Funds,4,277.3,2018,4,10
Consolidated Cash,4,804.7,2018,4,10
General Fund,5,435.9,2018,4,11
Grants Fund,5,-56.3,2018,4,11
Community Development,5,-4.4,2018,4,11
Vehicle Rental Tax,5,2.1,2018,4,11
Hospital Assessment Fund,5,14.8,2018,4,11
Housing Trust Fund,5,33.4,2018,4,11
Other Funds,5,8.9,2018,4,11
Total Operating Funds,5,434.4,2018,4,11
Capital Improvement,5,252.6,2018,4,11
Industrial and Commercial Development,5,9.8,2018,4,11
Total Capital Funds,5,262.4,2018,4,11
